order,word,phonetic,example,note,definition_en
1,black pepper,/blæk ˈpɛpɚ/,She sprinkled some freshly ground black pepper on her pasta to enhance its flavor.,,
2,bread roll,/brɛd roʊl/,"She savored the warm, freshly baked bread roll with a smear of butter melting into it.",,
3,cheeseburger,/ˈtʃiːzˌbɝːɡɚ/,He ordered a juicy cheeseburger with all the fixings for lunch at the diner.,,
4,curry,/ˈkɝːi/,She cooked a flavorful chicken curry with aromatic spices and creamy coconut milk for dinner.,,
5,fruit salad,/fruːt ˈsæləd/,"She prepared a refreshing fruit salad with a colorful assortment of sliced strawberries, kiwi, pineapple, and grapes.",,
6,garlic,/ˈɡɑrlɪk/,Garlic has been used for centuries for its medicinal properties.,,
7,green bean,/ɡriːn biːn/,It's best to blanch the green beans before freezing them for long-term storage.,,
8,lettuce,/ˈlɛtɪs/,,,
9,loaf,/loʊf/,,,
10,mint,/mɪnt/,,,
11,pancake,/pænkeɪk/,"She flipped the pancake onto the griddle, eagerly awaiting the golden-brown perfection on the other side.",,
12,peanut butter,/ˈpiːnʌt ˈbʌtɚ/,Peanut butter was the secret ingredient for his famous cookies.,,
13,plant-based,/ˈplæntˌbeɪst/,,,
14,popcorn,/ˈpɑpˌkɔrn/,The movie theater was filled with the savory aroma of freshly popped popcorn as patrons lined up at the concession stand.,,
15,pickle,/ˈpɪkəl/,She packed a lunchbox with a turkey sandwich layered with pickles.,,
16,raw,/rɑ/,She enjoyed a salad made with raw vegetables and leafy greens.,,
17,ripe,/raɪp/,You can enjoy the natural sweetness of a ripe peach by biting into it and letting the juice drip down your chin.,,
18,take-away,/ˈteɪk əˌweɪ/,They ordered a take-away for dinner after a long day.,,
19,sugar-free,/ˈʃʊɡɚˌfriː/,,,
20,mashed potato,/mæʃt pəˈteɪtoʊ/,She served grilled chicken with mashed potato.,,
21,croissant,/krəˈsɑnt/,"As a child, she always looked forward to her grandmother's mashed potatoes, made with love and seasoned with nostalgia.",,
22,wrap,/ræp/,,,
23,cupcake,/ˈkʌpˌkeɪk/,"She decorated each cupcake with swirls of colorful frosting and sprinkles, creating a sweet and festive treat.",,
24,cheesecake,/ˈtʃiːzˌkeɪk/,She baked a classic New York-style cheesecake for the party.,,
25,donut,/ˈdoʊˌnʌt/,She treated herself to a chocolate-glazed donut with sprinkles as a mid-morning snack.,,
26,low-fat diet,/ˈloʊ ˈfæt ˈdaɪət/,She decided to adopt a low-fat diet after her doctor advised her to make dietary changes to improve her cholesterol levels.,,
27,low-carb diet,/ˈloʊ ˈkɑrb ˈdaɪət/,He decided to try a low-carb diet to manage his blood sugar levels and improve his overall health.,,
28,gluten-free diet,/ˈɡluːtən ˈfriː ˈdaɪət/,She switched to a gluten-free diet after being diagnosed with celiac disease to manage her symptoms and promote intestinal healing.,,
29,calorie,/ˈkælɚi/,Consuming more calories than your body needs can lead to weight gain over time.,,
30,nutrition,/nuˈtrɪʃən/,"Fruits and vegetables are essential components of a healthy diet, providing valuable nutrition and vitamins to nourish the body.",,
31,chocolate,/ˈtʃɑklɪt/,She used chocolate to make a rich dessert.,,
32,pepper,/ˈpɛpɚ/,"As a vegetarian, she often substitutes meat with grilled peppers in her sandwiches.",,
33,Jell-O,/ˈʤɛloʊ/,Children often enjoy making and eating Jell-O because of its fun and jiggly texture.,,
