order,word,phonetic,example,note,definition_en
1,gas chamber,/ɡˈæs tʃˈeɪmbɚ/,"In some historical instances, the gas chamber was employed as a means of carrying out the death penalty for certain heinous crimes.",,
2,corporal punishment,/kˈɔːɹpɹəl pˈʌnɪʃmənt/,"Corporal punishment, such as spanking or paddling, is a controversial method of disciplining children.",,
3,solitary confinement,/sˈɑːlətˌɛɹi kənfˈaɪnmənt/,"The inmate's disruptive behavior led to a disciplinary measure, resulting in a period of solitary confinement to maintain order in the prison.",,
4,retribution,/ˌɹɛtɹəbˈjuʃən/,The murderer faced retribution for his brutal acts.,,
5,restitution,/ˌɹɛstɪˈtuʃən/,"Insurance settled the claim by issuing a $10,000 restitution payment for losses in the house fire.",,
6,warden,/ˈwɔɹdən/,The warden implemented new security measures to address recent concerns about inmate safety within the prison.,,
7,executioner,/ˌɛksəkˈjuʃənɝ/,"The executioner carried out the sentence handed down by the court, performing the act of capital punishment.",,
8,reprieve,/ɹiˈpɹiv/,"The governor granted a last-minute reprieve to the condemned prisoner, giving the legal team additional time to present new evidence.",,
9,committal,/kəˈmɪtəɫ/,"The judge issued a committal order, directing the transfer of the defendant to a psychiatric facility for further evaluation.",,
10,firing squad,/fˈaɪɚɹɪŋ skwˈɑːd/,Historical accounts reveal that firing squads were a common method of execution during wartime for individuals convicted of serious offenses.,,
11,to stone,/stoʊn/,"In some ancient societies, individuals found guilty of serious crimes were stoned to death as a brutal form of punishment.",,
12,to flog,/ˈfɫɑɡ/,The oppressive regime would flog dissenters in public as a warning.,,
13,to lynch,/ˈɫɪntʃ/,The angry mob decided to lynch the accused without waiting for a trial.,,
14,to incarcerate,/ˌɪnˈkɑɹsɝˌeɪt/,"After the trial, he was promptly incarcerated in a high-security prison.",,
15,to forfeit,/ˈfɔɹfɪt/,Individuals who commit fraud may forfeit their assets as part of legal penalties.,,
16,to confiscate,/ˈkɑnfəˌskeɪt/,The customs officer may confiscate prohibited items at the border.,,
17,guillotine,"/ˈɡijəˌtin/, /ˈɡɪɫəˌtin/","During the French Revolution, the guillotine became a symbol of radical political change as it was employed for public executions.",,
