order,word,phonetic,example,note,definition_en
1,school,/skuːl/,He forgot his homework and had to rush back to school to get it.,,
2,college,/ˈkɑːlɪdʒ/,I am excited to start college and pursue my degree.,,
3,university,/ˌjuːnɪˈvɝːsɪti/,I will graduate from university next year with a degree in psychology.,,
4,preschool,/ˈpriːˌskuːl/,He made new friends at preschool and enjoys sharing toys with them.,,
5,classroom,/ˈklæsˌruːm/,I keep my school supplies organized in my backpack for the classroom.,,
6,student,/ˈstuːdnt/,Can you introduce yourself to the new student in class?,,
7,book,/bʊk/,I always carry a book in my bag so I can read during my commute or whenever I have free time.,,
8,notebook,/ˈnoʊtˌbʊk/,He writes down his ideas and thoughts in his notebook.,,
9,bag,/bæɡ/,Can you hold my bag while I tie my shoelaces?,,
10,pen,/pen/,Can you lend me your red pen to fill out this form?,,
11,pencil,/ˈpɛnsl/,He uses a pencil to shade and create different tones in his artwork.,,
12,eraser,/ɪˈreɪsɚ/,He gently rubs the eraser over the words to erase them completely.,,
13,marker,/ˈmɑːrkɚ/,He uses a whiteboard marker to write on the board during presentations.,,
14,homework,/ˈhoʊmˌwɝːk/,I always double-check my homework to ensure it is accurate.,,
15,history,"/ˈhɪstɚi/ , /ˈhɪstri/",Can you recommend any online resources for studying world history?,,
16,language,/ˈlæŋɡwɪdʒ/,He wants to become bilingual and speak multiple languages fluently.,,
17,science,/ˈsaɪəns/,I enjoy conducting experiments and making observations in science class.,,
18,class,/klæs/,"The teacher greeted the class as they entered the classroom, ready to begin the day's lesson.",,
