order,word,phonetic,example,note,definition_en
1,ribosome,/ɹˈiːboʊsˌoʊm/,"Ribosomes are the cellular factories responsible for building proteins, essential for various biological functions.",,
2,Golgi apparatus,/ɡˈɑːlɡi ˌæpɚɹˈæɾəs/,"The Golgi apparatus modifies and packages proteins, ensuring they are properly shaped and functional.",,
3,lysosome,/lˈaɪsoʊsˌoʊm/,"Lysosomes act as the ""recycling centers"" of cells, breaking down and digesting cellular waste materials.",,
4,mitochondrion,/ˌmaɪtəˈkɑndɹiən/,The mitochondrion is a membrane-bound organelle found in most eukaryotic cells.,,
5,chloroplast,/ˈkɫɔɹəˌpɫæst/,"Chloroplasts are the green structures in plant cells where photosynthesis, the process of converting light into energy, takes place.",,
6,nucleotide,/ˈnukɫiəˌtaɪd/,The sequence of nucleotides in DNA determines genetic information.,,
7,polypeptide,/pˌɑːlɪpˈɛptaɪd/,Insulin is a polypeptide hormone that regulates blood sugar levels.,,
8,organelle,/ˌɔːɹɡənˈɛl/,"The nucleus, an organelle housing genetic material, regulates cell activities.",,
9,vacuole,/vˈækjuːˌoʊl/,"Vacuoles in plant cells may contain pigments, giving flowers and fruits their vibrant colors.",,
10,centriole,/sˈɛntɹɪˌoʊl/,"Centrioles play a crucial role in animal cell division, forming the mitotic spindle.",,
11,histone,/hˈɪstoʊn/,"Histones act as spools around which DNA winds, forming compact structures called nucleosomes.",,
12,telomere,/ˈtɛɫəmiɹ/,Think of telomeres as the plastic tips on the ends of a phone charger cable that keep it from wearing out.,,
13,phenotype,/ˈfinəˌtaɪp/,"Eye color, hair texture, and height are examples of human phenotypes.",,
14,homeostasis,/ˌhoʊmioʊˈsteɪsəs/,Sweating to cool down the body temperature is an example of homeostasis in response to external heat.,,
15,translation,"/tɹænˈsɫeɪʃən/, /tɹænzˈɫeɪʃən/","In the first step of translation, messenger RNA (mRNA) is synthesized based on the DNA template.",,
16,transcription,/ˌtɹænsˈkɹɪpʃən/,Transcription initiates when RNA polymerase binds to the DNA at the promoter region.,,
17,replication,/ˌɹɛpɫəˈkeɪʃən/,"DNA replication is a fundamental process that occurs before cell division, ensuring genetic continuity.",,
18,codon,/kˈɑːdɑːn/,"AUG is the start codon, initiating the translation process in protein synthesis.",,
19,symbiosis,/ˌsɪmbaɪˈoʊsəs/,"The relationship between cleaner fish and larger fish, where the cleaner fish remove parasites, represents a mutualistic symbiosis.",,
20,ameba,/ˈeɪmbə/,"Amebas are commonly found in various aquatic environments, including freshwater ponds and streams.",,
21,prokaryote,/pɹˈɑːkɐɹɪˌoʊt/,"Bacteria, such as Escherichia coli (E. coli), are common examples of prokaryotes.",,
22,chlorophyll,/ˈkɫɔɹəfɪɫ/,"Chlorophyll is responsible for the green color of plants, reflecting its role in photosynthesis.",,
23,capsid,/kˈæpsɪd/,"The capsid of a virus provides structural integrity, enclosing and protecting its genetic material.",,
24,eukaryote,/jˈuːkɐɹɪˌoʊt/,"Plants, with their roots, stems, and leaves, are examples of eukaryotes.",,
25,ovum,/ˈoʊvəm/,Human females typically release one ovum during each menstrual cycle.,,
26,pepsin,/pˈɛpsɪn/,Pepsin is an enzyme produced in the stomach that helps break down proteins into smaller peptides.,,
27,adenosine triphosphate,/ˈædənˌɑːsaɪn tɹˈɪfəsfˌeɪt/,"Adenosine triphosphate is often referred to as the ""energy currency"" of cells due to its role in energy transfer.",,
28,biogas,/bˌaɪoʊɡˈæs/,"Biogas offers a sustainable alternative to fossil fuels, reducing greenhouse gas emissions and reliance on non-renewable resources.",,
29,cytoskeleton,/sˈaɪɾəskˌɛlᵻtən/,"The cytoskeleton acts like a cell's internal scaffolding, maintaining its shape and structural integrity.",,
