order,word,phonetic,example,note,definition_en
1,budget,/ˈbʌdʒɪt/,They chose a budget hotel for their stay to save money.,,
2,resort,"/ɹiˈsɔɹt/, /ɹiˈzɔɹt/, /ɹɪˈzɔɹt/",They stayed at a luxurious beach resort during their vacation.,,
3,lodging,/ˈɫɑdʒɪŋ/,We found a cozy lodging in the mountains for our weekend getaway.,,
4,lounge,/ˈɫaʊndʒ/,We waited in the airport lounge until our flight was called.,,
5,checkout,/ˈʧɛkˌaʊt/,"If you need assistance with your luggage during checkout, our staff will be happy to assist you.",,
6,resident,/ˈrɛzɪdənt/,The hotel resident enjoyed complimentary breakfast during her stay.,,
7,room service,/ɹˈuːm sˈɜːvɪs/,We ordered breakfast through room service because we wanted to relax in our room.,,
8,travel agency,/tɹˈævəl ˈeɪdʒənsi/,They used a travel agency to book their vacation package to Hawaii.,,
9,E-ticket,/ˈiːtˈɪkɪt/,She received her E-ticket via email for the concert she was attending.,,
10,vacationer,/veɪˈkeɪʃənɝ/,The beach was crowded with vacationers enjoying the sunny weather.,,
11,excursion,/ɪkˈskɝʒən/,The school organized an excursion to the science museum for the students.,,
12,package tour,/pˈækɪdʒ tˈʊɹ/,She booked a package tour to explore several countries in Europe.,,
13,to get away,/ɡɛt ɐwˈeɪ/,We decided to get away for the weekend and visit the beach.,,
14,to trek,/ˈtɹɛk/,The group of hikers decided to trek through the rugged mountains to reach the remote village.,,
15,aisle,"/ˈaɪəɫ/, /ˈaɪɫ/","The flight attendant walked down the aisle of the airplane, serving refreshments to the passengers seated on either side.",,
16,cabin,/ˈkæbɪn/,"The cabin of the airplane was spacious, with overhead bins for luggage.",,
17,cabin crew,/kˈæbɪn kɹˈuː/,The cabin crew welcomed passengers aboard with friendly smiles and safety instructions.,,
18,baggage claim,/bˈæɡɪdʒ klˈeɪm/,"After landing, travelers headed to the baggage claim to collect their bags.",,
19,jet lag,/dʒˈɛt lˈæɡ/,"After flying from New York to Tokyo, she experienced severe jet lag for several days.",,
20,terminal,/ˈtɜrmənəl/,She arrived at the bus terminal just in time to catch her ride.,,
21,main line,/mˈeɪn lˈaɪn/,The train's main line connects the city to several suburban areas.,,
22,to cruise,/kruːz/,"For their anniversary, the couple decided to cruise around the Caribbean.",,
23,to delay,/dɪˈɫeɪ/,The flight delayed due to heavy fog.,,
24,to navigate,/ˈnævɪˌɡeɪt/,The cruise ship successfully navigated through the narrow channels of the fjord.,,
25,caravan,"/ˈkæɹəˌvæn/, /ˈkɛɹəˌvæn/",They traveled across the country in a caravan equipped with beds and a kitchenette.,,
26,railroad crossing,/ɹˈeɪlɹoʊd kɹˈɔsɪŋ/,He stopped his car at the railroad crossing when the barriers started to lower.,,
27,compartment,/kəmˈpɑɹtmənt/,We booked a private compartment for our overnight train journey.,,
28,rest stop,/ɹˈɛst stˈɑːp/,The family decided to stop at a rest stop to stretch their legs during the long drive.,,
29,gift shop,/ɡˈɪft ʃˈɑːp/,The gift shop at the museum featured unique items related to the exhibits.,,
30,hot-air balloon,/hˈɑːtˈɛɹ bəlˈuːn/,They enjoyed a scenic ride in a hot-air balloon over the countryside.,,
31,April Fools' Day,/ˈeɪpɹəl fˈuːlz dˈeɪ/,"She played a clever prank on her friend for April Fools' Day, hiding a fake spider in their desk.",,
32,Independence Day,/ˌɪndɪpˈɛndəns dˈeɪ/,Families often gather for picnics and outdoor activities on Independence Day.,,
33,New Year's Eve,/nˈuː jˈɪɹz ˈiːv/,Families and friends gathered for a festive dinner to celebrate New Year's Eve together.,,
34,St. Patrick's Day,/sənt pˈætɹɪks dˈeɪ/,"Every year, cities around the world hold parades and festivals to celebrate St. Patrick's Day.",,
35,Black Friday,/blˈæk fɹˈaɪdeɪ/,Shoppers flock to stores early in the morning on Black Friday to take advantage of the deep discounts.,,
36,Mardi Gras,/mˈɑːɹdi ɡɹˈɑːz/,"Mardi Gras is celebrated with various cultural traditions, reflecting the area's history.",,
37,transportation,/ˌtrænspɚˈteɪʃən/,Transportation of goods by truck is common in the logistics industry.,,
