order,word,phonetic,example,note,definition_en
1,high-end,/ˌhaɪˈɛnd/,She treated herself to a high-end handbag as a reward for reaching her career goals.,,
2,ritzy,/ˈɹɪtsi/,"The ritzy resort offered exclusive amenities, including a private beach, spa services, and gourmet dining.",,
3,opulent,/ˈɑpjəɫənt/,The opulent palace was adorned with intricate gold decorations and marble statues.,,
4,posh,/ˈpɑʃ/,The posh restaurant was known for its gourmet cuisine and chic ambiance.,,
5,upscale,/ˈəpˌskeɪɫ/,The upscale restaurant offered a menu featuring gourmet dishes prepared with the finest ingredients.,,
6,plush,/ˈpɫəʃ/,"Guests were treated to a night of plush accommodations at the upscale hotel, complete with feather pillows and high-thread-count linens.",,
7,palatial,/pəˈɫeɪʃəɫ/,"Their hotel suite was palatial, with marble floors and gold fixtures.",,
8,deluxe,/dəˈɫəks/,"The hotel offered deluxe suites with panoramic views, personalized concierge service, and opulent furnishings.",,
9,cut-price,/kˈʌtpɹˈaɪs/,"The cut-price electronics store attracted customers with its discounted prices on smartphones, laptops, and other gadgets.",,
10,concessionary,/kənsˈɛʃənˌɛɹi/,The company offered concessionary pricing for students and senior citizens at the movie theater.,,
11,exorbitant,/ɪɡˈzɔɹbɪtənt/,The exorbitant price of the concert tickets was beyond their budget.,,
12,to depress,/dɪˈpɹɛs/,Overproduction of a certain product may depress its market value as supply exceeds demand.,,
