order,word,phonetic,example,note,definition_en
1,entropy,/ˈɛntɹəpi/,"When ice melts into water at a higher temperature, the entropy of the system increases.",,
2,solute,/ˈsɑɫjut/,"In saltwater, salt (NaCl) is the solute that dissolves in water, the solvent.",,
3,reactant,/ɹɪˈæktənt/,"In photosynthesis, carbon dioxide (CO₂) and water (H₂O) are the reactants that, in the presence of sunlight, produce glucose (C₆H₁₂O₆) and oxygen (O₂).",,
4,catalyst,"/ˈkætəɫəst/, /ˈkætəɫɪst/",Enzymes are naturally occurring biological catalysts that allow complex metabolic reactions to proceed efficiently in living cells.,,
5,catalysis,/kætˈæləsˌɪs/,"Enzymatic catalysis plays a key role in biological processes, including the synthesis and breakdown of biomolecules in living organisms.",,
6,covalent bond,/kˈoʊveɪlənt bˈɑːnd/,Covalent bonds are like atoms sharing electron hugs to stick together.,,
7,isomer,/ˈaɪsəmɝ/,"Propanol and isopropanol are isomers, sharing the same molecular formula but differing in the arrangement of their atoms.",,
8,polymer,/ˈpɑɫəmɝ/,"Polyethylene is a common polymer used in the production of plastic bags, bottles, and various packaging materials.",,
9,monomer,/ˈmɑnəmɝ/,"Ethylene is a monomer that polymerizes to form polyethylene, a widely used plastic.",,
10,hydrocarbon,/ˌhaɪdɹoʊˈkɑɹbən/,"Methane (CH₄) is the simplest hydrocarbon, belonging to the alkane group.",,
11,ester,/ˈɛstɝ/,"Ethyl acetate, an ester, is commonly used as a solvent in nail polish removers.",,
12,aldehyde,/ˈældɪhˌaɪd/,"Acetaldehyde is an aldehyde with a fruity odor, often used in the synthesis of chemicals.",,
13,alcohol,/ˈælkəˌhɑl/,Ethanol is the alcohol found in alcoholic beverages and is commonly used as a solvent.,,
14,ketone,/ˈkitoʊn/,Acetone is a common ketone widely used as a solvent and nail polish remover.,,
15,oxidation-reduction,/ˌɑːksɪdˈeɪʃənɹɪdˈʌkʃən/,"The combustion of wood is an oxidation-reduction reaction where wood undergoes oxidation, producing carbon dioxide and water.",,
16,molarity,/moʊlˈæɹɪɾi/,A solution with a molarity of 0.5 M means there are 0.5 moles of solute in each liter of the solution.,,
17,electrolyte,/ɪˌɫɛktɹɑˈɫaɪt/,Sodium chloride (NaCl) is a common electrolyte that dissociates into sodium ions (Na⁺) and chloride ions (Cl⁻) in solution.,,
18,colloid,/ˈkɑɫɔɪd/,"Fog consists of small water droplets dispersed in the air, forming a colloid.",,
19,corrosion,/kɝˈoʊʒən/,"The pipes in the old house were heavily damaged by corrosion, resulting in leaks throughout the plumbing system.",,
20,alkali,/ˈæɫkəˌɫaɪ/,Sodium hydroxide is a strong alkali commonly used in soap making.,,
21,ammonia,/əˈmoʊnjə/,"Ammonia has a strong, sharp odor that can irritate the eyes and throat.",,
22,alloy,/ˈæˌɫɔɪ/,An alloy is a mixture of two or more metals or a metal and another element.,,
23,halogen,/ˈhæɫədʒən/,Chlorine is a halogen commonly used in water treatment for its disinfectant properties.,,
24,isotope,/ˈaɪsəˌtoʊp/,"Carbon-12 and carbon-14 are isotopes of carbon, with the former having 6 neutrons and the latter having 8 neutrons.",,
25,noble gas,/nˈoʊbəl ɡˈæs/,"Helium, a noble gas, is known for its low density and is often used in balloons to make them float.",,
26,emulsion,/ɪˈməɫʃən/,"Mayonnaise is an example of an emulsion, with oil and vinegar forming a stable mixture through the addition of egg yolk as an emulsifying agent.",,
27,half-life,/hˈæf lˈaɪf/,The half-life of a radioactive isotope determines the time it takes for half of the initial amount to decay into a stable product.,,
28,depleted uranium,/dɪplˈiːɾᵻd jʊɹˈeɪniəm/,Depleted uranium is a byproduct of the uranium enrichment process used in nuclear reactors.,,
29,solvent,/ˈsɑɫvənt/,Ethanol is commonly used as a solvent to dissolve oils and perfume essences for the production of aftershaves and colognes.,,
30,charged,/ˈtʃɑɹdʒd/,The metal sphere became charged when it was rubbed with a woolen cloth.,,
31,combustion,/kəmˈbəstʃən/,The combustion of wood in the fireplace provided warmth and a cozy atmosphere in the living room.,,
