order,word,phonetic,example,note,definition_en
1,to border,/ˈbɔrdɚ/,"The region borders a desert, influencing its climate and agriculture.",,
2,to honor,/ˈɑnɝ/,Families may honor their heritage by preserving and passing down cultural traditions.,,
3,aristocracy,/ˌɛɹəˈstɑkɹəsi/,The event was attended by members of the aristocracy in elegant attire.,,
4,dynasty,/ˈdaɪnəsti/,The Ming Dynasty ruled China from 1368 to 1644.,,
5,empire,/ˈɛmpaɪɝ/,The emperor expanded his empire across three continents.,,
6,Renaissance,/ɹˈɛnəsˌɑːns/,"The Renaissance period is known for its remarkable achievements in art, science, and literature.",,
7,the Middle Ages,/ðə mˈɪdəl ˈeɪdʒᵻz/,Castles and knights are iconic symbols of life during the Middle Ages.,,
8,castle,/ˈkæsəɫ/,"They toured the ancient castle, exploring its grand halls and secret passages.",,
9,fortress,/ˈfɔɹtɹəs/,"The ancient fortress stood atop the hill, overlooking the surrounding countryside.",,
10,armor,/ˈɑrmər/,"The knight donned his heavy armor before heading into battle, ensuring his safety with its reinforced metal plates.",,
11,coat of arms,/kˈoʊt ʌv ˈɑːɹmz/,"The university's coat of arms features a lion and an open book, representing strength and knowledge.",,
12,crown,/ˈkɹaʊn/,The queen's crown was adorned with intricate jewels and was a symbol of her royal status.,,
13,arrow,"/ˈæroʊ/, /ˈer.oʊ/","The archer drew his bow and released the arrow, hitting the target with precision.",,
14,sword,/ˈsɔɹd/,"The knight drew his sword from its sheath, ready to defend the castle.",,
15,emblem,/ˈɛmbɫəm/,"The national flag featured an emblem at its center, signifying the country's heritage.",,
16,royal,/ˈɹɔɪəɫ/,The royal palace was adorned with opulent decorations for the grand reception.,,
17,royalty,/ˈɹɔɪəɫti/,She admired the intricate crowns and jewelry worn by the royalty in historical portraits.,,
18,noble,/ˈnoʊbəl/,The noble family's ancestral estate showcased their centuries-old lineage and prestige.,,
19,nobility,/noʊˈbɪɫəti/,The king granted lands and titles to the nobility in recognition of their loyalty.,,
20,count,/kaʊnt/,The count lived in an impressive castle on the outskirts of the village.,,
21,countess,/ˈkaʊntəs/,The countess attended the royal ceremony in full regalia.,,
22,knight,/ˈnaɪt/,The knight rode into battle with his sword raised high.,,
23,duchess,/ˈdətʃəs/,The Duchess presided over charitable events and social gatherings with grace and dignity.,,
24,king,/ˈkɪŋ/,The king ruled over the kingdom with wisdom and compassion.,,
25,queen,/ˈkwin/,The queen's coronation was a grand event attended by dignitaries from around the world.,,
26,kingdom,/ˈkɪŋdəm/,The ancient kingdom was known for its prosperous trade and cultural achievements.,,
27,lady,/ˈɫeɪdi/,"She was known as the Lady of the manor, overseeing the household with grace and dignity.",,
28,majesty,/ˈmædʒəsti/,"During the ceremony, the guests stood in awe as the Majesty made her entrance.",,
29,lord,/ˈɫɔɹd/,The lord of the manor welcomed guests to his estate for the annual harvest festival.,,
30,monarch,/ˈmɑˌnɑɹk/,The monarch’s coronation was a grand ceremony attended by dignitaries from around the world.,,
31,prince,/ˈpɹɪns/,The prince celebrated his twenty-first birthday with a grand ball at the palace.,,
32,princess,/ˈpɹɪnsɛs/,"The princess wore a stunning gown to the royal ball, capturing everyone's attention.",,
33,Duke,/ˈduk/,The duke presided over the council of nobles to discuss matters of governance and policy.,,
34,slavery,/ˈsɫeɪvɝi/,"Slavery was widely practiced in ancient civilizations, where slaves were considered the property of their owners.",,
