order,word,phonetic,example,note,definition_en
1,place,/pleɪs/,I want to find a new place to eat dinner tonight.,,
2,north,/nɔːrθ/,Canada is located to the north of the United States.,,
3,south,/saʊθ/,The sun rises in the east and sets in the south during the summer.,,
4,east,/iːst/,The wind is blowing from the east today.,,
5,west,/wɛst/,"The west is home to vast deserts, rolling plains, and majestic mountain ranges.",,
6,back,/bæk/,He stepped back to give his friend more room to dance.,,
7,right,/raɪt/,Turn right at the intersection to reach the museum.,,
8,left,/ˈɫɛft/,"Placing his hand over his heart, he proudly wore the badge on the left side of his chest.",,
9,far,/fɑr/,She could hear the music from far down the street.,,
10,continent,/ˈkɑːntɪnənt/,Africa is the second-largest continent in the world.,,
11,Asia,/ˈeɪʒə/,"Asia is home to various religions, including Buddhism, Hinduism, and Islam.",,
12,Asian,/ˈeɪʒən/,"Asian countries like China, Japan, and South Korea are known for their advancements in technology.",,
13,Europe,/ˈjʊrəp/,Europe has a well-developed transportation system.,,
14,European,/ˌjʊrəˈpiːən/,European architecture is known for its stunning cathedrals and castles.,,
15,Africa,/ˈæfrɪkə/,"Africa is known for its diverse wildlife, including elephants, lions, and giraffes.",,
16,African,/ˈæfrɪkən/,African clothing is known for its vibrant patterns and intricate designs.,,
