order,word,phonetic,example,note,definition_en
1,acupuncture,/ˈækjuˌpəŋktʃɝ/,She tried acupuncture to relieve her chronic back pain.,,
2,clinic,/ˈkɫɪnɪk/,She visited the dental clinic for her routine check-up and cleaning.,,
3,ward,/ˈwɔɹd/,The hospital’s pediatric ward is specifically for children who need medical care.,,
4,emergency room,/ɪmˈɜːdʒənsi ɹˈuːm/,He rushed to the emergency room after injuring his ankle during a soccer game.,,
5,ENT,/ˈɛnt/,The ENT doctor recommended surgery to correct his persistent ear infections.,,
6,pharmacy,/ˈfɑɹməsi/,She went to the pharmacy to pick up her prescription and consult the pharmacist about dosage.,,
7,inpatient,/ˈɪnˌpeɪʃənt/,She was admitted as an inpatient to manage her condition more effectively under constant medical supervision.,,
8,outpatient,/ˈaʊtˌpeɪʃənt/,The outpatient arrived at the clinic for a follow-up appointment after his surgery.,,
9,mental health,/mˈɛntəl hˈɛlθ/,"They discussed strategies for improving mental health, such as mindfulness and regular exercise.",,
10,phobia,/ˈfoʊbiə/,The phobia of dogs she developed after a childhood incident affects her ability to interact with pets.,,
11,specialist,"/ˈspɛʃəɫəst/, /ˈspɛʃəɫɪst/","She consulted a dermatologist, a specialist in skin conditions, for her persistent rash.",,
12,orthodontist,/ˌɔɹθəˈdɑntəst/,She visited the orthodontist regularly to adjust her braces and track the progress of her teeth alignment.,,
13,paramedic,/ˌpɛɹəˈmɛdɪk/,The paramedic arrived at the accident scene and immediately began assessing the injured.,,
14,pediatrician,/ˌpidiəˈtɹɪʃən/,She took her baby to the pediatrician for routine check-ups and vaccinations.,,
15,surgeon,"/ˈsɝdʒən/, /ˈsɝdʒɪn/",The surgeon successfully completed the operation to remove the tumor from the patient’s abdomen.,,
16,plastic surgeon,/plˈæstɪk sˈɜːdʒən/,She consulted a plastic surgeon for reconstructive surgery after an accident left her with facial injuries.,,
17,therapist,"/ˈθɛɹəpəst/, /ˈθɛɹəpɪst/",She visited a therapist to work through her anxiety and stress management.,,
18,procedure,"/pɹəˈsidʒɝ/, /pɹoʊˈsidʒɝ/",The surgeon explained the details of the procedure scheduled for tomorrow to remove the appendix.,,
19,protection,/pɹəˈtɛkʃən/,The sunscreen provides protection from harmful UV rays during sun exposure.,,
20,transplant,/tɹænsˈpɫænt/,"Despite some early complications, the transplant ultimately took, and she is now on the path to recovery.",,
21,surgery,/ˈsɝdʒɝi/,"After the surgery, the patient received instructions on how to care for the surgical wound.",,
22,dose,/ˈdoʊs/,The doctor prescribed a dose of 500 milligrams of the medication to be taken twice daily.,,
23,painkiller,/ˈpeɪnˌkɪɫɝ/,She took a painkiller to help manage her headache after a long day at work.,,
24,therapy,/ˈθɛɹəpi/,The physical therapy helped him regain strength and mobility after the injury.,,
25,X-ray,/ˈɛksɹˈeɪ/,The doctor ordered an X-ray to check for any fractures after the patient injured their arm.,,
26,breathing apparatus,/bɹˈiːðɪŋ ˌæpɚɹˈæɾəs/,The firefighter wore a breathing apparatus to enter the smoke-filled building and rescue trapped occupants.,,
27,clinical,"/ˈkɫɪnəkəɫ/, /ˈkɫɪnɪkəɫ/",The doctor made a clinical diagnosis based on the patient's symptoms and medical history.,,
28,to come down with,/kˈʌm dˈaʊn wɪð/,She came down with a severe case of the flu and had to stay home from work.,,
29,to heal,/hiːl/,"The medicine healed his sore throat, allowing him to speak without pain.",,
30,to [hit] the hay,/hˈɪt ðə hˈeɪ/,Hitting the sack can feel very good after a long hard day.,,
31,to implant,"/ˈɪmˌpɫænt/, /ˌɪmˈpɫænt/",The surgeon successfully implanted a pacemaker to regulate the patient's heartbeat.,,
32,to inject,/ˌɪnˈdʒɛkt/,Veterinarians may inject animals with medications for various health purposes.,,
33,to pass out,/pˈæs ˈaʊt/,It was so hot in the room that she felt like she was going to pass out.,,
34,to relieve,"/ɹiˈɫiv/, /ɹɪˈɫiv/",Taking a short break can relieve stress during a busy workday.,,
35,to scan,/skæn/,The technician scanned the woman's abdomen to monitor the growth of the fetus.,,
36,to shower,/ˈʃaʊɚ/,She showers every morning before going to work.,,
