order,word,phonetic,example,note,definition_en
1,building,/ˈbɪldɪŋ/,He worked in a modern office building with large windows.,,
2,house,/haʊs/,She invited her friends over to her house for a birthday party.,,
3,home,/hoʊm/,The family moved into a new home in the suburbs.,,
4,apartment,/əˈpɑːrtmənt/,He rented an apartment in the city to be closer to his workplace.,,
5,floor,/flɔːr/,He swept the floor to remove the dust and dirt.,,
6,door,/dɔːr/,He closed the door behind him as he entered the room.,,
7,window,/ˈwɪndoʊ/,"The gentle breeze flowed through the open window, bringing the scent of blooming flowers.",,
8,wall,/wɔːl/,He noticed a spider crawling up the wall.,,
9,room,"/ruːm/ , /rʊm/",I have a big room with a window.,,
10,roof,"/ruːf/ , /rʊf/",He placed solar panels on the roof to generate electricity.,,
11,ceiling,/ˈsiːlɪŋ/,He stood on a ladder to change a lightbulb on the ceiling.,,
12,living room,/ˈlɪvɪŋ ruːm/,She gathered with her family in the living room to play board games.,,
13,dining room,/ˈdaɪnɪŋ ruːm/,She cleans the dining room after each meal.,,
14,kitchen,/ˈkɪtʃən/,My mother believes that no one should leave the kitchen after a meal until they have completely cleaned it.,,
15,bedroom,/ˈbɛdruːm/,He kept his favorite toys on the shelves in his bedroom.,,
16,bathroom,"/ˈbæθruːm/ , /ˈbæθrʊm/",He took a refreshing shower in the bathroom after a long day.,,
17,garden,/ˈɡɑːrdən/,I like to take walks in the garden to admire the plants and listen to the birds.,,
18,upstairs,/ˌʌpˈstɛrz/,I prefer to sleep upstairs in the loft rather than downstairs.,,
19,downstairs,/ˌdaʊnˈstɛrz/,I left my bag downstairs in the entryway.,,
20,closet,/ˈklɑːzɪt/,She stored her clothes and shoes neatly in the closet.,,
21,part,/pɑːrt/,Asking questions is an integral part of gaining knowledge.,,
22,elevator,/ˈɛləˌveɪtɚ/,I felt a bit nervous when the elevator suddenly stopped between floors.,,
23,yard,/jɑrd/,I saw a squirrel running across the yard.,,
