order,word,phonetic,example,note,definition_en
1,to gorge,/ˈɡɔɹdʒ/,"After fasting all day, she decided to gorge on a hearty meal at the buffet, savoring each dish.",,
2,to nosh,/nˈɑːʃ/,"In between meals, the office workers often gather to nosh on snacks from the communal kitchen.",,
3,to tuck in,/tˈʌk ˈɪn/,"With the Thanksgiving feast spread out before them, everyone eagerly grabbed their forks, ready to tuck in and enjoy the abundance of delicious dishes.",,
4,to imbibe,/ɪmˈbaɪb/,"During the celebration, guests were eager to imbibe the sparkling champagne in toast of the special occasion.",,
5,to crunch,/krʌntʃ/,He crunched the potato chips loudly during the movie.,,
6,to wolf,/wʊlf/,"The ravenous predator decided to wolf the prey it had caught, devouring it with precision.",,
7,to swig,/ˈswɪɡ/,"The exhausted hiker paused to swig from the canteen, quenching his thirst on the trail.",,
8,to lap up,/lˈæp ˈʌp/,"The kitten eagerly lapped up the bowl of milk, enjoying every drop with enthusiasm.",,
9,to chug,/ˈtʃəɡ/,"Thirsty after the game, he decided to chug a cold bottle of water.",,
10,to chomp,/ˈtʃɑmp/,"The hungry toddler couldn't wait to chomp the crunchy apple, revealing a toothy grin with each bite.",,
11,to quaff,/ˈkwɑf/,"After winning the championship, the athletes gathered to quaff celebratory drinks from the trophy.",,
12,to sup,/ˈsəp/,"She sat by the fireplace, quietly supping on a cup of hot tea to warm herself on the chilly evening.",,
13,to guzzle,/ˈɡəzəɫ/,"Thirsty after the game, he proceeded to guzzle a whole bottle of water.",,
14,to swill,/ˈswɪɫ/,"After the victory, they decided to swill celebratory champagne.",,
15,chutney,/ˈtʃətni/,"I created a unique avocado chutney, blending the creamy fruit with lime juice, cilantro, and jalapenos.",,
16,binge,/ˈbɪndʒ/,Her weekend binges on junk food left her feeling guilty and sluggish on Monday mornings.,,
17,commis,/kˈɑːmɪz/,"As a commis in the restaurant, he started his culinary career by learning basic kitchen techniques and assisting the chefs.",,
18,antipasto,/ˌæntiˈpɑstoʊ/,"The restaurant served a delightful antipasto platter, featuring an array of cured meats, cheeses, and marinated vegetables.",,
19,wholefood,/hˈoʊlfuːd/,"In her quest for a healthier lifestyle, she replaced processed snacks with whole foods like fruits, nuts, and vegetables.",,
20,clean eating,/klˈiːn ˈiːɾɪŋ/,"Clean eating involves consuming whole, minimally processed foods and avoiding refined sugars and artificial additives.",,
21,buttery,/ˈbətɝi/,The medieval castle featured a dimly lit buttery where casks of wine and ale were stored.,,
22,delectable,/dɪˈɫɛktəbəɫ/,"The chocolate truffles were absolutely delectable, melting in my mouth.",,
23,epicurean,"/ˌɛpəkˈjʊɹiən/, /ˌɛpəkjʊˈɹiən/","She prepared an epicurean feast fit for kings, with delicate foods and fine wines.",,
24,culinary,/ˈkjuɫɪˌnɛɹi/,She enrolled in a culinary school to learn professional cooking techniques.,,
25,scrumptious,/skɹˈʌmpʃəs/,She prepared a scrumptious dinner with roasted vegetables and tender grilled chicken.,,
26,corkage,/kˈɔːɹkɪdʒ/,"The restaurant allows you to bring your own wine, but they charge a corkage fee of $15 per bottle.",,
