order,word,phonetic,example,note,definition_en
1,trachea,/ˈtɹeɪkiə/,"The trachea, also known as the windpipe, is a tube-like structure that connects the larynx to the bronchi, allowing air to pass in and out of the lungs.",,
2,larynx,/ˈɫɛɹɪŋks/,"The larynx, commonly known as the voice box, is located at the top of the trachea and houses the vocal cords.",,
3,taste bud,/tˈeɪst bˈʌd/,Taste buds are sensory organs located on the tongue and other parts of the mouth that allow us to perceive different tastes.,,
4,incisor,/ˌɪnˈsaɪzɝ/,He accidentally chipped one of his incisors while playing sports.,,
5,enamel,/ɪˈnæməɫ/,Enamel is the hard outer layer of the teeth that protects them from decay and damage.,,
6,phlegm,/ˈfɫɛm/,"The common cold often causes an increase in phlegm production, leading to congestion and coughing.",,
7,sinus,/ˈsaɪnəs/,He suffered from inflammation of the maxillary sinus.,,
8,lobe,/ˈɫoʊb/,"The brain is divided into different lobes, each responsible for specific functions such as sensory perception, motor control, and language processing.",,
9,cortex,/ˈkɔɹtɛks/,"The cerebral cortex is the outer layer of the brain responsible for higher cognitive functions such as thinking, memory, and perception.",,
10,iris,"/ˈaɪɹəs/, /ˈaɪɹɪs/",The iris is the colored part of the eye that regulates the amount of light entering the pupil.,,
11,retina,/ˈɹɛtənə/,The retina is the innermost layer of the eye that contains photoreceptor cells responsible for detecting light and initiating visual signals.,,
12,cornea,/ˈkɔɹniə/,"The cornea is the transparent, dome-shaped layer covering the front of the eye, responsible for refracting light rays to focus images onto the retina.",,
13,eardrum,/ˈɪɹdɹəm/,"The eardrum, also known as the tympanic membrane, vibrates in response to sound waves entering the ear canal.",,
14,trunk,/trʌŋk/,"The trunk of the human body includes the chest, abdomen, and pelvis, housing vital organs such as the heart, lungs, liver, and intestines.",,
15,bile,/ˈbaɪɫ/,"Bile is a digestive fluid produced by the liver and stored in the gallbladder, released into the small intestine to aid in the digestion of fats.",,
16,pancreas,/ˈpænkɹiəs/,The pancreas is a gland located behind the stomach that plays a crucial role in digestion and blood sugar regulation.,,
17,spleen,/ˈspɫin/,"The spleen is an organ located in the upper left side of the abdomen, beneath the ribcage, and is part of the lymphatic system.",,
18,colon,/ˈkoʊlən/,"The colon, also known as the large intestine, is the final portion of the digestive tract responsible for absorbing water and electrolytes from undigested food matter.",,
19,pelvis,/ˈpɛɫvəs/,"The pelvis is a bony structure located at the base of the spine, consisting of the hip bones, sacrum, and coccyx.",,
20,cervix,/ˈsɝvɪks/,"During a pelvic examination, the doctor will inspect the cervix for any abnormalities or signs of infection.",,
21,urethra,/ˌjɝˈiθɹə/,The urethra is a tube that carries urine from the bladder to the outside of the body during urination.,,
22,bone marrow,/bˈoʊn mˈæɹoʊ/,"Bone marrow is a soft, spongy tissue found within the cavities of bones, responsible for producing blood cells.",,
23,esophagus,/ɪˈsɑfəɡəs/,"The esophagus is a muscular tube that connects the throat to the stomach, allowing food and liquids to pass from the mouth to the stomach for digestion.",,
24,epidermis,/ˌɛpəˈdɝməs/,The epidermis is the outermost layer of skin that provides a protective barrier for the body.,,
25,Achilles tendon,/ɐkˈɪliːz tˈɛndən/,"The Achilles tendon connects the calf muscles to the heel bone, playing a crucial role in walking, running, and jumping.",,
26,femur,/ˈfimɝ/,"The femur is the longest and strongest bone in the human body, extending from the hip to the knee.",,
27,scapula,/ˈskæpjəɫə/,"The scapula, commonly known as the shoulder blade, is a flat, triangular bone located in the upper back that connects the humerus (upper arm bone) with the clavicle (collarbone).",,
28,renal,/ˈɹinəɫ/,He underwent renal testing to assess his kidney function.,,
29,intestinal,/ɪnˈtɛstənəɫ/,Intestinal bacteria play a crucial role in digestion and nutrient absorption in the intestines.,,
30,canine,/ˈkeɪˌnaɪn/,The canines help us tear and bite into food.,,
