order,word,phonetic,example,note,definition_en
1,bookshelf,/ˈbʊkˌʃɛlf/,She organized her collection of novels neatly on the bookshelf in the living room.,,
2,curtain,/ˈkɝtən/,She drew the curtains to block out the sunlight streaming into the room.,,
3,tissue,/ˈtɪʃu/,She reached for a tissue to wipe away her tears.,,
4,napkin,/ˈnæpkɪn/,He reached for a napkin to wipe his hands after enjoying the barbecue ribs.,,
5,toothpaste,/ˈtuθˌpeɪst/,She squeezed a small amount of toothpaste onto her toothbrush before brushing her teeth.,,
6,razor,/ˈreɪzɚ/,He used a safety razor to shave his beard every morning.,,
7,light bulb,/ˈlaɪt ˈbʌlb/,He replaced the burnt-out light bulb in the ceiling fixture with a new one.,,
8,switch,/swɪʧ/,She pressed the switch to turn on the light in the room.,,
9,outlet,/ˈaʊtˌlɛt/,He plugged his phone charger into the outlet to charge his phone.,,
10,scissors,/ˈsɪzɚz/,She used a pair of scissors to cut out shapes from construction paper for her art project.,,
11,shower,/ˈʃaʊɚ/,"She stepped into the warm shower, letting the water soothe her tired muscles after a long day.",,
12,toilet,/ˈtɔɪlɪt/,The toilet in the modern bathroom featured sleek design and water-efficient technology.,,
13,sink,/sɪŋk/,"She filled the sink with warm, soapy water to wash the dirty dishes.",,
14,bathtub,/ˈbæθˌtʌb/,She soaked in the bathtub with bubbles and candles for a relaxing evening.,,
15,towel,"/ˈtaʊəl/ , /ˈtaʊl/",He used a towel to dry his hair after swimming.,,
16,mirror,/ˈmɪrɚ/,He adjusted his tie while gazing into the mirror above the dresser.,,
17,key,/ki/,She reached into her purse to retrieve the key to the front door.,,
18,lock,/lɑk/,He turned the key in the lock to secure the front door before leaving.,,
19,gutter,/ˈɡʌtɚ/,The gutter along the roofline prevented rainwater from dripping onto the walkway below.,,
20,cushion,/ˈkʊʃən/,She fluffed up the cushions on the sofa for added comfort.,,
