order,word,phonetic,example,note,definition_en
1,to admire,/ədˈmaɪɚ/,She admires her grandmother for her wisdom and strength in facing life's challenges.,,
2,to desire,/dɪˈzaɪɚ/,He couldn't help but desire her from the moment they met.,,
3,to embrace,/ɪmˈbreɪs/,She was thrilled to see her long-lost friend and rushed to embrace her with a warm hug.,,
4,to flirt,/flɝt/,"At the party, she couldn't resist the temptation to flirt with the charming stranger.",,
5,to want,/wɑːnt/,I can't stop thinking about you and how much I want you.,,
6,to kiss,/kɪs/,"Every morning, he kisses his wife before leaving for work.",,
7,kiss,/kɪs/,"She greeted him with a lingering kiss on the forehead, a gesture of affection that spoke volumes.",,
8,lover,/ˈlʌvər/,Sarah's lover surprised her with a bouquet of roses on their anniversary.,,
9,date,/deɪt/,"She went to the prom with her date, wearing a beautiful gown and corsage.",,
10,love letter,/ˈlʌv ˈlɛtɚ/,,,
11,love life,/ˈlʌv laɪf/,,,
12,hug,/hʌɡ/,,,
13,passion,/ˈpæʃən/,"His passion for her was evident in every glance and gesture, showing a deep emotional attachment.",,
14,crush,/krʌʃ/,She had a crush on the boy in her class.,,
15,baby,/ˈbeɪbi/,"Hey baby, how was your day?",,
16,darling,/ˈdɑrlɪŋ/,"Would you like some tea, darling?",,
17,honey,/ˈhʌni/,"I'll be home soon, honey.",,
18,sweetheart,/ˈswiːtˌhɑrt/,"Good morning, sweetheart.",,
19,blind date,/blaɪnd deɪt/,She agreed to go on a blind date set up by her best friend.,,
20,double date,/ˈdʌbəl deɪt/,We went out one night on a double date and it turned out to be a fair evening for me.,,
21,fond,/fɑnd/,She is very fond of chocolate and eats it every day.,,
22,soulmate,/ˈsoʊlˌmeɪt/,,,
23,Valentine,/ˈvælənˌtaɪn/,"Sarah was thrilled to discover that her longtime crush, Alex, considered her his valentine this year.",,
24,romance,/roʊˈmæns/,"Their romance blossomed during a summer trip to Paris, filled with candlelit dinners and long walks.",,
25,romantic,/roʊˈmæntɪk/,They shared a romantic dinner by candlelight.,,
26,to [be|feel] attracted to {sb},/bi əˈtræktɪd tə ˈsʌmbədi/,She was inexplicably attracted to him from the moment they met.,,
27,attraction,/əˈtrækʃən/,She felt a strong attraction to her coworker.,,
