order,word,phonetic,example,note,definition_en
1,relation,/rɪˈleɪʃən/,Grandma always hosts family gatherings for all our relations.,,
2,relationship,/rɪˈleɪʃənˌʃɪp/,"Despite living in different countries, they discovered a familial relationship through their shared great-great-grandfather.",,
3,friendship,/ˈfrɛndˌʃɪp/,The bond of friendship between Jack and Jill was so strong that they could communicate without uttering a single word.,,
4,motherhood,/ˈmʌðɚˌhʊd/,"She embraced motherhood with love and dedication, cherishing every moment with her child.",,
5,fatherhood,/ˈfɑðɚˌhʊd/,"He embraced fatherhood with open arms, eager to provide and protect his family.",,
6,relative,/ˈrɛlətɪv/,"My grandparents, aunts, uncles, and cousins are all my relatives.",,
7,marriage,/ˈmɛrɪʤ/,Counseling and communication are essential for a successful marriage.,,
8,unmarried,/ʌnˈmɛrɪd/,"Despite being in a long-term relationship, they remained unmarried.",,
9,engaged,/ɪnˈɡeɪʤd/,The engaged couple spent months planning their wedding.,,
10,separated,/ˈsɛpɚˌeɪtɪd/,The separated couple attended counseling sessions to work through their issues.,,
11,bride,/braɪd/,"The bride walked down the aisle, radiant in her white wedding gown, as the guests looked on with admiration.",,
12,groom,/ɡruːm/,The groom looked dashing in his tailored suit as he waited at the altar.,,
13,spouse,/spaʊs/,He introduced his spouse as his rock and closest confidant.,,
14,single parent,/ˈsɪŋɡəl ˈpɛrənt/,"As a single parent, she works hard to provide for her children and give them the best possible life.",,
15,only child,/ˈoʊnli ˈʧaɪld/,"As an only child, he received undivided attention from his parents.",,
16,family tree,/ˈfæməli ˈtri/,"She spent hours researching her family tree, uncovering generations of ancestors.",,
17,mother-in-law,/ˈmʌðɚ ɪn ˌlɔ/,"Despite initial apprehensions, she and her mother-in-law developed a strong bond over the years.",,
18,father-in-law,/ˈfɑðɚ ɪn ˌlɔ/,"He has a great relationship with his father-in-law, often bonding over shared interests.",,
19,sister-in-law,/ˈsɪstɚ ɪn ˌlɔ/,"She has a close relationship with her sister-in-law, often confiding in her like a sister.",,
20,brother-in-law,/ˈbrʌðɚ ɪn ˌlɔ/,"He has a great relationship with his brother-in-law, often sharing jokes and interests.",,
21,daughter-in-law,/ˈdɔtɚ ɪn ˌlɔ/,"She has a close and loving relationship with her daughter-in-law, treating her like her own daughter.",,
22,son-in-law,/ˈsʌn ɪn ˌlɔ/,"He has a great relationship with his son-in-law, considering him a true member of the family.",,
23,parents-in-law,/ˈpɛrɪnts ɪn ˌlɔ/,"He has a warm and loving relationship with his parents-in-law, considering them his own family.",,
24,generation,/ˌʤɛnəˈreɪʃən/,The new generation of entrepreneurs is utilizing technology to revolutionize industries worldwide.,,
25,to abandon,/əˈbændən/,Sarah felt a deep sense of pain when her parents decided to abandon her.,,
26,to bring up,/ˈbrɪŋ ˈʌp/,The grandparents played a significant role in bringing up their grandchildren.,,
27,to cheat,/ʧiːt/,"Trust is a crucial element in any relationship, and cheating can break that trust irreparably.",,
28,to leave,/liːv/,"After years of unhappiness, she decided to leave her husband.",,
29,to separate,/ˈsɛpəˌreɪt/,"After years of struggling, they decided to separate and pursue different paths.",,
30,close,/kloʊs/,They have a close friendship that has lasted for years.,,
31,related,/rɪˈleɪtɪd/,Sarah and Tom are related because they are siblings.,,
32,love at first sight,/lʌv æt ˈfɝst ˈsaɪt/,A third of dog owners have experienced love at first sight when setting eyes on their dog.,,
