order,word,phonetic,example,note,definition_en
1,domestic,/dəˈmɛstɪk/,Domestic policy decisions affect the lives of citizens within a country.,,
2,federal,"/ˈfɛdɝəɫ/, /ˈfɛdɹəɫ/",Federal laws apply uniformly across the entire country.,,
3,independent,/ˌɪndɪˈpɛndənt/,"After years of struggle, the nation finally became independent from colonial rule.",,
4,official,/əˈfɪʃəl/,The official spokesperson for the company addressed the media regarding the incident.,,
5,presidential,/ˌpɹɛzəˈdɛnʃəɫ/,The presidential address outlined the government's priorities for the upcoming year.,,
6,revolution,/ˌɹɛvəˈɫuʃən/,The revolution led to the overthrow of the monarchy and the establishment of a republic.,,
7,revolutionary,/ˌɹɛvəˈɫuʃəˌnɛɹi/,The revolutionary leader mobilized the masses against the oppressive regime.,,
8,congress,"/ˈkɑŋɡrəs/ , /ˈkɑŋɡrɛs/",The congress debated the proposed amendments to the constitution late into the night.,,
9,conservative,/kənˈsɜrvətɪv/,The conservative candidate won the election by a narrow margin.,,
10,Conservative Party,/kənsˈɜːvətˌɪv pˈɑːɹɾi/,The Conservative Party believes in preserving traditional values and institutions like the monarchy.,,
11,Republican Party,/ɹɪpˈʌblɪkən pˈɑːɹɾi/,Many members of the Republican Party oppose expansive government programs and advocate for individual liberties.,,
12,democrat,/ˈdɛməˌkɹæt/,"As a Democrat, she believes in expanding access to healthcare for all citizens through government programs.",,
13,Democratic Party,/dˌɛməkɹˈæɾɪk pˈɑːɹɾi/,The Democratic Party nominated Joe Biden as its presidential candidate for the 2020 election.,,
14,labor party,/lˈeɪbɚ pˈɑːɹɾi/,The Labor Party introduced policies aimed at improving healthcare and education for all.,,
15,to back,/bæk/,The team decided to back their captain's decision during the crucial match.,,
16,to debate,/dəˈbeɪt/,The candidates took the stage to debate their views on important issues in front of a live audience,,
17,to govern,/ˈɡəvɝn/,"Elected leaders govern the nation, making decisions for the welfare of its citizens.",,
18,government,/ˈɡʌvɚnmənt/,"In a democratic government, leaders are elected by the people through free and fair elections.",,
19,democracy,/dɪˈmɑkɹəsi/,She strongly believes in democracy and advocates for government by the people.,,
20,dictatorship,/dɪkˈteɪtɝˌʃɪp/,"Under the dictatorship, citizens had no freedom of speech or assembly.",,
21,kingdom,/ˈkɪŋdəm/,The ancient kingdom was known for its powerful armies and vast territories.,,
22,monarchy,/ˈmɑnɑɹki/,"The monarchy has existed in the country for centuries, with the king serving as the head of state.",,
23,independence,/ˌɪndɪˈpɛndəns/,The country gained its independence after years of colonial rule.,,
24,human right,/hjˈuːmən ɹˈaɪt/,Freedom of speech and expression is a fundamental human right that allows individuals to voice their opinions without fear of censorship or retaliation.,,
25,nation,/ˈneɪʃən/,"France is a nation known for its art, cuisine, and strong sense of national identity.",,
26,to plot,/plɑt/,The group of conspirators plotted to sabotage the competitor's business by spreading false rumors.,,
27,state,/steɪt/,The United States is a powerful state with significant influence in global politics and economics.,,
28,majority,/məˈdʒɔɹəti/,"The candidate won by a majority of 10,000 votes.",,
29,minister,"/ˈmɪnəstɝ/, /ˈmɪnɪstɝ/","As head of the Department of Finance, the minister oversees the country's economic policies and fiscal management.",,
30,secretary,/ˈsɛkrɪˌtɛri/,The Secretary of State plays a crucial role in shaping U.S. foreign policy.,,
31,spokesperson,/ˈspoʊkspɝsən/,The spokesperson for the company issued a statement addressing the recent controversy.,,
32,negotiation,/nɪˌɡoʊʃiˈeɪʃən/,The negotiation between the two countries resulted in a historic peace treaty.,,
33,opposition,/ˌɑpəˈzɪʃən/,The opposition criticized the government's handling of the economic crisis.,,
34,policy,/ˈpɑɫəsi/,The government introduced a new fiscal policy to stimulate economic growth.,,
35,presidency,/ˈpɹɛzədənsi/,His presidency was marked by significant economic reforms and social policies.,,
36,to run for,/ɹˈʌn fɔːɹ/,She decided to run for mayor in the upcoming election.,,
37,seat,/siːt/,"She won a seat in parliament in the last election, representing her local constituency.",,
38,voting,/ˈvoʊtɪŋ/,"Voting is a fundamental right in a democracy, allowing citizens to choose their leaders.",,
39,territory,/ˈtɛrɪˌtɔri/,The disputed territory has been a source of conflict between the two neighboring countries for decades.,,
40,to negotiate,"/nəˈɡoʊʃiˌeɪt/, /nɪˈɡoʊʃiˌeɪt/",The diplomats spent days negotiating the terms of the peace treaty between the two countries.,,
41,conspiracy,/kənˈspɪɹəsi/,The police uncovered a conspiracy to overthrow the government.,,
42,crackdown,/ˈkɹækˌdaʊn/,"The government launched a crackdown on illegal immigration, leading to widespread arrests and deportations.",,
43,repression,/ɹiˈpɹɛʃən/,The government's repression of the protests led to widespread condemnation from the international community.,,
44,prime minister,/pɹˈaɪm mˈɪnɪstɚ/,The Prime Minister addressed the nation to announce new economic measures aimed at boosting employment.,,
45,Department of Homeland Security,/dɪpˈɑːɹtmənt ʌv hˈoʊmlənd sɪkjˈʊɹɪɾi/,The Department of Homeland Security oversees efforts to secure borders and prevent illegal immigration into the United States.,,
46,to [lead] astray,/lˈiːd ɐstɹˈeɪ/,The cult leader led his followers astray.,,
47,Senate,"/ˈsɛnət/, /ˈsɛnɪt/",The Senate confirmed the new Supreme Court justice.,,
