order,word,phonetic,example,note,definition_en
1,gadget,/ˈɡæʤɪt/,"John’s new kitchen gadget can chop vegetables in seconds, making meal prep much easier.",,
2,device,/dɪˈvaɪs/,She used her device to join the virtual meeting from a remote location.,,
3,mechanical,/məˈkænɪkəl/,The mechanical device automatically sorts items based on size and weight.,,
4,electronic,/ɪˌlɛkˈtrɑnɪk/,She prefers reading e-books on her electronic tablet rather than carrying around physical books.,,
5,ingenious,/ɪnˈʤiːniəs/,The engineer's ingenious design for the bridge combined both aesthetic beauty and structural integrity.,,
6,intuitive,/ɪnˈtuːɪtɪv/,The new smartphone features an intuitive interface that makes it easy for users to navigate and find what they need.,,
7,latest,/ˈleɪtɪst/,The company released its latest smartphone model with advanced features.,,
8,obsolete,/ˌɑbsəˈliːt/,The flip phone has become obsolete in an era dominated by smartphones.,,
9,outdated,/ˌaʊtˈdeɪtɪd/,"His outdated smartphone, lacking modern features and capabilities, struggled to keep up with the latest apps and software updates.",,
10,novel,/ˈnɑvəl/,Her novel approach to problem-solving impressed the entire team with its creativity and effectiveness.,,
11,to power,/ˈpaʊɚ/,"Solar panels are used to power many homes in the neighborhood, reducing reliance on fossil fuels.",,
12,to charge,/ʧɑrdʒ/,"He forgot to charge his laptop overnight, so it ran out of battery during his presentation.",,
13,to recharge,/riːˈʧɑrʤ/,She needs to recharge her phone before going out.,,
14,to drain,/dreɪn/,The extended drought drained the reservoirs of water.,,
15,to boot,/buːt/,"She booted her laptop, eager to dive into her latest writing project.",,
16,to start up,/stɑrt ʌp/,She started up her laptop to check her emails.,,
17,to shut down,/ʃʌt daʊn/,He shut the computer down after finishing his work.,,
18,to update,/ˈʌpˌdeɪt/,She decided to update her resume with her most recent job experience.,,
19,battery,/ˈbætəri/,The flashlight wouldn't turn on because the battery was dead.,,
20,capacity,/kəˈpæsɪti/,The capacity of the factory increased with the installation of new machinery.,,
21,signal,/ˈsɪɡnəl/,"The satellite transmits a signal to the television station, allowing live broadcasts to be aired.",,
22,generation,/ˌʤɛnəˈreɪʃən/,The latest generation of smartphones features enhanced camera capabilities and longer battery life.,,
23,process,/ˈprɑˌsɛs/,"The operating system efficiently manages multiple processes simultaneously, ensuring each one operates independently without interference.",,
24,charger,/ˈʧɑrʤɚ/,I always carry a portable charger to ensure my phone doesn’t run out of battery during long trips.,,
25,cable,/ˈkeɪbəl/,The electrician installed a new cable to ensure a stable power supply to the building.,,
26,memory,/ˈmɛməri/,The computer's memory was upgraded to 16GB to improve its performance and speed.,,
27,screen,/skriːn/,Scrolling down the page reveals a lengthy screen of text.,,
28,controller,/kənˈtroʊlɚ/,The drone's controller allows the pilot to navigate it smoothly through the air.,,
29,control panel,/kənˈtroʊl ˈpænəl/,The control panel of the washing machine allows you to select different wash cycles and settings.,,
30,microscope,/ˈmaɪkrəˌskoʊp/,The scientist used a microscope to examine the structure of the bacteria in the sample.,,
31,magnifying glass,/ˈmæɡnɪˌfaɪɪŋ ɡlæs/,The detective used a magnifying glass to examine the tiny clues left at the crime scene.,,
32,compass,/ˈkʌmpəs/,The hiker used a compass to navigate through the dense forest and stay on the right path.,,
33,drone,/droʊn/,The photographer used a drone to capture stunning aerial shots of the landscape.,,
34,cutting-edge,/ˈkʌtɪŋ ˈɛʤ/,The cutting-edge medical device uses nanotechnology to deliver targeted treatments with unprecedented precision.,,
35,off,/ɑf/,The lights went off suddenly.,,
36,touchscreen,/ˈtʌʧˌskriːn/,The phone has a responsive touchscreen for easy navigation.,,
