order,word,phonetic,example,note,definition_en
1,everyone,/ˈɛvriˌwʌn/,"In times of crisis, everyone comes together to support each other.",,
2,everything,/ˈɛvriˌθɪŋ/,"After the tornado, everything in the town was destroyed.",,
3,everywhere,/ˈɛvriˌwɛr/,Everywhere was silent after the announcement.,,
4,someone,/ˈsʌmˌwʌn/,Someone left their umbrella in the hallway.,,
5,something,/ˈsʌmˌθɪŋ/,I need to buy something for dinner tonight.,,
6,somewhere,/ˈsʌmˌwɛr/,Let's meet somewhere quiet.,,
7,someplace,/ˈsʌmˌpleɪs/,They're hoping to find someplace to eat that's open late.,,
8,no one,/ˈnoʊ ˌwʌn/,No one believed his outrageous claims about aliens.,,
9,nothing,/ˈnʌθɪŋ/,"After rummaging through the drawers, she found nothing of value.",,
10,nowhere,/ˈnoʊˌwɛr/,"They looked around the room, but there was nowhere suitable for the large painting to hang.",,
11,anyone,/ˈɛniˌwʌn/,Is anyone available to help with the project?,,
12,anything,/ˈɛniˌθɪŋ/,I don't have anything to wear for the party.,,
13,anywhere,/ˈɛniˌwɛr/,Is there anywhere quiet to study here?,,
14,other,/ˈʌðɚ/,"I have my favorite book, and I'd like to hear about others that you recommend.",,
15,no,/noʊ/,There is no reason to be afraid.,,
16,any,/ˈɛni/,You may sit in any chair you like.,,
17,none,/nʌn/,None of the students in the class had completed the assignment on time.,,
18,some,/sʌm/,I need to buy some groceries.,,
19,every,/ˈɛvri/,Every student in the class received a certificate.,,
20,either,"/ˈiðɚ/ , /ˈaɪðɚ/",You can choose either option for dinner tonight; I'm fine with whatever you decide.,,
21,several,/ˈsɛvɚəl/,"He owns several cars, each for a different purpose.",,
22,whose,/huːz/,She's an author whose novels have topped the bestseller list.,,
23,which,/wɪʧ/,Which of these options is the best solution to the problem?,,
