order,word,phonetic,example,note,definition_en
1,try,,,,
2,to attempt,,,,
3,to cost,,,,
4,difficulty,,,,
5,advantage,,,,
6,disadvantage,,,,
7,disappointing,,,,
8,expectation,,,,
9,enemy,,,,
10,to fail,,,,
11,failure,,,,
12,trouble,,,,
13,hard,,,,
14,lost,,,,
15,to miss,,,,
16,to overcome,,,,
17,purpose,,,,
18,to achieve,,,,
19,unsuccessful,,,,
20,to work,,,,
21,obstacle,,,,
22,to go on,,,,
23,to give up,,,,
24,to abandon,,,,
25,to fight,,,,
26,to accomplish,,,,
27,success,,,,
28,to succeed,,,,
29,well-paid,,,,
30,to trouble,,,,
31,mistake,,,,
