order,word,phonetic,example,note,definition_en
1,palimpsest,/ˈpæɫɪˌsɛst/,"The ancient scroll was a palimpsest, with layers of text scraped away and overwritten with new writing, revealing glimpses of its earlier content.",,
2,page,/peɪdʒ/,The young page polished the knight's armor every morning.,,
3,hieroglyphic,/ˌhaɪɹoʊˈɡɫɪfɪk/,Understanding hieroglyphics requires knowledge of both the symbols and the context in which they were written.,,
4,galley,/ˈɡæɫi/,The Greek and Roman navies employed galleys as key vessels in their fleets during ancient times.,,
5,belle epoque,/bˈɛl ˈɛpoʊk/,"The Belle Époque was a period of cultural flourishing and optimism in Europe, characterized by economic prosperity, technological innovation, and artistic innovation.",,
6,zeitgeist,/ˈtsaɪtˌɡaɪst/,"The 1960s was a decade defined by the zeitgeist of social change and cultural revolution, with movements for civil rights, feminism, and anti-war activism shaping the era.",,
7,genealogy,/ˌdʒiniˈɑɫədʒi/,I discovered fascinating details about my ancestors while researching my genealogy.,,
8,relic,/ˈɹɛɫɪk/,"The museum displayed a relic from the Bronze Age, drawing historians from all over the country.",,
9,antiquity,/ænˈtɪkwəti/,"Antiquity refers to the period in history before the Middle Ages, encompassing the civilizations of ancient Greece and Rome.",,
10,crusade,/kɹuˈseɪd/,The First Crusade aimed to capture Jerusalem from Muslim control in the late 11th century.,,
11,decolonization,/dᵻkˌɑːlənaɪzˈeɪʃən/,The decolonisation of Africa in the mid-20th century led to the emergence of numerous independent nations.,,
12,barbarian,/bɑɹˈbɛɹiən/,The Romans considered the northern tribes to be barbarians.,,
13,tsar,"/ˈtsɑɹ/, /ˈzɑɹ/","The tsar was the title used by the rulers of Russia before the Russian Revolution of 1917, signifying their absolute authority and sovereignty.",,
14,to chronicle,/ˈkɹɑnɪkəɫ/,The historian chronicles the rise and fall of ancient civilizations in her latest book.,,
15,the Commonwealth,/ˈkɑmənˌwɛɫθ/,"The Commonwealth is an association of independent states, most of which were former territories of the British Empire, that cooperate on matters of mutual interest.",,
