order,word,phonetic,example,note,definition_en
1,to opt,/ˈɑpt/,"Given the tight schedule, she decided to opt for the quicker route to the airport.",,
2,to boast,/ˈboʊst/,"During the interview, the candidate couldn't help but boast about their extensive experience and impressive track record",,
3,to pledge,/ˈpɫɛdʒ/,He pledged to support the charity throughout his life.,,
4,to proclaim,/pɹoʊˈkɫeɪm/,The king gathered the court to proclaim a new law that would impact the entire kingdom.,,
5,to renew,/ɹɪˈnu/,The homeowner decided to renew the roof to fix leaks and improve energy efficiency.,,
6,to resume,"/ɹiˈzum/, /ɹɪˈzum/","After the lunch break, they resumed the meeting.",,
7,to initiate,/ˌɪˈnɪʃiˌeɪt/,The company decided to initiate a new marketing campaign to promote their latest product.,,
8,to manifest,/ˈmænəˌfɛst/,Her kindness manifested in the charity work she tirelessly pursued.,,
9,to originate,/ɝˈɪdʒəˌneɪt/,The idea originated from a conversation between friends.,,
10,to stem,/ˈstem/,The rise in inflation can often stem from increased demand for goods and services without a corresponding increase in supply.,,
11,to suppress,/səˈpɹɛs/,"As the crowd grew, the authorities decided to suppress the protest before it could escalate further.",,
12,to aspire,/əˈspaɪɹ/,"Living in a small town, he always aspired to travel the world and experience different cultures firsthand.",,
13,to coincide,/ˌkoʊɪnˈsaɪd/,Her birthday coincides with the start of the school year.,,
14,to complement,/ˈkɑmpɫəmənt/,"The new accessories complemented her outfit, adding a touch of elegance.",,
15,to constitute,/ˈkɑnstəˌtut/,Healthy fats and proteins constitute a balanced diet that supports overall well-being.,,
16,to coordinate,"/koʊˈɔɹdəˌneɪt/, /koʊˈɔɹdənət/","The event planner coordinated all aspects of the wedding, ensuring that vendors, guests, and the wedding party were synchronized for a seamless celebration.",,
17,to correspond,/ˌkɔɹəˈspɑnd/,The data collected from the experiment closely corresponds to the predictions made by the scientific model.,,
18,to deprive,/dɪˈpɹaɪv/,The harsh weather deprived the hikers of proper shelter.,,
19,to displace,/dɪsˈpɫeɪs/,The conflict in the region has continued to displace thousands of families.,,
20,to ease,/ˈiz/,She took medication to ease the pain in her back after a long day of physical work.,,
21,to embed,/ɪmˈbɛd/,The artist decided to embed colorful gems into the sculpture to add a touch of sparkle.,,
22,to enact,/ɪˈnækt/,The legislature voted to enact new regulations governing environmental protection.,,
23,to encompass,/ɛnˈkəmpəs/,The report will encompass data from various sources to provide a comprehensive analysis.,,
24,to endure,"/ɛnˈdjʊɹ/, /ɪnˈdʊɹ/",The employees had to endure long working hours during the busy season to meet the project deadline.,,
25,to evoke,"/iˈvoʊk/, /ɪˈvoʊk/",The old song playing on the radio never failed to evoke memories of their first dance.,,
26,to facilitate,/fəˈsɪɫəˌteɪt/,The government implemented policies to facilitate foreign investment and economic growth.,,
27,to foster,/ˈfɑstɝ/,The school aims to foster a supportive environment where students can thrive academically and socially.,,
28,to hail,/heɪl/,Fans hailed the athlete for breaking the record with a standing ovation and cheers.,,
29,to halt,/ˈhɔɫt/,An unexpected obstacle on the railroad tracks forced the train conductor to halt the locomotive.,,
30,to incur,/ˌɪnˈkɝ/,He incurred substantial medical bills after undergoing surgery without health insurance.,,
31,to indulge,/ˌɪnˈdəɫdʒ/,She decided to indulge in a piece of chocolate cake as a treat.,,
32,to expire,/ɪkˈspaɪɹ/,"Her driver's license is set to expire next month, so she needs to renew it before then.",,
33,to venture,/ˈvɛnʧɚ/,"After several unsuccessful startups, he was hesitant to venture his life savings on another business idea.",,
34,to decay,/dɪˈkeɪ/,Wood can decay if left untreated and exposed to moisture.,,
35,to consolidate,/kənˈsɑlɪˌdeɪt/,The company decided to consolidate its various departments to streamline operations and improve communication.,,
36,to double-cross,/dˈʌbəlkɹˈɔs/,The criminal double-crossed his partner by taking the stolen goods and fleeing with them alone.,,
