order,word,phonetic,example,note,definition_en
1,armpit,/ˈɑrmˌpɪt/,The athlete wiped the sweat from his armpits with a towel after a grueling workout.,,
2,hip,/hɪp/,She rested her hands on her hips while contemplating the situation.,,
3,temple,/ˈtɛmpəl/,He rubbed his temples to ease the headache.,,
4,thumb,/θʌm/,She accidentally cut her thumb while chopping vegetables.,,
5,toenail,/ˈtoʊˌneɪl/,She accidentally stubbed her toe and broke a toenail.,,
6,fingernail,/ˈfɪŋɡɚˌneɪl/,She painted her fingernail a bright shade of red.,,
7,joint,/ʤɔɪnt/,The knee is a complex joint that allows for bending and straightening of the leg.,,
8,rib,/rɪb/,The doctor examined the patient's ribs after the fall to check for any fractures.,,
9,sole,/soʊl/,"She walked barefoot on the sandy beach, feeling the warm grains against the soles of her feet.",,
10,eyeball,/ˈaɪˌbɑːl/,,,
11,to breathe,/briːð/,She breathes deeply to calm her nerves before the presentation.,,
12,circulation,/ˌsɝːkjəˈleɪʃən/,Regular exercise improves blood circulation throughout the body.,,
13,sense,/sɛns/,Sight is a sense that allows us to see the world around us.,,
14,sight,/saɪt/,"His sight began to deteriorate with age, requiring him to wear glasses.",,
15,hearing,/ˈhɪrɪŋ/,"His hearing was exceptionally acute, allowing him to detect even faint sounds in the forest.",,
16,touch,/tʌtʃ/,Blind people rely on touch to read Braille.,,
17,smell,/smɛl/,She relied on her keen sense of smell to detect any gas leaks in the house.,,
18,waist,/weɪst/,She cinched her belt tightly around her waist to emphasize her hourglass figure.,,
19,taste,/teɪst/,Her refined sense of taste allowed her to detect subtle notes in the wine.,,
20,hormone,/ˈhɔrˌmoʊn/,"Insulin, a hormone from the pancreas, controls blood sugar levels.",,
21,tissue,/ˈtɪʃu/,Muscle tissue enables movement and supports the body's structure.,,
22,nerve,/nɝv/,,,
23,gesture,/ˈʤɛsʧɚ/,She made a gesture of approval with her thumb.,,
24,tear,/tɪr/,A tear rolled down her cheek.,,
25,blood sugar,/ˈblʌd ˈʃʊɡɚ/,,,
26,kidney,/ˈkɪdni/,"She experienced symptoms of kidney infection, including fever, back pain, and frequent urination, prompting a visit to her healthcare provider.",,
27,lung,/lʌŋ/,The lungs are essential organs responsible for exchanging oxygen and carbon dioxide with the bloodstream during respiration.,,
