order,word,phonetic,example,note,definition_en
1,calendar,/ˈkælɪndɚ/,I have a beautiful calendar in my kitchen that shows images of different landscapes.,,
2,century,/ˈsɛnʧəri/,Climate change is one of the most serious issues of this century.,,
3,decade,/ˈdɛˌkeɪd/,It's been a decade since I last visited my hometown.,,
4,today,/təˈdeɪ/,I have a dentist appointment today.,,
5,tonight,/təˈnaɪt/,She is working the night shift at the hospital tonight.,,
6,yesterday,/ˈjɛstɚˌdeɪ/,She submitted the report yesterday.,,
7,tomorrow,/təˈmɑˌroʊ/,An interesting documentary is airing on TV tomorrow.,,
8,the past,/pæst/,I learned a lot from the mistakes I made in the past.,,
9,future,/ˈfjuʧɚ/,She's excited about her future at the new job.,,
10,moment,/ˈmoʊmənt/,"For a moment, I thought I had lost my wallet.",,
11,lunchtime,/ˈlʌnʧˌtaɪm/,Lunchtime is my favorite part of the school day.,,
12,long,/lɑːŋ/,She waited long for the bus to arrive.,,
13,short,/ʃɔrt/,I had a short chat with my neighbor this morning.,,
14,early,/ˈɝli/,She always arrives early for appointments.,,
15,late,/leɪt/,He arrived late to the concert and missed the first song.,,
16,daily,/ˈdeɪli/,My sister meditates daily for stress relief.,,
17,weekly,/ˈwikˌli/,I used to update my social media accounts weekly.,,
18,monthly,/ˈmʌnθli/,My mother attends a cooking class monthly.,,
19,yearly,/ˈjɪrli/,He gets his car serviced yearly.,,
20,immediately,/ɪˈmidiətli/,"After hearing the news, he immediately returned home.",,
21,recently,/ˈrisəntli/,We attended a conference recently to stay updated.,,
22,last,/læst/,"We missed the last train home, so we had to call a taxi.",,
23,later,/ˈleɪtɚ/,He asked me to return his call later.,,
24,before,/bɪˈfɔːr/,I had visited that city before.,,
25,on time,/ˌɑn ˈtaɪm/,He completes his tasks on time without any reminders.,,
26,suddenly,/ˈsʌdənli/,"Suddenly, she remembered where she had left her keys.",,
27,yet,/jɛt/,"She has been studying for hours, and she isn't finished yet.",,
28,a.m.,/ˌeɪˈɛm/,"Don't forget, your flight is at 6 a.m. tomorrow.",,
29,p.m.,/ˌpiˈɛm/,I'll pick you up at 2 p.m. for the doctor's appointment.,,
30,after,/ˈæftɚ/,"She left the party early, and he followed shortly after.",,
31,close,/kloʊs/,"The deadline for the project is close, and we need to finish soon.",,
32,modern,/ˈmɑdɚn/,Advances in modern medicine have greatly improved life expectancy.,,
33,to pass,/pæs/,Minutes passed slowly during the boring lecture.,,
