order,word,phonetic,example,note,definition_en
1,adjacent,/əˈʤeɪsənt/,The bookstore is located in the shopping mall adjacent to the coffee shop.,,
2,architectural,/ˌɑrkɪˈtɛktʃərəl/,"The city skyline is a testament to its rich architectural heritage, featuring a blend of modern skyscrapers and historic landmarks.",,
3,interior,/ɪnˈtɪriɚ/,The interior walls of the house were painted in calming shades of blue and gray.,,
4,exterior,/ɪkˈstɪriɚ/,They decided to repaint the exterior walls of the house to refresh its look.,,
5,insulated,/ˈɪnsəˌleɪtɪd/,The insulated walls of the house helped maintain a comfortable indoor temperature year-round.,,
6,municipal,/mjuˈnɪsɪpəl/,The municipal government announced plans to improve public transportation infrastructure in the city.,,
7,residential,/ˌrɛzɪˈdɛnʃəl/,The city zoning regulations prohibit commercial activities in residential areas.,,
8,godforsaken,/ˈɡɑdfɚˌseɪkən/,Who would want to live in this godforsaken town with nothing around for miles?,,
9,suburban,/səˈbɝbən/,The suburban neighborhood was known for its quiet streets and spacious homes.,,
10,vacant,/ˈveɪkənt/,The vacant house at the end of the street had been abandoned for years.,,
11,to assemble,/əˈsɛmbəl/,The team of workers assembled the furniture according to the provided instructions.,,
12,to decay,/dɪˈkeɪ/,The old house began to decay after years of neglect.,,
13,to demolish,/dɪˈmɑlɪʃ/,The old factory was demolished to make way for a new development.,,
14,to erect,/ɪˈrɛkt/,The construction crew worked diligently to erect a new office building in the city center.,,
15,to refurbish,/riˈfɝbɪʃ/,They refurbished the old house to make it livable again.,,
16,to renovate,/ˈrɛnəˌveɪt/,"The homeowners decided to renovate their kitchen, installing new cabinets and countertops.",,
17,bungalow,/ˈbʌŋɡəˌloʊ/,"The bungalow had a spacious backyard, perfect for hosting summer barbecues.",,
18,court,/kɔrt/,"The grand manor boasted a beautiful inner court, adorned with lush greenery and elegant stone pathways, providing a serene retreat for its residents.",,
19,dome,/doʊm/,The majestic cathedral was topped with a towering dome that gleamed in the sunlight.,,
20,sauna,/ˈsɑnə/,"After a long day of skiing, they relaxed their muscles in the hotel's traditional Finnish sauna.",,
21,igloo,/ˈɪɡluː/,"In the Arctic, indigenous people have been building traditional igloos for generations to withstand harsh winter conditions.",,
22,high-rise,/ˈhaɪˌraɪz/,"The city skyline was dotted with towering high-rises, each competing for prominence.",,
23,lighthouse,/ˈlaɪtˌhaʊs/,The old lighthouse guided ships safely through the treacherous waters of the harbor.,,
24,pier,/pɪr/,"Families strolled along the pier, enjoying the salty breeze and panoramic views of the ocean.",,
25,premises,/ˈprɛmɪsɪz/,The company's premises included a modern office building surrounded by landscaped gardens.,,
26,arch,/ɑrtʃ/,The Golden Gate Bridge in San Francisco is a famous example of a suspension bridge with massive arches.,,
27,beam,/biːm/,"The construction workers carefully lifted the steel beam into place, securing it to the framework of the building.",,
28,cement,/səˈmɛnt/,"The construction crew poured cement into the foundation trenches, beginning the process of building the new house.",,
29,tile,/taɪl/,"The kitchen floor was covered in ceramic tiles, creating a clean and durable surface that was easy to clean.",,
30,marble,/ˈmɑrbəl/,"The grand staircase in the mansion was adorned with marble steps, gleaming in the sunlight that streamed through the stained glass windows.",,
31,crane,/kreɪn/,The construction site buzzed with activity as the crane lifted steel beams into place for the new skyscraper.,,
32,escalator,/ˈɛskəˌleɪtɚ/,The weary travelers rode the escalator down to the baggage claim area after a long flight.,,
33,addition,/əˈdɪʃən/,The architect drew up plans for an addition that would seamlessly blend with the original structure of the historic mansion.,,
34,flooring,/ˈflɔrɪŋ/,The hardwood flooring in the living room added warmth and elegance to the space.,,
35,foundation,/faʊnˈdeɪʃən/,The construction crew poured concrete to create a solid foundation for the new office building.,,
36,layout,/ˈleɪˌaʊt/,"The architect presented several options for the layout of the new office space, each maximizing natural light and efficiency.",,
37,embassy,/ˈɛmbəsi/,The ambassador hosted a reception at the embassy to welcome visiting dignitaries.,,
38,plumbing,/ˈplʌmɪŋ/,The plumbing in the old house needed extensive repairs due to leaks and corrosion.,,
39,chalet,/ʃæˈleɪ/,The family rented a cozy chalet in the Swiss Alps for their winter vacation.,,
40,windowpane,/ˈwɪndoʊˌpeɪn/,"The winter storm rattled the windowpanes, sending shivers down her spine.",,
41,lobby,/ˈlɑbi/,"Guests gathered in the hotel lobby, waiting for the shuttle to the airport.",,
42,thatched,/θætʃt/,"The quaint cottage nestled in the countryside boasted a charming, thatched roof.",,
43,shovel-ready,/ˈʃʌvəl ˈrɛdi/,The government's infrastructure plan aimed to create jobs by focusing on shovel-ready construction projects.,,
44,to desecrate,/ˈdɛsɪˌkreɪt/,Many lanes are desecrated with yellow lines.,,
