order,word,phonetic,example,note,definition_en
1,menu,/ˈmɛnjuː/,"He's allergic to shellfish, so he's careful when reading the menu.",,
2,order,/ˈɔrdɚ/,He made a mistake on his order and had to correct it.,,
3,pasta,/ˈpɑːstə/,"He prefers pasta with light, olive oil-based sauces.",,
4,fast food,/fæst fuːd/,"Fast food is convenient, but it's not the healthiest choice.",,
5,hamburger,/ˈhæmˌbɝːɡɚ/,He topped his hamburger with blue cheese.,,
6,hot dog,/ˈhɑːt ˌdɔːɡ/,He ordered a hot dog with extra jalapeños for some spice.,,
7,sausage,/ˈsɑːsɪdʒ/,He enjoys a sausage sandwich for his lunch.,,
8,pea,/piː/,"He carefully harvested the ripe peas, ensuring not to damage the delicate pods.",,
9,bean,/biːn/,I like to add beans to my salads for an extra dose of fiber and texture.,,
10,mushroom,"/ˈmʌʃˌruːm/ , /ˈmʌʃˌrʊm/","He likes his sandwich with fresh lettuce, tomato, and mushrooms.",,
11,noodle,/ˈnuːdəl/,"For a quick and easy meal, I whipped up a delicious garlic and butter noodle dish.",,
12,dessert,/dɪˈzɝːt/,He whipped up a batch of brownies as a quick dessert.,,
13,hot chocolate,/hɑːt ˈtʃɑːklɪt/,He loves his hot chocolate with a dollop of whipped cream and a dusting of cocoa powder.,,
14,pie,/paɪ/,He made a delicious banana cream pie for us.,,
15,sauce,/sɔːs/,My mother made a creamy béchamel sauce for the lasagna.,,
16,toast,/toʊst/,He eats his scrambled eggs with a side of toast.,,
17,delicious,/dɪˈlɪʃəs/,"For me, the most delicious food always involves cheese.",,
18,flavor,/ˈfleɪvɚ/,He loves the tangy flavor of pickles.,,
19,fresh,/frɛʃ/,He made a smoothie with fresh bananas and blueberries.,,
20,salty,/ˈsɔːlti/,"He added too much salt, making the pasta salty.",,
21,sweet,/swiːt/,He likes the sweet taste of fresh strawberries.,,
22,junk food,/ˈdʒʌŋk fuːd/,He decided to cut junk food from his diet for better health.,,
23,potato chip,/pəˈteɪtoʊ ˈtʃɪp/,Potato chips are a common junk food item.,,
24,French fries,/ˈfrɛntʃ ˌfraɪz/,"At the restaurant, they serve French fries with a special dipping sauce.",,
25,snack,/snæk/,"At the party, there were many snacks to choose from.",,
26,to order,/ˈɔrdɚ/,He ordered a round of drinks for everyone at the table.,,
27,to serve,/sɝːv/,Pour the sauce over the pasta and serve it immediately.,,
28,taste,/teɪst/,He liked the complex taste of the wine.,,
29,sour,/ˈsaʊɚ/,The green apple had a delightfully sour and crisp flavor.,,
30,to fry,/fraɪ/,He decided to fry the shrimp for the pasta dish.,,
31,dark chocolate,/dɑːrk ˈtʃɑːklɪt/,He was surprised by the bitterness of the dark chocolate.,,
32,coffee shop,/ˈkɑːfi ˌʃɑːp/,He works part-time at a coffee shop near the university.,,
