order,word,phonetic,example,note,definition_en
1,to deal with,/ˈdiːl wɪð/,"As a teacher, she needs to deal with various student behaviors.",,
2,to go in,/ɡoʊ ˈɪn/,"The theater doors will open soon, so you can go in and find your seats.",,
3,to go out,/ɡoʊ ˈaʊt/,He often goes out to play basketball in the park with his friends.,,
4,to get in,/ɡɛt ˈɪn/,She got in the car and drove away.,,
5,to get out,/ɡɛt ˈaʊt/,It's a beautiful day; let's get out of the house and enjoy the sunshine.,,
6,to turn up,/ˈtɝn ˈʌp/,Can you turn up the radio? I want to listen to this song.,,
7,to turn down,/ˈtɝn ˈdaʊn/,"Before bed, my mother always turns down the volume of our TV.",,
8,to go up,/ɡoʊ ˈʌp/,"After the meeting, he will go up to his office.",,
9,to go down,/ɡoʊ ˈdaʊn/,She needed to go down to the basement to retrieve some stored items.,,
10,to get on,/ɡɛt ˈɑn/,The passengers lined up to get on the cruise ship.,,
11,to get off,/ɡɛt ˈɔf/,The passengers were asked to get off the bus at the next stop.,,
12,to put down,/pʊt ˈdaʊn/,"As soon as I entered the room, I put down my umbrella.",,
13,to pick up,/ˈpɪk ˈʌp/,He picked the suitcase up and walked to the taxi stand.,,
14,to come in,/kʌm ˈɪn/,"As soon as she heard the music, she decided to come in.",,
15,to grow up,/ɡroʊ ˈʌp/,Many children dream of what they want to be when they grow up.,,
16,to find out,/faɪnd ˈaʊt/,They are trying to find out who won the award last night.,,
17,to get up,/ɡɛt ˈʌp/,"After a long flight, it felt good to get up and stretch my legs.",,
18,to hurry up,/ˈhɝi ˈʌp/,He doesn’t need to hurry up as he’s already finished his work.,,
19,to throw out,/ˈθroʊ ˈaʊt/,Don't forget to throw the trash out before you leave.,,
20,to calm down,/ˈkɑm ˈdaʊn/,"After the accident, it took her a while to calm down.",,
21,to slow down,/sloʊ ˈdaʊn/,"In heavy traffic, it's common for vehicles to slow down and create congestion.",,
22,to look around,/lʊk əˈraʊnd/,"I looked around the garden, admiring the beautiful flowers.",,
23,to turn around,/ˈtɝn əˈraʊnd/,She asked him to turn around so she could fix the tag on his shirt.,,
24,to get back,/ɡɛt ˈbæk/,"After a long vacation, it can be challenging to get back into your regular work routine.",,
25,to look up,/lʊk ˈʌp/,"I couldn't remember her phone number, so I looked it up.",,
26,to let in,/ˈlɛt ˈɪn/,I forgot my keys and had to wait for my roommate to let me in.,,
27,to try on,/ˈtraɪ ˈɑn/,Can I try these sunglasses on to see how they look on me?,,
28,to switch on,/ˈswɪʧ ˈɑn/,"As soon as she entered the room, she switched the lights on.",,
29,to switch off,/ˈswɪʧ ˈɔf/,I always switch off my computer at night to save energy.,,
30,to wake up,/ˈweɪk ˈʌp/,Don't forget to wake up your sister for school.,,
