order,word,phonetic,example,note,definition_en
1,to coax,/ˈkoʊks/,Parents often have to coax their children into eating vegetables by making it seem enjoyable or interesting.,,
2,to cajole,/kəˈdʒoʊɫ/,She tried to cajole her friend into joining her for the weekend getaway with promises of a relaxing time.,,
3,to reason with,/ɹˈiːzən wɪð/,She tried to reason with her friend to stop making impulsive decisions.,,
4,to lure,/ˈɫʊɹ/,The colorful advertisements were strategically placed to lure shoppers into the store.,,
5,to inveigle,/ɪnvˈeɪɡəl/,The charming salesperson tried to inveigle customers into buying the expensive product by emphasizing its exclusive features.,,
6,to entice,/ɪnˈtaɪs/,Advertisers hoped colorful displays would entice shoppers to browse their selection.,,
7,to sway,/ˈsweɪ/,The passionate speaker hoped to sway the audience with compelling arguments.,,
8,to faze,/ˈfeɪz/,"Despite the unexpected challenge, she did not allow it to faze her; instead, she tackled it with determination.",,
9,to disconcert,/ˌdɪskənˈsɝt/,"The sudden change in plans disconcerted the entire team, who had prepared for the original schedule.",,
10,to prod,/ˈpɹɑd/,The coach tried to prod the team into giving their best effort during the intense match.,,
11,to exhort,/ɪɡˈzɔɹt/,The teacher exhorted the students to embrace challenges as opportunities for growth and learning.,,
12,to admonish,/ædˈmɑnɪʃ/,The coach admonished the players to adhere to fair play and sportsmanship during the game.,,
13,to nobble,/nˈɑːbəl/,The corrupt official was accused of attempting to nobble the jury by offering them bribes.,,
14,to procure,/pɹoʊkˈjʊɹ/,The manager procured his team to work overtime to meet the project deadline.,,
15,to ingrain,/ɪnɡɹˈeɪn/,Parents often aim to ingrain the value of honesty in their children from an early age.,,
