order,word,phonetic,example,note,definition_en
1,pet,,,,
2,lamb,,,,
3,camel,,,,
4,tiger,,,,
5,whale,,,,
6,penguin,,,,
7,shark,,,,
8,insect,,,,
9,fly,,,,
10,spider,,,,
11,crocodile,,,,
12,dolphin,,,,
13,fox,,,,
14,hamster,,,,
15,tail,,,,
16,wool,,,,
17,egg,,,,
18,web,,,,
19,zoo,,,,
20,deer,,,,
21,eagle,,,,
22,beetle,,,,
23,bee,,,,
24,bear,,,,
25,monkey,,,,
26,butterfly,,,,
27,mosquito,,,,
28,ladybug,,,,
29,cockroach,,,,
30,firefly,,,,
31,type,,,,
32,wild,,,,
33,to hunt,,,,
34,to ride,,,,
35,kind,,,,
