order,word,phonetic,example,note,definition_en
1,to bewitch,/bɪˈwɪtʃ/,"The sorceress bewitched the knight, making him unable to leave the castle.",,
2,to charm,/ˈtʃɑɹm/,The wizard charmed the prince into giving him the magical sword.,,
3,to curse,/ˈkɝs/,The witch cursed the wicked king for his cruelty.,,
4,to enchant,/ɛnˈtʃænt/,The wizard enchanted the princess with a magical spell.,,
5,to haunt,/ˈhɔnt/,The old mansion was said to be haunted by the ghost of a former resident.,,
6,demon,/ˈdimən/,The old legend spoke of a demon that haunted the abandoned house at the edge of town.,,
7,dragon,/ˈdɹæɡən/,"The dragon soared through the sky, its wings spreading wide.",,
8,dwarf,/ˈdwɔɹf/,"In fairy tales, dwarfs are often portrayed as skilled miners who live underground.",,
9,fairy,/ˈfɛɹi/,"The children believed that fairies lived at the bottom of the garden, among the flowers and trees.",,
10,genie,/ˈdʒini/,"Aladdin rubbed the lamp and released the genie, who granted him three wishes.",,
11,ghost,/ˈɡoʊst/,They claimed to have seen a ghost in the old abandoned house late at night.,,
12,giant,/ˈdʒaɪənt/,"In the fairy tale, the giant lived in a castle high above the clouds.",,
13,ghoul,/ˈɡuɫ/,"According to legend, ghouls lurk in cemeteries and graveyards, seeking fresh corpses to devour.",,
14,goblin,/ˈɡɑbɫɪn/,The goblin's laughter echoed through the dark forest.,,
15,golem,/ˈɡoʊɫəm/,The ancient text described how the rabbi created a golem to protect the Jewish community from harm.,,
16,goddess,/ˈɡɑdəs/,"The Hindu goddess Lakshmi is worshiped as the deity of wealth, prosperity, and good fortune.",,
17,leprechaun,/ˈɫɛpɝkaʊn/,"According to legend, if you catch a leprechaun, he must grant you three wishes in exchange for his freedom.",,
18,mermaid,/ˈmɝˌmeɪd/,"She dreamed of being a mermaid, imagining swimming with colorful fish and exploring underwater caves.",,
19,monster,/ˈmɑnstɝ/,The villagers warned of a monster lurking in the forest at night.,,
20,nymph,/ˈnɪmf/,Modern fantasy games might include nymphs as characters who offer quests or magical assistance to players.,,
21,ogre,/ˈoʊɡɝ/,"In the fairy tale, the hero must confront a fearsome ogre who lives in a dark, isolated cave.",,
22,phoenix,/ˈfinɪks/,The phoenix is often depicted as a symbol of resurrection and immortality.,,
23,siren,/ˈsaɪɹən/,"In Greek mythology, the siren's song led sailors to shipwrecks on rocky shores.",,
24,sorcerer,/ˈsɔɹsɝɝ/,The sorcerer waved his staff and a bright light filled the room.,,
25,sorceress,/sˈoːɹsɚɹəs/,The sorceress cast a powerful spell to protect the village from harm.,,
26,spirit,"/ˈspɪɹət/, /ˈspɪɹɪt/",Legends describe a spirit haunting the old mansion.,,
27,tooth fairy,/tˈuːθ fˈɛɹi/,The children eagerly awaited a visit from the tooth fairy after losing their first tooth.,,
28,troll,/ˈtɹoʊɫ/,"The depiction of trolls in popular culture has evolved, with some stories presenting them as misunderstood or even comical characters.",,
29,unicorn,/ˈjunɪˌkɔɹn/,"In the fairytale, the brave princess rode a unicorn through the enchanted forest.",,
30,voodoo doll,/vˈuːduː dˈɑːl/,The practitioner used a voodoo doll to perform a healing ritual for a sick friend.,,
31,werewolf,/ˈwɛɹˌwʊɫf/,"Legends of werewolves date back centuries, depicting them as fearsome creatures of the night.",,
32,zombie,/ˈzɑmbi/,The horror movie featured a terrifying zombie apocalypse where the undead roamed the streets.,,
33,demigod,/ˈdɛmiˌɡɑd/,Many legends feature demigods who perform great feats or embark on epic quests due to their divine heritage.,,
34,fabled,/ˈfeɪbəɫd/,"Many cultures have fabled creatures, such as dragons or griffins, that symbolize various traits or powers.",,
