order,word,phonetic,example,note,definition_en
1,dice,/daɪs/,,,
2,tie,/taɪ/,,,
3,to tie,/taɪ/,The soccer match tied after both teams scored two goals each in the second half.,,
4,to cheat,/ʧiːt/,He cheats during card games by secretly looking at other players' hands.,,
5,to go,/ɡoʊ/,It's your turn to go in the chess game; make your move.,,
6,turn,/tɝn/,"She took her turn in the game, rolling the dice and moving her game piece.",,
7,play,/pleɪ/,The children's laughter filled the playground as they engaged in play.,,
8,chess,/ʧɛs/,Chess requires strategic thinking and planning several moves ahead to outmaneuver your opponent.,,
9,crossword,/ˈkrɑːsˌwɝd/,I spent the morning working on a crossword puzzle while enjoying my coffee.,,
10,dollhouse,/ˈdɑlˌhaʊs/,,,
11,winning,/ˈwɪnɪŋ/,The winning team celebrated their victory with cheers and high-fives.,,
12,puzzle,/ˈpʌzəl/,Solving a crossword puzzle can be a fun way to test your vocabulary and problem-solving skills.,,
13,trick,/trɪk/,,,
14,move,/muv/,,,
15,to deal,/diːl/,The dealer will deal five cards to each player in this round of poker.,,
16,computer game,/kəmˈpjuːtɚ ˌɡeɪm/,He spent the evening playing his favorite computer game.,,
17,rule,/ruːl/,The rules of chess dictate how each piece moves.,,
18,bowling,/ˈboʊlɪŋ/,Bowling is a game of precision and timing.,,
19,guessing game,/ˈɡɛsɪŋ ˌɡeɪm/,,,
20,Ping-Pong,/ˈpɪŋˌpɔŋ/,,,
21,balloon,/bəˈluːn/,She blew up a red balloon for the birthday party.,,
22,fun,/fʌn/,The fun day at the amusement park was filled with laughter and excitement.,,
23,amusing,/əˈmjuːzɪŋ/,The amusing antics of the clown made the children laugh uncontrollably.,,
24,playtime,/plˈeɪtaɪm/,"Playtime is essential for children's development, fostering creativity and social skills.",,
25,kite,/kaɪt/,,,
26,darts,/dɑrts/,We played darts at the pub last night and I won three games in a row.,,
27,card,/kɑrd/,"The Joker is often included in modern decks of cards, serving as a wild card or adding an element of unpredictability to certain games.",,
28,hide-and-seek,/hˈaɪdændsˈiːk/,We played hide-and-seek in the park all afternoon.,,
29,checkmate,/ˈtʃɛkˌmeɪt/,,,
30,video game console,/vˈɪdɪoʊ ɡˈeɪm kˈɑːnsoʊl/,The new video game console has amazing graphics and features.,,
