order,word,phonetic,example,note,definition_en
1,atom,/ˈætəm/,"The atom is composed of a nucleus containing protons and neutrons, surrounded by electrons.",,
2,organism,/ˈɔɹɡəˌnɪzəm/,"The pond ecosystem is home to a variety of organisms, including fish, algae, and bacteria.",,
3,chemical,/ˈkɛmɪkəl/,Many household cleaning products contain chemical ingredients for effective sanitation.,,
4,gas,/ɡæs/,The gas in the balloon expanded as it was heated by the sun.,,
5,liquid,/ˈlɪkwɪd/,The chemist poured the liquid into a beaker for analysis.,,
6,solid,/ˈsɑlɪd/,Ice is a solid that maintains its shape until it melts.,,
7,material,/məˈtɪriəl/,"Steel is a strong and durable material commonly used in the manufacturing of buildings, vehicles, and machinery.",,
8,substance,/ˈsʌbstəns/,"The chemist carefully poured the substance into the beaker, observing how it reacted with the other chemicals.",,
9,electric,/ɪˈlɛktrɪk/,The electric lights in the room flickered as the storm outside intensified.,,
10,real,"/ˈriəl/ , /ˈril/",The real world is often different from dreams and fantasies.,,
11,systematic,/ˌsɪstəˈmætɪk/,The systematic approach to problem-solving involved following a clear step-by-step procedure.,,
12,metal,/ˈmɛtəl/,Iron is a commonly used metal in construction and manufacturing.,,
13,plastic,/ˈplæstɪk/,"Many household items, such as containers and toys, are made from plastic.",,
14,iron,/ˈaɪɚn/,Iron is commonly used in construction to make buildings and bridges.,,
15,gold,/ɡoʊld/,She wore a necklace adorned with a pendant made of gold.,,
16,silver,/ˈsɪlvɚ/,She wore a necklace adorned with a pendant made of silver.,,
17,carbon,/ˈkɑrbən/,"Graphite, used in pencils, is another allotrope of carbon.",,
18,oxygen,/ˈɑksɪʤən/,Trees release oxygen into the atmosphere as a byproduct of photosynthesis.,,
19,stone,/stoʊn/,"The old castle was built entirely of stone, giving it a sturdy and imposing appearance.",,
20,to research,"/ˈriːˌsɜrʧ/ , /rɪˈsɜrʧ/","Before buying a new laptop, I researched different brands and models.",,
21,method,/ˈmɛθəd/,"The scientific method involves systematic observation, measurement, and experimentation.",,
22,example,/ɪɡˈzæmpəl/,This participant serves as an example of the elderly demographic.,,
23,to invent,/ɪnˈvɛnt/,"Thomas Edison invented the electric light bulb, revolutionizing illumination.",,
24,inventor,/ɪnˈvɛntɚ/,Thomas Edison is renowned as an inventor for creating the electric light bulb.,,
25,to discover,/dɪˈskʌvɚ/,"By the time we got there, they had already discovered the ancient ruins.",,
26,discovery,/dɪˈskʌvɚi/,The discovery of penicillin revolutionized medicine by introducing the first antibiotic.,,
27,tool,/tuːl/,The carpenter used a hammer as his primary tool for driving nails.,,
28,fact,/fækt/,It is a fact that the Earth revolves around the sun.,,
29,reason,/ˈrizən/,She provided a valid reason for being late to the meeting.,,
30,technology,/tɛkˈnɑləʤi/,The technology used in modern smartphones has advanced rapidly.,,
31,data,"/ˈdeɪtə/ , /ˈdætə/",The scientist analyzed the data collected from the experiment.,,
32,focus,/ˈfoʊkəs/,She needed to maintain her focus during the exam to ensure she answered all the questions accurately.,,
33,engine,/ˈɛnʤɪn/,"The mechanic repaired the engine of the car, which had been making strange noises.",,
34,sound,/saʊnd/,The sound of birds chirping greeted us as we entered the park.,,
35,laboratory,/ˈlæbrəˌtɔri/,The chemistry students conducted experiments in the laboratory to study chemical reactions.,,
36,result,/rɪˈzʌlt/,The medication had the desired result of reducing the patient's symptoms.,,
