order,word,phonetic,example,note,definition_en
1,teleprompter,/ˈtɛɫəˌpɹɑmptɝ/,"The news anchor read the script smoothly from the teleprompter, delivering the evening news with confidence.",,
2,back issue,/bˈæk ˈɪʃuː/,The library has a vast collection of back issues of popular magazines for patrons to borrow.,,
3,gazette,/ɡəˈzɛt/,"The local gazette publishes articles on community events, local news, and editorials.",,
4,organ,/ˈɔɹɡən/,The party's official organ serves as a platform for disseminating its political agenda and promoting party policies.,,
5,byline,/ˈbaɪˌɫaɪn/,"The journalist was proud to see her byline on the front page of the newspaper, crediting her for the investigative report.",,
6,canard,/kəˈnɑɹd/,The tabloid newspaper published a canard claiming that aliens had been sighted in the local park.,,
7,write-up,/ɹˈaɪtˈʌp/,The employee received a glowing write-up from their supervisor for their exceptional performance on the project.,,
8,supplement,/ˈsʌpləˌmɛnt/,"The Sunday edition of the newspaper includes a lifestyle supplement featuring articles on fashion, food, and travel.",,
9,stringer,/ˈstɹɪŋɝ/,The newspaper relies on a network of stringers to cover local events and breaking news stories.,,
10,stop press,/stˈɑːp pɹˈɛs/,The breaking news was so significant that the editor ordered a stop press to update the front page of the newspaper.,,
11,sidebar,/ˈsaɪdˌbɑɹ/,The sidebar accompanying the main article provided additional context and background information on the topic.,,
12,scoop,/ˈskup/,"The journalist's investigative work led to a major scoop, uncovering corruption at the highest levels of government.",,
13,roundup,/ˈɹaʊnˌdəp/,The morning news program featured a roundup of the day's top stories from around the world.,,
14,rave,/ˈɹeɪv/,The magazine published a rave about the groundbreaking research being conducted in renewable energy.,,
15,lede,/lˈiːd/,The journalist crafted a compelling lede that drew readers into the story from the very first sentence.,,
16,op-ed,/ˈɑːpˈɛd/,"The newspaper's op-ed section features contributions from a diverse range of voices, offering readers varying perspectives on current events.",,
17,offprint,/ˈɔfpɹɪnt/,The author received offprints of the article from the publisher to distribute to colleagues and peers.,,
18,obituary,/oʊˈbɪtʃuˌɛɹi/,The newspaper published an obituary honoring the life and legacy of the community leader who passed away.,,
19,hit piece,/hˈɪt pˈiːs/,"The article was nothing more than a hit piece, filled with unfounded accusations and personal attacks against the politician.",,
20,mouthpiece,/ˈmaʊθˌpis/,"The press secretary serves as the mouthpiece of the administration, conveying the president's policies and positions to the public.",,
21,masthead,/ˈmæstˌhɛd/,The masthead of the newspaper displayed the publication's name in bold letters at the top of the front page.,,
22,muckraking,/ˈməˌkɹeɪkɪŋ/,"The investigative journalist was known for his fearless muckraking, exposing corruption and injustice in society.",,
23,infotainment,/ˌɪnfoʊˈteɪnmənt/,Many news programs nowadays lean towards infotainment.,,
24,cord-cutting,/kˈoːɹdkˈʌɾɪŋ/,"Many consumers are opting for cord-cutting, canceling their traditional cable TV subscriptions in favor of streaming services.",,
25,transmedia,/ˌtɹænzˈmidiə/,The Harry Potter series is a prime example of successful transmedia.,,
26,to blaze,/ˈbɫeɪz/,"The newspaper blazed the breaking news story across its front page, capturing the attention of readers.",,
27,to carry,/ˈkæri/,The national news channel will carry a special report tonight.,,
28,tell-all,/tˈɛlˈɔːl/,The celebrity's tell-all autobiography revealed shocking details about their personal life and career.,,
