order,word,phonetic,example,note,definition_en
1,pet,/pɛt/,"In the pet store, you can find various types of pets, such as birds, rodents, and reptiles.",,
2,lamb,/læm/,Mark's family owns a farm with several lambs.,,
3,camel,/ˈkæməl/,"In some countries, camels are also raised for their milk and meat.",,
4,tiger,/ˈtaɪɡɚ/,John learned that tigers are excellent swimmers.,,
5,whale,/weɪl/,"During the nature cruise, they encountered a pod of playful dolphins and whales.",,
6,penguin,/ˈpɛŋɡwɪn/,"During their trip to the aquarium, they witnessed penguins diving gracefully in the water.",,
7,shark,/ʃɑːrk/,"During the boat tour, they saw a group of sharks feeding on fish.",,
8,insect,/ˈɪnˌsɛkt/,I was observing an insect crawling on the tree bark.,,
9,fly,/flaɪ/,I closed the door to keep the flies from entering the house.,,
10,spider,/ˈspaɪdɚ/,I learned that spiders help control insect populations in the garden.,,
11,crocodile,/ˈkrɑːkəˌdaɪl/,I didn't know that crocodiles are excellent swimmers.,,
12,dolphin,/ˈdɑːlfɪn/,Mark was thrilled to see dolphins leaping out of the water during the boat tour.,,
13,fox,/fɑːks/,Jane read a storybook about a curious fox and its adventures.,,
14,hamster,/ˈhæmstɚ/,His pet hamster loves to run on its exercise wheel.,,
15,tail,/teɪl/,My cat has a long and bushy tail.,,
16,wool,/wʊl/,His sweater was made of luxurious wool that kept him cozy.,,
17,egg,/ɛɡ/,"In the aquarium, they watched the fish lay tiny eggs.",,
18,web,/wɛb/,"After a rainstorm, the spider repaired its damaged web with great precision.",,
19,zoo,/zuː/,"At the zoo, there was a fascinating reptile exhibit with snakes and lizards.",,
20,deer,/dɪr/,"Driving through the national park, we were lucky enough to witness a herd of majestic deer.",,
21,eagle,/ˈiːɡəl/,I wish I could see an eagle in the wild someday; they are such majestic creatures.,,
22,beetle,/ˈbiːtl/,"As I lifted the rock, a shiny green beetle scurried away.",,
23,bee,/biː/,Bees are hardworking insects that tirelessly gather resources for their colony.,,
24,bear,/bɛr/,A bear has a thick fur coat to keep warm in cold weather.,,
25,monkey,/ˈmʌŋki/,I saw the monkey hanging upside down from a tree branch.,,
26,butterfly,/ˈbʌtɚˌflaɪ/,Butterflies are attracted to nectar-producing flowers for food.,,
27,mosquito,/məˈskiːtoʊ/,"I have some red, itchy marks on my arm from mosquito bites.",,
28,ladybug,/ˈleɪdiˌbʌɡ/,Farmers appreciate ladybugs for their natural pest control abilities in the fields.,,
29,cockroach,/ˈkɑːkˌroʊtʃ/,Cockroaches are known for their ability to survive in various environments.,,
30,firefly,/ˈfaɪɚˌflaɪ/,"As the sun set, we were delighted to see fireflies lighting up the night sky.",,
31,type,/taɪp/,"As a teacher, it's essential to understand the learning preferences of different types of students.",,
32,wild,/waɪld/,"During the camping trip, we heard the calls of wild birds echoing through the woods.",,
33,to hunt,/hʌnt/,"In some cultures, people still hunt for their food using traditional methods.",,
34,to ride,/raɪd/,"As a beginner, I was a bit nervous to ride such a large horse.",,
35,kind,/kaɪnd/,"At the museum, you can explore artifacts and relics from different historical kinds.",,
