order,word,phonetic,example,note,definition_en
1,world,,,,
2,environment,,,,
3,plant,,,,
4,ground,,,,
5,field,,,,
6,landscape,,,,
7,view,,,,
8,grass,,,,
9,coast,,,,
10,hill,,,,
11,rock,,,,
12,valley,,,,
13,lake,,,,
14,the ocean,,,,
15,rainforest,,,,
16,wood,,,,
17,area,,,,
18,path,,,,
19,natural,,,,
20,disaster,,,,
21,flood,,,,
22,earthquake,,,,
23,hurricane,,,,
24,tornado,,,,
25,avalanche,,,,
26,drought,,,,
27,climate change,,,,
28,to happen,,,,
29,terrible,,,,
30,northeast,,,,
31,northwest,,,,
32,southeast,,,,
33,southwest,,,,
34,desert,,,,
35,wave,,,,
