topic_index,topic_title,topic_url,order,word,phonetic,example,note,definition_en
1,Hello and Goodbye,https://langeek.co/en/vocab/subcategory/1/learn,1,hello,/həˈloʊ/,"Hello, I am the new student and my name is Sarah.",,
1,Hello and Goodbye,https://langeek.co/en/vocab/subcategory/1/learn,2,goodbye,/ɡʊdˈbaɪ/,"Goodbye, I hope to see you again.",,
1,Hello and Goodbye,https://langeek.co/en/vocab/subcategory/1/learn,3,hi,/haɪ/,"Hi, nice to meet you.",,
1,Hello and Goodbye,https://langeek.co/en/vocab/subcategory/1/learn,4,bye,/baɪ/,Bye! Have a great day!,,
1,Hello and Goodbye,https://langeek.co/en/vocab/subcategory/1/learn,5,good morning,/ɡʊd ˈmɔrnɪŋ/,"Good morning, it's a beautiful day today!",,
1,Hello and Goodbye,https://langeek.co/en/vocab/subcategory/1/learn,6,good afternoon,/ɡʊd ˌæftərˈnuːn/,"Good afternoon, have you finished your work for today?",,
1,Hello and Goodbye,https://langeek.co/en/vocab/subcategory/1/learn,7,good evening,/ɡʊd ˈiːvnɪŋ/,"Good evening, I hope you had a pleasant day.",,
1,Hello and Goodbye,https://langeek.co/en/vocab/subcategory/1/learn,8,good night,/ɡʊd ˈnaɪt/,"Good night, don't forget to brush your teeth before bed.",,
1,Hello and Goodbye,https://langeek.co/en/vocab/subcategory/1/learn,9,thank you,/θæŋk juː/,Thank you for being there when I needed someone.,,
1,Hello and Goodbye,https://langeek.co/en/vocab/subcategory/1/learn,10,thanks,/θæŋks/,Thanks for the help!,,
1,Hello and Goodbye,https://langeek.co/en/vocab/subcategory/1/learn,11,please,/pliːz/,"Be quiet, please.",,
1,Hello and Goodbye,https://langeek.co/en/vocab/subcategory/1/learn,12,OK,/ˌoʊkˈeɪ/,"Ok, I'll finish my homework before watching TV.",,
1,Hello and Goodbye,https://langeek.co/en/vocab/subcategory/1/learn,13,yes,/jɛs/,"Yes, he is my friend.",,
1,Hello and Goodbye,https://langeek.co/en/vocab/subcategory/1/learn,14,no,/noʊ/,Did you call her? — No.,,
1,Hello and Goodbye,https://langeek.co/en/vocab/subcategory/1/learn,15,sorry,/ˈsɑːri/,"Sorry, I forgot to bring my umbrella.",,
1,Hello and Goodbye,https://langeek.co/en/vocab/subcategory/1/learn,16,welcome,/ˈwɛlkəm/,"Welcome, Come on in and make yourself at home.",,
2,People,https://langeek.co/en/vocab/subcategory/19/learn,1,man,/mæn/,"This is my friend, he's a nice man.",,
2,People,https://langeek.co/en/vocab/subcategory/19/learn,2,woman,/ˈwʊmən/,This is my sister; she's a kind woman.,,
2,People,https://langeek.co/en/vocab/subcategory/19/learn,3,boy,/bɔɪ/,This is my little brother; he's a playful boy.,,
2,People,https://langeek.co/en/vocab/subcategory/19/learn,4,girl,/ɡɝl/,This is my friend; she's a cheerful girl.,,
2,People,https://langeek.co/en/vocab/subcategory/19/learn,5,friend,/frɛnd/,David and Samantha became friends after meeting at a book club and discovered their shared passion for literature.,,
2,People,https://langeek.co/en/vocab/subcategory/19/learn,6,boyfriend,/ˈbɔɪfrɛnd/,"""Will you be my boyfriend?"" she asked, hoping for a positive response.",,
2,People,https://langeek.co/en/vocab/subcategory/19/learn,7,girlfriend,/ˈɡɝlfrɛnd/,"""Will you be my girlfriend?"" he asked, hoping for a positive response.",,
2,People,https://langeek.co/en/vocab/subcategory/19/learn,8,person,/ˈpɝsən/,"As a responsible person, it is important to be mindful of our impact on the environment.",,
2,People,https://langeek.co/en/vocab/subcategory/19/learn,9,people,/ˈpi:pəl/,It is important to listen to the voices of the people and address their concerns.,,
2,People,https://langeek.co/en/vocab/subcategory/19/learn,10,adult,"/əˈdʌlt/, /ˈædʌlt/",Adults have the freedom to make their own decisions and choices.,,
2,People,https://langeek.co/en/vocab/subcategory/19/learn,11,baby,/ˈbeɪbi/,A babysitter was hired to take care of the baby while the parents were out.,,
2,People,https://langeek.co/en/vocab/subcategory/19/learn,12,Mr,/ˈmɪstɚ/,Mr. Lee is the teacher in charge of the science department.,,
2,People,https://langeek.co/en/vocab/subcategory/19/learn,13,Mrs,/ˈmɪsɪz/,Mrs. Smith will chair the committee meeting tomorrow.,,
2,People,https://langeek.co/en/vocab/subcategory/19/learn,14,miss,/mɪs/,Miss Johnson greeted the guests with a warm smile as they arrived at the party.,,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,1,zero,/ˈziːroʊ/,I have zero dollars in my wallet.,,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,2,one,/wʌn/,I have one book.,,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,3,two,/tuː/,I need to make two copies of this document.,,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,4,three,/θriː/,I counted to three before jumping into the pool.,,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,5,four,/fɔːr/,"There are four seasons in a year: spring, summer, autumn, and winter.",,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,6,five,/faɪv/,"His favorite number was five, and he always wore a shirt with the number on it to sports games.",,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,7,six,/sɪks/,The highest number you can roll on a single die is six.,,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,8,seven,/ˈsɛvən/,"His lucky number is seven, and he always wears a necklace with a seven pendant.",,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,9,eight,/eɪt/,"The recipe called for eight ounces of flour, which is about one cup.",,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,10,nine,/naɪn/,The baseball team has nine players on the field at a time.,,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,11,ten,/tɛn/,The soccer team has ten players on the field at a time.,,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,12,eleven,/ɪˈlɛvən/,My little son knows that eleven is one more than ten.,,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,13,twelve,/twɛlv/,My son reads twelve pages of his book every day.,,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,14,thirteen,/ˈθɜrtiːn/,I have thirteen stamps in my collection.,,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,15,fourteen,/ˈfɔrtiːn/,"She was born fourteen years ago, and there are now fourteen candles on her birthday cake.",,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,16,fifteen,/ˈfɪftiːn/,"I turned fifteen years old last week, and I celebrated my birthday with my friends.",,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,17,sixteen,/ˈsɪkstiːn/,She has sixteen unread messages in her inbox.,,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,18,seventeen,/ˈsɛvntiːn/,She bought seventeen books from the bookstore.,,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,19,eighteen,/ˈeɪtiːn/,He has been working at his job for eighteen years.,,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,20,nineteen,/ˈnaɪntiːn/,The car was manufactured in the year nineteen ninety-eight.,,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,21,twenty,/ˈtwɛnti/,The distance between the two cities is twenty kilometers.,,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,22,thirty,/ˈθɜrti/,The recipe calls for thirty grams of sugar.,,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,23,forty,/ˈfɔrti/,My dad works forty hours a week.,,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,24,fifty,/ˈfɪfti/,She celebrated her fiftieth birthday with a big party surrounded by family and friends.,,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,25,sixty,/ˈsɪksti/,"She found a vintage photograph of her parents from their wedding day, nearly sixty years ago.",,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,26,seventy,/ˈsɛvnti/,The marathon was attended by over seventy runners from different countries.,,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,27,eighty,/ˈeɪti/,"The temperature today is expected to reach eighty degrees Fahrenheit, perfect for a picnic.",,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,28,ninety,/ˈnaɪnti/,"The student received a ninety on her math exam, earning her an A for the semester.",,
3,Numbers 0 to 100,https://langeek.co/en/vocab/subcategory/2/learn,29,hundred,/ˈhʌndrəd/,She saved up a hundred dollars to buy a new bicycle for her daily commute.,,
4,Family,https://langeek.co/en/vocab/subcategory/3/learn,1,parent,/ˈpɛrənt/,"As a single parent, she worked tirelessly to provide for her family and ensure their well-being.",,
4,Family,https://langeek.co/en/vocab/subcategory/3/learn,2,father,/ˈfɑːðɚ/,"As a father, he takes great joy in spending quality time with his children and creating lasting memories.",,
4,Family,https://langeek.co/en/vocab/subcategory/3/learn,3,mother,/ˈmʌðɚ/,Mothers play a vital role in nurturing and shaping their children's lives.,,
4,Family,https://langeek.co/en/vocab/subcategory/3/learn,4,dad,/dæd/,"Dad, can we go to the park and play catch this afternoon?",,
