order,word,phonetic,example,note,definition_en
1,to lobby,/ˈlɑbi/,The environmental group decided to lobby lawmakers for stricter regulations on carbon emissions.,,
2,to reform,/rɪˈfɔrm/,The government aims to reform the education system to ensure equal access to quality education for all students.,,
3,diplomatic,/ˌdɪpləˈmætɪk/,Diplomatic efforts are underway to resolve the conflict peacefully.,,
4,sovereign,/ˈsɑvrən/,"The newly established nation declared itself a sovereign state, free from colonial rule.",,
5,radical,/ˈrædɪkəl/,The radical activist advocated for the overthrow of the government to establish a new social order.,,
6,activism,/ˈæktɪvɪzəm/,Her activism for environmental conservation has inspired many young people to join the cause.,,
7,activist,/ˈæktɪvɪst/,The activist organized a large protest to demand better working conditions for factory employees.,,
8,ambassador,/æmˈbæsədər/,The ambassador hosted a reception at the embassy to strengthen diplomatic relations between the two nations.,,
9,dictator,/ˈdɪkteɪtər/,The dictator imposed strict censorship laws to suppress any opposition to his regime.,,
10,policy maker,/ˈpɑləsi ˈmeɪkər/,"As a policy maker, she played a crucial role in shaping the new education reforms.",,
11,propaganda,/ˌprɑpəˈɡændə/,The regime used propaganda to control the narrative and maintain public support.,,
12,autonomy,/ɔˈtɑnəmi/,The region fought for years to achieve autonomy from the central government.,,
13,constitution,/ˌkɑnstɪˈtuʃən/,The constitution of this country guarantees freedom of speech and the separation of powers among its branches of government.,,
14,legislation,/ˌlɛdʒɪsˈleɪʃən/,The parliament passed new legislation aimed at improving environmental protection measures across the country.,,
15,mandate,/ˈmændeɪt/,"After winning the election with a significant majority, the new government claimed a strong mandate to implement their policies.",,
16,bureaucracy,/bjʊˈrɑkrəsi/,"Within a bureaucracy, officials are employed based on expertise rather than being chosen through popular votes.",,
17,cabinet,/ˈkæbənɪt/,"The Prime Minister announced changes to the cabinet, appointing new ministers to key portfolios.",,
18,commerce,/ˈkɑmɜrs/,"International commerce plays a vital role in global economic development, facilitating trade between nations.",,
19,free trade,/ˈfri ˈtreɪd/,Many economists argue that free trade agreements promote economic growth by reducing barriers to international commerce.,,
20,poll,/poʊl/,The latest opinion poll indicates a significant shift in public opinion regarding climate change policies.,,
21,alliance,/əˈlaɪəns/,The military alliance between the two countries was formed to enhance mutual defense capabilities.,,
22,ally,/ˈælaɪ/,"During the war, each nation relied heavily on its allies for resources and support.",,
23,coalition,/ˌkoʊəˈlɪʃən/,The coalition government was formed by two major political parties to ensure stability and consensus on key policy issues.,,
24,coup,/ku/,The military launched a coup to overthrow the democratically elected government and seize control of the country.,,
25,exile,/ˈɛɡzaɪl/,"The political dissident lived in exile for over a decade, seeking asylum in neighboring countries.",,
26,wing,/wɪŋ/,The conservative wing of the party pushed for tax cuts and deregulation.,,
27,treaty,/ˈtriti/,The two countries signed a peace treaty to end decades of conflict and establish diplomatic relations.,,
28,capitalism,/ˈkæpɪtəlɪzəm/,Capitalism is an economic system where private individuals and businesses own the means of production and operate for profit.,,
29,communism,/ˈkɑmjənɪzəm/,Communism is a political and economic ideology advocating for a classless society where the means of production are owned collectively.,,
30,extremism,/ɪkˈstrimɪzəm/,The rise of political extremism in the region has led to increased tensions and conflicts among communities.,,
31,fascism,/ˈfæʃɪzəm/,"Fascism rose to prominence in Europe during the early 20th century, leading to the establishment of totalitarian regimes.",,
32,federalism,/ˈfɛdərəlɪzəm/,"Federalism allows for a division of powers between the national government and state governments, promoting a balance of authority.",,
33,globalism,/ˈɡloʊbəlɪzəm/,"Globalism has led to increased economic interdependence among nations, fostering international trade and investment.",,
34,liberalism,/ˈlɪbərəlɪzəm/,"Liberalism emphasizes the importance of individual rights and freedoms, advocating for a society where people can express their views openly.",,
35,socialism,/ˈsoʊʃəlɪzəm/,Socialism ensures that public assets benefit the population.,,
36,administrative,/ədˈmɪnɪstreɪtɪv/,The administrative staff handles day-to-day operations in the office.,,
37,congressional,/kənˈɡrɛʃənəl/,Congressional hearings investigate issues and propose legislation.,,
38,constitutional,/ˌkɑnstɪˈtuʃənəl/,The law passed by the parliament was deemed constitutional by the judiciary.,,
39,electoral,/ɪˈlɛktərəl/,The electoral system determines how representatives are chosen to serve in government.,,
40,interim,/ˈɪntərɪm/,An interim report was submitted to provide preliminary findings before the full research study was complete.,,
41,protocol,/ˈproʊtəˌkɔl/,"The state dinner followed strict diplomatic protocol, including seating arrangements and toasts.",,
42,to table,/ˈteɪbəl/,She tabled a motion to discuss increasing funding for public libraries.,,
43,entourage,/ˈɑntʊrɑʒ/,"The celebrity arrived at the event with a large entourage of bodyguards, assistants, and publicists.",,
44,appeasement,/əˈpizmənt/,"The policy of appeasement failed to prevent the outbreak of World War II, as aggressive actions continued unchecked.",,
