order,word,phonetic,example,note,definition_en
1,account,/əˈkaʊnt/,Her account of the historical event provided a new perspective on the cause of the conflict.,,
2,to approve,/əˈpɹuv/,The board of directors approved the new budget for the upcoming fiscal year.,,
3,approval,/əˈpruːvəl/,The project received approval from the board before moving forward.,,
4,to assess,/əˈsɛs/,The manager assesses employees' performance during quarterly reviews.,,
5,assessment,/əˈsɛsmənt/,The teacher conducted an assessment of her students' understanding through a series of quizzes and tests.,,
6,to associate,/əˈsoʊʃiˌeɪt/,Many people associate the smell of freshly baked cookies with warmth and home.,,
7,to assume,/əˈsum/,She often assumes that everyone agrees with her perspective.,,
8,case,/keɪs/,The lawyer built a strong case by presenting a series of compelling pieces of evidence.,,
9,common sense,/kˈɑːmən sˈɛns/,It is common sense to wear a seatbelt while driving for safety.,,
10,conflict,/ˈkɑnflɪkt/,The conflict between their differing values created tension in the group.,,
11,estimate,"/ˈɛstəˌmeɪt/, /ˈɛstəmət/",The contractor provided an estimate for the cost of renovating the kitchen.,,
12,controversy,/ˈkɑntɹəˌvɝsi/,The new policy sparked a controversy among community members.,,
13,controversial,/ˌkɑntɹəˈvɝʃəɫ/,The politician's controversial statements about immigration sparked heated discussions among voters.,,
14,consistent,/kənˈsɪstənt/,"She showed consistent dedication to her studies, earning top grades semester after semester.",,
15,furthermore,/ˈfɝðɝˌmɔɹ/,"The research findings supported the hypothesis, and furthermore, they provided valuable insights into potential applications.",,
16,forum,/ˈfɔɹəm/,The community forum allowed residents to voice their concerns and suggestions.,,
17,counterargument,/kˈaʊntɚɹˌɑːɹɡjuːmənt/,She anticipated the counterarguments to her proposal and prepared strong rebuttals.,,
18,disagreement,/dɪsəˈɡɹimənt/,The disagreement between the study's findings and previous research raised questions.,,
19,incident,/ˈɪnsədənt/,The recent border incident between the two countries has escalated tensions and led to increased military presence on both sides.,,
20,to criticize,/ˈkɹɪtɪˌsaɪz/,"The teacher will criticize the students' essays based on grammar, structure, and clarity of ideas.",,
21,debate,/dəˈbeɪt/,The candidates participated in a televised debate to present their views on economic policy.,,
22,to defend,/dɪˈfɛnd/,She worked hard to defend her research against critics in the academic community.,,
23,to differ,/ˈdɪfɝ/,They differed on the best approach to solving the problem.,,
24,to divide,/dɪˈvaɪd/,The controversial proposal to build a new highway through the park divided the community.,,
25,to emphasize,/ˈɛmfəˌsaɪz/,"Throughout her campaign speech, the candidate emphasized her plans for improving education and healthcare if elected.",,
26,to fall out,/fˈɔːl ˈaʊt/,"After a heated debate, the friends fell out and stopped speaking to each other.",,
27,to fit,/fɪt/,The candidate's qualifications fit the job description perfectly.,,
28,to hold,/hoʊld/,My grandfather held traditional values when it came to family.,,
29,to infer,/ˌɪnˈfɝ/,"After observing the pattern of behavior, the detective could infer that the suspect was familiar with the victim.",,
30,to appreciate,/əˈpriːʃiˌeɪt/,I appreciate the craftsmanship of this handmade table.,,
31,to [take] {sb/sth} for granted,/tˈeɪk ˌɛsbˈiː slˈæʃ ˌɛstˌiːˈeɪtʃ fɔːɹ ɡɹˈæntᵻd/,He didn't realize he had taken his friend's loyalty for granted until their friendship began to deteriorate.,,
32,inference,/ˈɪnfɝəns/,The detective made a crucial inference about the suspect's alibi based on the new evidence.,,
33,superficial,/ˌsuːpɚˈfɪʃəl/,The book provides a superficial overview of the era without delving into the complexities and nuances.,,
34,(as|so) far as {sb} [is] concerned,/æz ɔːɹ sˈoʊ fˌɑːɹ æz ˌɛsbˈiː ɪz kənsˈɜːnd/,"As far as he was concerned, the blame for his financial woes lay with the state.",,
35,to [have] a problem with {sb/sth},/hæv ɐ pɹˈɑːbləm wɪð ˌɛsbˈiː slˈæʃ ˌɛstˌiːˈeɪtʃ/,He clearly has a problem with his neighbor’s loud music.,,
36,in a nutshell,/ɪn ɐ nˈʌtʃɛl/,"The movie, in a nutshell, is about a group of friends who embark on an adventurous journey.",,
37,if you ask me,/ɪf juː ˈæsk mˌiː/,"If you ask me, the book was much better than the movie adaptation.",,
