order,word,phonetic,example,note,definition_en
1,bare,/bɛr/,She felt the cool breeze on her bare arms as she walked along the beach.,,
2,bead,/biːd/,She carefully threaded each colorful bead onto the string to create a beautiful necklace.,,
3,buckle,/ˈbʌkəl/,"He adjusted the buckle on his belt, ensuring it was securely fastened before heading out.",,
4,bib,/bɪb/,The baby giggled as her mother tied a colorful bib around her neck before feeding her.,,
5,bow,/baʊ/,"She added a bright red bow to her ponytail, giving her hairstyle a playful touch.",,
6,pearl,/pɝːl/,"She wore a stunning necklace made of perfectly round, lustrous pearls that glimmered in the light.",,
7,brief,/briːf/,"She felt uncomfortable in the brief dress, as it revealed more skin than she was used to showing.",,
8,checked,/ʧɛkt/,She wore a checked blouse that featured a classic black and white pattern.,,
9,checkered,/ˈʧɛkɚd/,She wore a checkered scarf with alternating black and white squares.,,
10,elaborate,/ɪˈlæbɚət/,"The elaborate gown featured intricate lace detailing and delicate embroidery, making it a stunning choice for the red carpet event.",,
11,fitted,/ˈfɪtɪd/,"The fitted dress hugged her curves perfectly, accentuating her figure.",,
12,low-cut,/ˈloʊˌkʌt/,The evening gown had a low-cut neckline.,,
13,open-necked,/ˈoʊpənˌnɛkt/,The casual dress code allowed employees to wear open-necked shirts in the office.,,
14,skintight,/ˈskɪnˌtaɪt/,"She slipped into the skintight leggings, feeling every curve of her body accentuated by the fabric.",,
15,sleeveless,/ˈsliːvləs/,"She opted for a sleeveless blouse to stay cool in the summer heat, pairing it with a flowing skirt for a casual yet chic look.",,
16,tailored,/ˈteɪlɚd/,"He looked sharp in his tailored suit, the jacket and trousers fitting him perfectly.",,
17,garment,/ˈɡɑrmənt/,The designer created a stunning garment that was the highlight of the fashion show.,,
18,boxers,/ˈbɑksɚz/,He prefers wearing boxers over briefs for the added comfort and breathability.,,
19,nightie,/ˈnaɪti/,"She chose a silky nightie to wear on her honeymoon, feeling both elegant and comfortable.",,
20,cape,/keɪp/,The superhero's iconic red cape billowed dramatically in the wind as he stood on the rooftop.,,
21,cloak,/kloʊk/,"The wizard's cloak was adorned with mystical symbols and stars, making him look even more enigmatic.",,
22,shawl,/ʃɑl/,She draped a colorful shawl over her shoulders to add a pop of color to her outfit.,,
23,cuff,/kʌf/,"He rolled up the cuffs of his shirt before starting the manual labor, ensuring they wouldn't get in the way.",,
24,fastener,/ˈfæsnɚ/,"She struggled with the fastener on her necklace, eventually asking for help to secure it properly.",,
25,strap,/stræp/,"She adjusted the strap of her handbag, making sure it rested comfortably on her shoulder.",,
26,cut,/kʌt/,The designer's signature style is evident in the clean lines and precise cut of each garment.,,
27,glamour,/ˈɡlæmɚ/,"The actress exuded glamour as she walked the red carpet in a sparkling, designer gown.",,
28,footwear,/ˈfʊtˌwɛr/,"The store had a wide selection of footwear, ranging from athletic sneakers to elegant heels.",,
29,to strip,/strɪp/,"In the locker room, teammates playfully stripped each other after the game.",,
30,shoelace,/ˈʃuˌleɪs/,He tied his shoelace in a double knot to ensure it wouldn't come undone during his run.,,
31,velvet,/ˈvɛlvɪt/,"The curtains were made of rich velvet, adding a touch of luxury to the room.",,
32,waistline,/ˈweɪstˌlaɪn/,She took her waistline measurement for the tailor to ensure the dress fit perfectly.,,
33,wig,/wɪɡ/,She donned a wig to complete her costume for the costume party.,,
34,inappropriate,/ˌɪnəˈproʊpriət/,Making jokes about a serious topic like illness is inappropriate and can hurt others' feelings.,,
35,apparel,/əˈpærəl/,The boutique offered a wide selection of high-quality apparel for men and women.,,
36,heels,/hiːlz/,She teetered on her high heels as she made her way across the crowded dance floor.,,
37,wetsuit,/ˈwɛtˌsuːt/,He zipped up his wetsuit before heading into the chilly ocean waters to surf.,,
