order,word,phonetic,example,note,definition_en
1,barber,/ˈbɑrbɚ/,He visited the barber every month for a trim and a clean shave.,,
2,butcher,/ˈbʊtʃɚ/,The butcher carefully trimmed the beef to remove excess fat.,,
3,builder,/ˈbɪldɚ/,The builder constructed a new housing development on the outskirts of town.,,
4,firefighter,/ˈfaɪɚˌfaɪtɚ/,The firefighter bravely entered the burning building to rescue trapped occupants.,,
5,mailman,/ˈmeɪlˌmæn/,The mailman delivers letters and packages to our doorstep every morning.,,
6,gardener,/ˈɡɑrdənɚ/,The gardener planted a variety of flowers to create a colorful garden.,,
7,guard,/ɡɑrd/,She hired a guard to watch over her estate while she was away on vacation.,,
8,tailor,/ˈteɪlɚ/,My uncle is a skilled tailor who runs his own shop.,,
9,sailor,/ˈseɪlɚ/,The sailor's job involves handling ropes and rigging.,,
10,photographer,/fəˈtɑːɡrəfɚ/,She's a talented photographer who specializes in wildlife photography.,,
11,babysitter,/ˈbeɪbiˌsɪtɚ/,She hired a babysitter to watch her kids while she went out for dinner.,,
12,bodyguard,/ˈbɑdiˌɡɑrd/,The celebrity's bodyguard always accompanies them to public events.,,
13,astronaut,/ˈæstrəˌnat/,She fulfilled her childhood dream of becoming an astronaut and traveled to the International Space Station.,,
14,agent,/ˈeɪdʒənt/,She hired a real estate agent to help her find a new house.,,
15,reporter,/rɪˈpɔrtɚ/,The reporter interviewed witnesses at the scene of the accident.,,
16,servant,/ˈsɝvənt/,The servant prepared breakfast and tidied up the house before the family woke up.,,
17,housewife,/ˈhaʊsˌwaɪf/,Mary decided to become a housewife after the birth of her first child to focus on raising her family.,,
18,freelancer,/ˈfriˌlænsɚ/,The freelancer sets her own schedule and chooses which projects to take on.,,
19,judge,/ʤʌdʒ/,The judge listened to both sides of the case before making a ruling.,,
20,president,/ˈprɛzɪdənt/,The president of the company announced a new expansion plan during the shareholders' meeting.,,
21,adviser,/ədˈvaɪzɚ/,She sought the advice of a financial adviser to help plan her retirement.,,
22,director,"/dɪˈrɛktɚ/ , /daɪˈrɛktɚ/","She's the director of marketing at the company, responsible for advertising and promotions.",,
23,translator,/ˈtrænsˌleɪtɚ/,"She works as a freelance translator, translating documents from English to Spanish.",,
24,sportsman,/ˈspɔrtsmən/,He's a dedicated sportsman who excels in both soccer and basketball.,,
25,editor,/ˈɛdɪtɚ/,The editor reviewed the articles submitted by journalists before publication.,,
26,tutor,/ˈtuːtɚ/,She hired a math tutor to help her daughter improve her grades.,,
27,trader,/ˈtreɪdɚ/,"He works as a stock trader, buying and selling shares on behalf of clients.",,
28,technician,/tɛkˈnɪʃən/,"He's an automotive technician, specializing in diagnosing and repairing engine problems.",,
29,programmer,/ˈproʊˌɡræmɚ/,She's a skilled programmer who develops mobile applications for smartphones.,,
30,flight attendant,/ˈflaɪt əˌtɛndənt/,"She's been working as a flight attendant for ten years, enjoying the opportunity to travel.",,
31,veterinarian,/ˌvɛtərəˈnɛriən/,She's been working as a veterinarian at a local animal clinic for over twenty years.,,
32,secretary,/ˈsɛkrɪˌtɛri/,"She's the secretary for the CEO, managing his schedule and handling correspondence.",,
33,chemist,/ˈkɛmɪst/,"As a chemist, he always wore safety goggles.",,
