order,word,phonetic,example,note,definition_en
1,content,/kənˈtɛnt/,She emptied the contents of her bag onto the table.,,
2,situation,/ˌsɪʧuˈeɪʃən/,The current economic situation is causing concern among investors and policymakers alike.,,
3,attitude,/ˈætɪˌtjuːd/,Her positive attitude towards challenges helped her overcome obstacles and achieve her goals.,,
4,impression,/ɪmˈprɛʃən/,Her cheerful demeanor gave me the impression that she was always happy.,,
5,point,/pɔɪnt/,The professor made a crucial point about the importance of environmental conservation.,,
6,theory,"/ˈθɪri/ , /ˈθiːəri/",Scientists proposed a new theory to explain the origins of the universe.,,
7,thinking,/ˈθɪŋkɪŋ/,Critical thinking is essential for evaluating information and making informed decisions in both personal and professional contexts.,,
8,choice,/ʧɔɪs/,"With so many choices available, consumers often struggle to pick one that aligns with their preferences and needs.",,
9,option,/ˈɑpʃən/,You have the option to choose between different colors for your new car.,,
10,ignorance,/ˈɪɡnɚəns/,His ignorance of the subject was evident when he gave incorrect answers during the discussion.,,
11,doubt,/daʊt/,Doubt crept into her mind as she pondered the possibility of failure.,,
12,possibility,/ˌpɑsəˈbɪlɪti/,Exploring different possibilities can help individuals discover new opportunities and perspectives.,,
13,concept,/ˈkɑnˌsɛpt/,,,
14,prediction,/prɪˈdɪkʃən/,,,
15,truth,/truːθ/,Scientific research aims to uncover the truth by analyzing evidence and data.,,
16,need,/niːd/,"Food, shelter, and clothing are basic needs for human survival.",,
17,permission,/pɚˈmɪʃən/,"Before accessing the restricted area, employees must obtain permission from their supervisor.",,
18,help,/hɛlp/,Offering guidance and support can be a great help to those navigating unfamiliar situations.,,
19,to [make] sure,/meɪk ʃʊr/,"Before leaving the house, make sure you turn off all the lights and lock the doors.",,
20,no way,/noʊ weɪ/,No way are you borrowing my laptop after last time!,,
21,evidence,/ˈɛvɪdəns/,"The prosecution presented compelling evidence, including DNA analysis and eyewitness testimony, to support their case.",,
22,gap,/ɡæp/,The gap in understanding between the two generations often leads to disagreements.,,
23,in favor,/ɪn ˈfeɪvɚ/,The majority of the board members were in favor of the proposed budget increase.,,
24,sorry,/ˈsɑːri/,He felt sorry for forgetting his friend's birthday and apologized immediately.,,
25,unless,/ʌnˈlɛs/,You won't pass the exam unless you study hard.,,
26,to point out,/pɔɪnt aʊt/,He pointed out the star constellation to his children.,,
27,comparison,/kəmˈpɛrɪsən/,The comparison between the two books showed many similarities.,,
28,concern,/kənˈsɝːn/,Environmental issues are a major concern for many people.,,
29,growth,/ɡroʊθ/,The growth of the economy has been impressive this year.,,
30,dream,/driːm/,She had a vivid dream about flying over mountains.,,
31,nightmare,/ˈnaɪtˌmɛr/,The horror movie I watched last night gave me nightmares.,,
32,offer,/ˈɑfɚ/,His offer of apology sounded sincere.,,
33,sort of {~noun},/sɔrt ʌv/,"The movie was entertaining, but I sort of expected a more engaging storyline.",,
34,difference,/ˈdɪfrəns/,Can you explain the difference between these two models of smartphones?,,
35,series,/ˈsɪriːz/,The detective uncovered a series of clues that led to the identity of the culprit.,,
36,possession,/pəˈzɛʃən/,The company's possession of the patents ensured their exclusive rights to the technology.,,
37,defense,/dɪˈfɛns/,Wearing a helmet provides defense against head injuries.,,
38,middle,/ˈmɪdəl/,She placed the cake in the middle of the table for everyone to see.,,
39,boundary,/ˈbaʊndəri/,Setting clear boundaries is essential for maintaining healthy relationships and respecting individual autonomy.,,
40,feeling,/ˈfiːlɪŋ/,The feeling of warmth from the sun on her skin filled her with comfort and contentment.,,
41,plus,/plʌs/,"The weather was beautiful, plus there were free ice cream samples at the park.",,
42,promise,/ˈprɑmɪs/,"She made a promise to her friend that she would always be there for them, no matter what.",,
