order,word,phonetic,example,note,definition_en
1,name,/neɪm/,"He introduced himself by saying, ""Hi, my name is Alex.""",,
2,last name,/læst neɪm/,"In many cultures, the last name is passed down from the father's side of the family.",,
3,age,/eɪdʒ/,Age is just a number; it doesn't define your capabilities.,,
4,address,"/ˈædˌrɛs/, /əˈdrɛs/",He memorized his girlfriend's address by heart.,,
5,birthday,/ˈbɝːθˌdeɪ/,He invited all his friends to his birthday party at the park.,,
6,birthdate,/ˈbɝːθˌdeɪt/,"His birthdate falls on a holiday this year, making it extra special and memorable.",,
7,single,/ˈsɪŋɡəl/,Being single allows me to explore my interests and hobbies freely.,,
8,married,/ˈmæˌrid/,He is married and has two children,,
9,passport,/ˈpæˌspɔrt/,Don't forget to bring your passport when you travel abroad.,,
10,phone number,/foʊn ˈnʌmbɚ/,Can you please give me your phone number so I can call you?,,
11,question,/ˈkwɛsʧən/,Can I ask you a question about the homework?,,
12,answer,/ˈænsɚ/,She provided a concise answer to the interviewer's question during the job interview.,,
