order,word,phonetic,example,note,definition_en
1,hammer,/ˈhæmɝ/,He used a hammer to drive nails into the wooden frame.,,
2,mallet,/ˈmæɫɪt/,The carpenter used a wooden mallet to gently tap the chisel into the wood.,,
3,saw,/ˈsɔ/,He used a saw to cut the wooden board to the desired length.,,
4,chainsaw,/ˈtʃeɪnˌsɔ/,He used a chainsaw to cut down the old tree in his yard.,,
5,drill,/ˈdɹɪɫ/,The carpenter used a cordless drill to assemble the wooden shelves.,,
6,wrench,/ˈɹɛntʃ/,He used a wrench to tighten the bolts on the bicycle's handlebars.,,
7,screw,/skruː/,He used a screwdriver to tighten the screws holding the shelves to the wall.,,
8,screwdriver,/ˈskɹuˌdɹaɪvɝ/,He grabbed a screwdriver to assemble the new furniture.,,
9,nail,/ˈneɪɫ/,He used a nail to secure the wooden boards in place.,,
10,glue,/ˈɡɫu/,She applied glue to the edges of the paper to create a scrapbook.,,
11,file,/faɪl/,She used a metal file to sharpen the blades of her gardening shears.,,
12,chisel,/ˈtʃɪzəɫ/,He used a chisel to carve intricate designs into the wood.,,
13,bolt,/ˈboʊɫt/,I need to tighten the bolt on the bicycle wheel.,,
14,nut,/nʌt/,He tightened the nut onto the bolt to secure the bracket firmly in place.,,
15,washer,/ˈwɑʃɝ/,He used a washer to secure the bolt on the lawnmower.,,
16,fork,/fɔːrk/,The fork's tines were perfect for breaking up compacted dirt.,,
17,shovel,/ˈʃəvəɫ/,He found a lightweight shovel useful for camping trips.,,
18,wheelbarrow,"/ˈhwiɫˌbɛɹoʊ/, /ˈwiɫˌbɛɹoʊ/",He filled the wheelbarrow with soil for the garden.,,
19,toolbox,/ˈtuɫˌbɔks/,"He kept his wrenches, screwdrivers, and pliers neatly organized in his toolbox.",,
20,pliers,/ˈpɫaɪɝz/,The electrician used pliers to twist the wires together securely.,,
21,wire cutter,/wˈaɪɚ kˈʌɾɚ/,He used a wire cutter to trim the excess electrical wire after completing the installation.,,
22,duct tape,/dˈʌkt tˈeɪp/,He used duct tape to temporarily patch the hole in the inflatable boat.,,
23,plunger,/ˈpɫəndʒɝ/,He used a plunger to unclog the kitchen sink after it became blocked with food debris.,,
24,crowbar,/ˈkɹoʊˌbɑɹ/,He used a crowbar to pry open the old wooden door.,,
25,staple gun,/stˈeɪpəl ɡˈʌn/,He used a staple gun to attach the fabric to the wooden frame.,,
26,box cutter,/bˈɑːks kˈʌɾɚ/,He used a box cutter to open the package that had just arrived.,,
27,to function,/ˈfəŋkʃən/,I hope the new software update will improve the way my smartphone functions.,,
28,adjustable wrench,/ɐdʒˈʌstəbəl ɹˈɛntʃ/,He used an adjustable wrench to tighten the plumbing fittings.,,
29,tape measure,/tˈeɪp mˈɛʒɚ/,The carpenter used a tape measure to determine the length of the wooden board needed for the shelf.,,
30,sledgehammer,/ˈsɫɛdʒˌhæmɝ/,He used a sledgehammer to break apart the old concrete patio.,,
31,ax,/æks/,He used an ax to chop firewood for the winter.,,
