order,word,phonetic,example,note,definition_en
1,aid,/ˈeɪd/,The country received financial aid from other nations to rebuild infrastructure after the war.,,
2,to beg,/ˈbɛɡ/,The beggar held out his hands and begged for alms from the pedestrians.,,
3,bias,/ˈbaɪəs/,The judge showed bias and didn't treat both sides fairly.,,
4,biased,/ˈbaɪəst/,The journalist's article was criticized for being biased towards a particular political party.,,
5,consequence,/ˈkɑnsəkwəns/,Flooding was a consequence of the heavy rains.,,
6,to contribute,/kənˈtɹɪbjut/,Individuals can contribute to the local food drive by donating non-perishable items.,,
7,hunger,/ˈhʌŋɡɚ/,The organization works to alleviate hunger in underserved communities.,,
8,relationship,/rɪˈleɪʃənˌʃɪp/,Building a strong relationship with customers is crucial for business success.,,
9,to dismiss,/dɪsˈmɪs/,The company decided to dismiss several employees due to budget constraints.,,
10,donation,/doʊˈneɪʃən/,She made a donation to the local animal shelter.,,
11,equal,/ˈiːkwəl/,"In a just society, everyone should be equal before the law, regardless of their social status.",,
12,majority,/məˈdʒɔɹəti/,The majority of the committee members voted in favor of the new policy.,,
13,minority,"/maɪˈnɔɹəti/, /məˈnɔɹəti/",The festival celebrated the traditions of local minority populations.,,
14,noncitizen,/nˌɑːnsˈɪɾɪzən/,Noncitizens may have certain rights and protections under international law.,,
15,protester,/ˈpɹoʊˌtɛstɝ/,The protester spoke passionately about the need for reform.,,
16,racist,/ˈɹeɪsɪst/,The racist made offensive remarks during the discussion.,,
17,sexist,/ˈsɛksɪst/,She was called a sexist for making derogatory comments about women.,,
18,minimum wage,/mˈɪnɪməm wˈeɪdʒ/,The government increased the minimum wage to help low-income workers.,,
19,quality of life,/kwˈɑːlɪɾi ʌv lˈaɪf/,She believes access to healthcare is crucial for improving quality of life.,,
20,social class,/sˈoʊʃəl klˈæs/,They discussed how social class influences cultural norms and values.,,
21,slum,/ˈsɫəm/,He advocates for better housing solutions for people in slums.,,
22,shelter,/ˈʃɛɫtɝ/,She donated to a local shelter for homeless individuals.,,
23,to blame,/ˈbɫeɪm/,"The teacher decided to blame the entire class for the disruption, even though only a few students were involved.",,
24,to march,/mɑrtʃ/,"The protesters chanted slogans as they marched, their voices echoing through the streets.",,
25,to starve,/ˈstɑɹv/,"During the famine, many people in the region starved due to lack of food and resources.",,
26,to strike,/ˈstɹaɪk/,The workers decided to strike for better pay and benefits.,,
27,honor,/ˈɑnɝ/,The military medal was a symbol of honor for his courageous actions.,,
28,to get together,/ɡɛt təɡˈɛðɚ/,We should get together to discuss the project's details.,,
29,disrespect,/ˌdɪsɹɪˈspɛkt/,They were upset by the disrespect shown towards their culture.,,
30,beggar,/ˈbeɡər/,"The beggar sat on the sidewalk, holding a sign asking for assistance.",,
31,homeless,/ˈhoʊmɫəs/,The organization provides support services for the homeless in the area.,,
32,child labor,/tʃˈaɪld lˈeɪbɚ/,"Child labor remains a significant issue in many developing countries, where children are often forced to work in dangerous conditions.",,
33,alcohol abuse,/ˈælkəhˌɑːl ɐbjˈuːs/,"His alcohol abuse affected his job performance, leading to multiple warnings from his employer.",,
34,Alcoholics Anonymous,/ˌælkəhˈɑːlɪks ɐnˈɑːnəməs/,Alcoholics Anonymous meetings provide a supportive environment for individuals recovering from alcohol addiction.,,
35,alcoholic,/ˌælkəˈhɑlɪk/,The alcoholic sought help to overcome their addiction.,,
36,prostitution,/ˌpɹɑstəˈtuʃən/,He researched the history of prostitution in different cultures.,,
