order,word,phonetic,example,note,definition_en
1,aerobics,/ɝˈoʊbɪks/,"The instructor led a session of high-energy aerobics, including jumping jacks and step exercises.",,
2,athletic,/æθˈlɛtɪk/,The athletic competition drew athletes from across the country to compete in various events.,,
3,locker room,/lˈɑːkɚ ɹˈuːm/,The football players gathered in the locker room to discuss strategy before the big game.,,
4,barbell,/ˈbɑrˌbel/,He performed squats with a barbell across his shoulders to target his leg and lower body muscles.,,
5,dumbbell,/ˈdəmˌbɛɫ/,He lifted a pair of dumbbells during his workout to build muscle and increase strength.,,
6,cross trainer,/kɹˈɔs tɹˈeɪnɚ/,She prefers using the cross trainer at the gym for a low-impact cardio workout.,,
7,horizontal bar,/hˌɔːɹɪzˈɑːntəl bˈɑːɹ/,"Gymnasts practice their routines on the horizontal bar, showcasing their strength and agility.",,
8,jump rope,/dʒˈʌmp ɹˈoʊp/,"Every morning, Sarah spends ten minutes using her jump rope to start her day with some cardio exercise.",,
9,mat,/ˈmæt/,"After the workout, he rolled up the mat and stored it in the designated area for exercise equipment.",,
10,multigym,/mˈʌltɪdʒˌɪm/,"The home gym was equipped with a multigym that included a bench press, leg press, and pull-down machine.",,
11,pommel horse,/pˈɑːməl hˈɔːɹs/,"The gymnast performed a flawless routine on the pommel horse, showcasing his strength and agility.",,
12,rowing machine,/ɹˈoʊɪŋ məʃˈiːn/,Lisa uses the rowing machine at the gym to improve her cardiovascular fitness and build muscle strength.,,
13,punching bag,/pˈʌntʃɪŋ bˈæɡ/,The boxer spent hours training with the punching bag to perfect his jabs and hooks.,,
14,trampoline,/ˌtɹæmpəˈɫin/,The children spent the afternoon bouncing on the trampoline in the backyard.,,
15,treadmill,/ˈtɹɛdˌmɪɫ/,"She used the treadmill at the gym for her daily cardio workout, setting a steady pace for 30 minutes.",,
16,to bounce,/ˈbaʊns/,The kids couldn't contain their excitement as they began to bounce on the trampoline in the backyard.,,
17,to hop,/ˈhɑp/,"During the sack race, the children had to hop to the finish line with one leg inside the sack.",,
18,to stretch,/ˈstɹɛtʃ/,"Every morning, she begins her day with a series of yoga poses to stretch her body and improve flexibility.",,
19,to strengthen,/ˈstɹɛŋθən/,Regular exercise can strengthen your muscles and improve overall fitness.,,
20,to squat,/ˈskwɑt/,"During the workout, the fitness instructor demonstrated how to squat properly.",,
21,to sweat,/ˈswɛt/,"After a long run, he began to sweat profusely.",,
22,chin-up,/tʃˈɪnˈʌp/,He did ten chin-ups in a row as part of his daily workout routine.,,
23,push-up,/ˈpʊˌʃəp/,She performed a series of push-ups to build upper body strength and improve her fitness.,,
24,sit-up,/sˈɪtˈʌp/,She performed a set of sit-ups to strengthen her abdominal muscles during her workout.,,
25,jumping jack,/dʒˈʌmpɪŋ dʒˈæk/,The warm-up routine began with a set of jumping jacks to get everyone's heart rates up.,,
26,to massage,/məˈsɑʒ/,"The spa therapist used aromatic oils to massage the client's back, promoting relaxation.",,
27,muscle memory,/mˈʌsəl mˈɛmɚɹi/,"After a few weeks away from the gym, she found that her muscle memory helped her quickly return to her previous lifting weights.",,
28,six-pack,/ˈsɪkˌspæk/,The athlete worked hard on his core exercises to achieve a well-defined six-pack.,,
29,martial arts,/mˈɑːɹʃəl ˈɑːɹt/,"He has been studying martial arts since he was a child, starting with karate and later branching out into jiu-jitsu.",,
30,to weight-lift,/wˈeɪtlˈɪft/,He weight-lifts at the gym three times a week to build muscle.,,
31,to work out,/wˈɜːk ˈaʊt/,I work out with a friend to make the exercise routine more enjoyable.,,
32,pace,/ˈpeɪs/,"The runner maintained a steady pace throughout the marathon, ensuring they did not tire out too quickly.",,
33,to burn off,/bˈɜːn ˈɔf/,Swimming is a full-body exercise that can help burn off calories efficiently.,,
34,dressing room,/ˈdrɛsɪŋ ˌrum/,"The gym's dressing room was equipped with lockers and benches, making it convenient for members to change and store their belongings.",,
35,pound for pound,/pˈaʊnd fɔːɹ pˈaʊnd/,"Pound for pound, she's one of the strongest athletes on the team.",,
