order,word,phonetic,example,note,definition_en
1,mind,,,,
2,mental,,,,
3,talent,,,,
4,skill,,,,
5,knowledge,,,,
6,guess,,,,
7,to guess,,,,
8,to believe,,,,
9,belief,,,,
10,memory,,,,
11,to remember,,,,
12,to forget,,,,
13,idea,,,,
14,favorite,,,,
15,suggestion,,,,
16,to suggest,,,,
17,goal,,,,
18,plan,,,,
19,to hope,,,,
20,hope,,,,
21,to imagine,,,,
22,to dream,,,,
23,to enjoy,,,,
24,worried,,,,
25,nervous,,,,
26,calm,,,,
27,afraid,,,,
28,experience,,,,
29,matter,,,,
30,to decide,,,,
31,decision,,,,
32,power,,,,
33,clear,,,,
34,choice,,,,
35,to smell,,,,
36,to remind,,,,
37,danger,,,,
