order,word,phonetic,example,note,definition_en
1,emotion,/ɪˈmoʊʃən/,He struggled to control his emotions and maintain a calm demeanor.,,
2,fear,/fɪr/,The fear of heights prevented him from climbing the ladder.,,
3,anger,/ˈæŋɡɚ/,His anger flared up when he discovered that his car had been vandalized.,,
4,sadness,/ˈsædnəs/,She couldn't hide the sadness in her eyes after hearing the news of her grandmother's passing.,,
5,happiness,/ˈhæpiˌnəs/,The birth of their first child brought immense happiness to the young couple.,,
6,joy,/ʤɔɪ/,The sight of her newborn baby filled her heart with overwhelming joy.,,
7,disgust,/dɪsˈɡʌst/,The sight of the decaying food in the refrigerator filled her with disgust.,,
8,surprise,/sɚˈpraɪz/,She couldn't hide her surprise when she received a bouquet of flowers from a secret admirer.,,
9,trust,/trʌst/,Their long history of friendship created a bond of trust between them.,,
10,shame,/ʃeɪm/,The child's face flushed with shame after being scolded by the teacher in front of the class.,,
11,hatred,/ˈheɪtrɪd/,The conflict was fueled by deep-seated hatred between the two rival factions.,,
12,love,/lʌv/,The love between a parent and a child is often considered one of the strongest bonds.,,
13,kindness,/ˈkaɪndnəs/,"Random acts of kindness, such as holding the door open for a stranger, can brighten someone's day.",,
14,sympathy,/ˈsɪmpəˌθi/,She expressed sympathy for her friend who had lost a loved one.,,
15,amusement,/əˈmjuzmənt/,The comedian's jokes brought waves of laughter and amusement to the audience.,,
16,confusion,/kənˈfjuʒən/,The student's confusion was evident when he couldn't solve the math problem.,,
17,to laugh,/læf/,"Your reaction was so funny, I laughed for minutes.",,
18,to cry,/kraɪ/,"Despite his efforts to remain strong, he eventually broke down and cried in grief.",,
19,to smile,/smaɪl/,She couldn't help but smile when she received a compliment.,,
20,to frown,/fraʊn/,He tends to frown when concentrating deeply on his work.,,
21,to miss,/mɪs/,She missed her childhood home after moving to a new city.,,
22,to worry,/ˈwɝi/,She tends to worry about upcoming exams.,,
23,to surprise,/sɚˈpraɪz/,"The unexpected news seemed to surprise her, and she couldn't hide her reaction.",,
24,surprised,/sərˈpraɪzd/,She looked surprised when they threw her a birthday party.,,
25,to annoy,/əˈnɔɪ/,The constant tapping of the pen on the desk annoyed her during the meeting.,,
26,scared,/skɛrd/,She was scared to walk alone in the dark.,,
