order,word,phonetic,example,note,definition_en
1,countryside,/ˈkʌntriˌsaɪd/,They enjoyed taking long walks in the peaceful countryside.,,
2,village,/ˈvɪlɪʤ/,The quaint village nestled amidst rolling hills attracted tourists seeking a peaceful retreat.,,
3,the country,/ˈkʌntri/,"Living in the city can be hectic, so sometimes I crave the tranquility of the country.",,
4,rural,/ˈrʊrəl/,He grew up in a rural village surrounded by farmland and forests.,,
5,district,/ˈdɪstrɪkt/,The downtown district is known for its skyscrapers and bustling streets.,,
6,urban,/ˈɝbən/,Urban studies examine the challenges of housing in densely populated areas.,,
7,downtown,/ˈdaʊnˌtaʊn/,They enjoyed shopping and dining in downtown after work.,,
8,amusement park,/əˈmjuzmənt ˌpɑrk/,Families often spend weekends at the amusement park enjoying the roller coasters and water rides.,,
9,gas station,/ˈɡæs ˌsteɪʃən/,They stopped at the gas station to fill up the tank before continuing their road trip.,,
10,police station,/pəˈlis ˌsteɪʃən/,She went to the police station to report the theft of her bicycle.,,
11,prison,/ˈprɪzən/,He was sentenced to ten years in prison for his involvement in the robbery.,,
12,city hall,/ˈsɪti ˌhɔl/,She paid her property taxes at city hall before the deadline.,,
13,market,/ˈmɑrkɪt/,He set up a stand at the market to sell homemade jams and preserves.,,
14,library,/ˈlaɪˌbrəri/,I spent the afternoon studying at the local library.,,
15,church,/ʧɝʧ/,They attended Sunday service at the local church with their family.,,
16,mosque,/mɑsk/,"The minaret of the mosque towered over the city skyline, calling the faithful to prayer.",,
17,temple,/ˈtɛmpəl/,They visited the ancient temple to offer prayers and seek blessings.,,
18,avenue,/ˈævəˌnju/,The grand avenue was flanked by elegant mansions and stately government buildings.,,
19,alley,/ˈæli/,"They walked down the dimly lit alley, searching for a shortcut to the main street.",,
20,boulevard,/ˈbʊləˌvɑrd/,"They took a leisurely stroll down the tree-lined boulevard, enjoying the shade on a sunny day.",,
21,traffic,/ˈtræfɪk/,The traffic on the highway was heavy during rush hour.,,
22,traffic jam,/ˈtræfɪk ˌʤæm/,They were late to the meeting due to a traffic jam on the highway.,,
23,road,/roʊd/,They drove down a winding road to reach the countryside.,,
24,highway,/ˈhaɪˌweɪ/,They traveled on the highway to reach their destination quickly.,,
25,expressway,/ɪkˈsprɛsˌweɪ/,They drove on the expressway to reach the city center quickly.,,
26,bridge,/brɪʤ/,They crossed the bridge to reach the other side of the river.,,
27,path,/pæθ/,"The delivery truck parked in the narrow alley, blocking the path of the pedestrians.",,
28,underpass,/ˈʌndɚˌpæs/,They walked through the underpass to reach the other side of the busy intersection.,,
29,noise,/nɔɪz/,"The construction site generated a lot of noise, disrupting the neighborhood.",,
30,pollution,/pəˈluʃən/,The pollution in the lake has made the water toxic to fish and plants.,,
31,to cross,/krɑːs/,"Every morning, he crosses the bridge on his way to work.",,
32,across,/əˈkrɑːs/,She swam across easily despite the strong current.,,
33,to move,/muv/,She moved quickly to avoid the falling object.,,
34,noisy,/ˈnɔɪzi/,The airport terminal was a noisy place with announcements blaring over the speakers and passengers rushing to catch their flights.,,
35,local,/ˈloʊkəl/,The local bakery is known for its freshly baked bread and pastries.,,
36,tower,/ˈtaʊɚ/,The Eiffel Tower is one of the most famous landmarks in the world.,,
