order,word,phonetic,example,note,definition_en
1,malleable,/ˈmæɫiəbəɫ/,Gold is a highly malleable metal that can be hammered into thin sheets or shaped into intricate designs.,,
2,grooved,/ɡɹˈuːvd/,The carpenter crafted a grooved pattern on the wooden tabletop for a decorative touch.,,
3,prickly,/ˈpɹɪkɫi/,"The surface of the cactus was prickly to the touch, warning of potential discomfort.",,
4,coarse,/ˈkɔɹs/,The coarse fabric of the blanket was scratchy against her skin.,,
5,pitted,/ˈpɪtɪd/,The pitted rock looked like it had been worn by centuries of water.,,
6,slimy,/ˈsɫaɪmi/,"The frog's skin was slimy to the touch, a characteristic feature of amphibians.",,
7,squishy,/ˈskwɪʃi/,The squishy toy was perfect for relieving stress as it easily returned to its shape after being squeezed.,,
8,crumbly,/kɹˈʌmbli/,The crumbly texture of the cookie made it perfect for dipping into milk.,,
9,flaky,/ˈfɫeɪki/,"The croissant had a flaky texture, with each layer delicately separating upon a gentle touch.",,
10,mushy,/ˈməʃi/,The wet sand beneath her feet felt mushy and unstable.,,
11,pulpy,/pˈʌlpi/,"The freshly squeezed orange juice was pulpy, providing a natural and textured drink.",,
12,rubbery,/ˈɹəbɝi/,The overcooked pasta had a rubbery texture that was difficult to chew.,,
13,corrugated,/ˈkɔɹəˌɡeɪtɪd/,"The cardboard box was made from corrugated material, providing strength and durability for shipping.",,
14,lumpy,/ˈɫəmpi/,The sauce turned out lumpy after I forgot to whisk it properly.,,
15,rigid,"/ˈɹɪdʒəd/, /ˈɹɪdʒɪd/","The ruler was made of rigid plastic, ensuring accurate measurements.",,
16,gooey,/ˈɡui/,The warm chocolate lava cake had a gooey center that oozed out with each bite.,,
17,satiny,/sˈætɪni/,"The glossy paint on the car's exterior gave it a satiny appearance, enhancing its sleek design.",,
18,wiry,/ˈwɪɹi/,"Her wiry hair stood out in tight curls, resisting any attempt to smooth it down.",,
19,jagged,/ˈdʒæɡd/,The jagged rocks along the coastline posed a hazard to passing ships.,,
20,pliable,/ˈpɫaɪəbəɫ/,"The clay was pliable, allowing the sculptor to mold it into various forms with their hands.",,
21,brittle,/ˈbɹɪtəɫ/,"With each step, the brittle twigs underfoot snapped loudly in the quiet forest.",,
22,gritty,/ˈɡɹɪti/,"The sandpaper had a gritty texture, perfect for smoothing rough surfaces.",,
23,sleek,/ˈsɫik/,"The sleek, dark hair of the model shone under the bright lights.",,
