order,word,phonetic,example,note,definition_en
1,sublime,/səˈbɫaɪm/,"The pianist's performance of the concerto was sublime, leaving the audience in awe of her talent.",,
2,unsurpassed,/ˌənsɝˈpæst/,"The chef's culinary skills were unsurpassed, creating dishes that delighted the most discerning palates.",,
3,awe-inspiring,/ˈɔːɪnspˈaɪɚɹɪŋ/,The awe-inspiring view from the mountaintop left us speechless.,,
4,dazzling,"/ˈdæzəɫɪŋ/, /ˈdæzɫɪŋ/","Her dazzling performance on the stage left the audience in awe, applauding the singer's vocal prowess.",,
5,subpar,/sˈʌbpɑːɹ/,"The quality of the restaurant's food was subpar, leading to negative reviews from customers.",,
6,atrocious,/əˈtɹoʊʃəs/,I can't believe how atrocious this translation is; it barely resembles the original text.,,
7,lackluster,/ˈɫæˌkɫəstɝ/,Her lackluster presentation did not leave a lasting impression on the audience.,,
8,crummy,/ˈkɹəmi/,"The hotel room had a crummy bed and outdated furniture, making the stay far from enjoyable.",,
9,lousy,/ˈɫaʊzi/,The lousy performance of the team disappointed their fans.,,
10,wretched,/ˈɹɛtʃɪd/,The house was in a wretched state after the flood.,,
11,unimpaired,/ˌənɪmˈpɛɹd/,"Despite his advanced age, his memory remains unimpaired.",,
12,shoddy,/ˈʃɑdi/,The shoddy construction of the cheap furniture became evident when it started falling apart after just a few weeks of use.,,
13,coveted,/ˈkəvətɪd/,The coveted award was presented to the top performer of the year.,,
14,exemplary,/ɪɡˈzɛmpɫɝi/,His exemplary leadership skills inspired his team to achieve great success.,,
15,transcendent,/tɹænˈsɛndənt/,The painting captured a sense of transcendent beauty that left viewers speechless.,,
16,sterling,/ˈstɝɫɪŋ/,The restaurant received sterling reviews for its outstanding cuisine and impeccable service.,,
17,nonpareil,/nˌɑːnpˈɛɹɪl/,"The violinist's command of the instrument was truly nonpareil, with a level of mastery that few musicians could match.",,
18,stellar,/ˈstɛɫɝ/,The orchestra delivered a stellar performance that left the audience in awe.,,
19,premium,/ˈpɹimiəm/,The premium leather used in the luxury car's interior added an extra level of sophistication and comfort.,,
20,up to snuff,/ˌʌp tə snˈʌf/,He knew he had to study hard to get his grades up to snuff if he wanted to pass the exam.,,
21,mediocre,/ˌmidiˈoʊkɝ/,"The cake was mediocre, dry and almost inedible.",,
22,unrivaled,/ənˈɹaɪvəɫd/,The company's commitment to innovation and quality has led to the development of an unrivaled product in the market.,,
