order,word,phonetic,example,note,definition_en
1,palpitation,/ˌpæɫpəˈteɪʃən/,"She experienced a sudden palpitation while climbing the stairs, causing her to pause and catch her breath.",,
2,pneumonia,/nuːˈmoʊnjə/,"After recovering from pneumonia, he followed his doctor's advice to get plenty of rest and stay hydrated.",,
3,catarrh,/kətˈɑːɹ/,"She suffered from persistent catarrh, experiencing a constant runny nose and throat irritation.",,
4,malaise,/mæˈɫeɪz/,Claire's vague malaise of discomfort and unease prompted several visits to specialists.,,
5,contagion,/kənˈteɪdʒən/,The health department took swift action to contain the contagion and prevent the outbreak from spreading further.,,
6,congestion,/kənˈdʒɛstʃən/,"Nasal congestion made it difficult for him to breathe comfortably, especially at night.",,
7,lesion,/ˈɫiʒən/,The patient had a small lesion on his forearm.,,
8,ulcer,/ˈəɫsɝ/,"The doctor diagnosed her with a peptic ulcer, which was causing severe abdominal pain and discomfort.",,
9,pathogen,/ˈpæθədʒən/,The laboratory tests confirmed the presence of a bacterial pathogen responsible for the patient's severe food poisoning.,,
10,indisposition,/ˌɪndˌɪspəzˈɪʃən/,"Despite his indisposition, the employee made an effort to attend the important business meeting.",,
11,bout,/ˈbaʊt/,"After a severe bout of flu, he needed a week of rest to fully recover his strength and energy.",,
12,patient zero,/pˈeɪʃənt zˈiəɹoʊ/,Identifying patient zero is crucial for understanding how an outbreak began.,,
13,anorexic,/ˌænɝˈɛksɪk/,"The clinic specializes in treating anorexics, providing both medical care and psychological support.",,
14,morbidity,/mɔɹˈbɪdəti/,High morbidity from infections prompted a public health alert.,,
15,malady,/ˈmæɫədi/,Doctors were unable to determine the underlying malady that caused his fatigue and weakness.,,
16,affliction,/əˈfɫɪkʃən/,His spiritual beliefs helped him find solace in the face of his terminal illness affliction.,,
17,valetudinarian,/vˌælɪtˌuːdɪnˈɛɹiən/,The valetudinarian approach to wellness often results in unnecessary medical tests and consultations.,,
18,stricken,/ˈstɹɪkən/,The town was stricken by a severe drought.,,
19,spry,/ˈspɹaɪ/,The spry old man impressed everyone with his ability to climb the steep hill without breaking a sweat.,,
20,anemic,/əˈnimɪk/,"She felt constantly fatigued and weak due to being anemic, with her doctor recommending iron supplements to boost her red blood cell count.",,
21,ailing,/ˈeɪɫɪŋ/,The ailing patient was admitted to the hospital for further examination and treatment.,,
22,sallow,/sˈæloʊ/,"The prolonged illness left him with a sallow complexion, highlighting the impact on his overall well-being.",,
23,spent,/ˈspɛnt/,"After hours of intense work, she was mentally spent and needed some time to unwind.",,
24,pallid,/ˈpæɫəd/,The patient's pallid complexion raised concerns among the medical staff.,,
25,enervated,/ˈɛnɚvˌeɪɾᵻd/,The persistent heatwave left everyone feeling enervated and lethargic.,,
26,ghastly,/ˈɡæstɫi/,"She appeared ghastly, her complexion drained of color, as she struggled to stand up after fainting.",,
27,salubrious,/sælˈuːbɹɪəs/,"The mountain air was considered salubrious, offering crisp freshness that invigorated the lungs.",,
28,endemic,/ɛnˈdɛmɪk/,"Malaria is endemic to tropical regions, where the climate provides a suitable environment for the transmission of the disease.",,
29,immunocompromised,/ɪmjˌuːnəkˈɑːmpɹəmˌɪsd/,Immunocompromised individuals have a weakened immune system.,,
30,asymptomatic,/ˌeɪˌsɪmptəˈmætɪk/,Regular testing is essential to identify asymptomatic cases and prevent the spread of the virus.,,
