order,word,phonetic,example,note,definition_en
1,boxing,/ˈbɑksɪŋ/,,,
2,squash,/skwɑʃ/,"Squash is a fast-paced game that requires agility, speed, and precision.",,
3,horseback riding,/ˈhɔrsˌbæk ˈraɪdɪŋ/,Horseback riding requires balance and proper posture.,,
4,pool,/puːl/,Pool is a popular recreational activity enjoyed by people of all ages around the world.,,
5,horse racing,/ˈhɔrs ˌreɪsɪŋ/,I’ve always wanted to go to a horse racing event to see the excitement firsthand.,,
6,goalkeeper,/ˈɡoʊlˌkiːpɚ/,The goalkeeper made a spectacular save to keep the match tied.,,
7,cyclist,/ˈsaɪklɪst/,The cyclist pedaled quickly up the steep hill.,,
8,golfer,/ˈɡɑlfɚ/,The professional golfer won the tournament with a stunning final round.,,
9,soccer player,/ˈsɑkɚ ˈpleɪɚ/,The soccer player scored three goals in the match.,,
10,diver,/ˈdaɪvɚ/,The diver executed a flawless somersault before entering the water.,,
11,captain,/ˈkæptɪn/,,,
12,athletic,/æθˈlɛtɪk/,His athletic physique was the result of years of dedicated training and healthy lifestyle choices.,,
13,stadium,/ˈsteɪdiəm/,"The new stadium was packed with fans, all eagerly awaiting the kickoff of the championship football game.",,
14,course,/kɔrs/,"The golf course stretched out across rolling hills, challenging players with its bunkers and water hazards.",,
15,court,/kɔrt/,The players warmed up on the basketball court before the game.,,
16,tournament,/ˈtʊrnəmənt/,The team trained hard for months in preparation for the regional soccer tournament.,,
17,league,/liːɡ/,The football league has 20 teams competing this season.,,
18,olympic,/əˈlɪmpɪk/,,,
19,competitive,/kəmˈpɛtətɪv/,The sports team plays in a highly competitive league.,,
20,champion,/ˈʧæmpiən/,She was crowned champion after winning the tennis tournament.,,
21,final,/ˈfaɪnəl/,"The team trained hard in preparation for the final, hoping to take home the championship trophy.",,
22,half-time,/ˈhæfˌtaɪm/,The team discussed their strategy during half-time.,,
23,to pass,/pæs/,He passed the ball to Sterling.,,
24,racket,/ˈrækɪt/,She swung her racket with precision to win the tennis match.,,
25,basket,/ˈbæskɪt/,,,
26,save,/seɪv/,,,
27,opponent,/əˈpoʊnənt/,The two opponents faced off in the final match of the tennis tournament.,,
28,referee,/ˌrɛfəˈriː/,"The referee blew the whistle to signal the end of the match, much to the relief of the exhausted players.",,
29,match,/mætʃ/,"The soccer match ended in a tie, with both teams scoring two goals each.",,
30,contest,/ˈkɑnˌtɛst/,The contest for the championship title was intense and thrilling.,,
31,result,/rɪˈzʌlt/,"We anxiously awaited the election results, eager to see who would win.",,
32,catch,/kætʃ/,The baseball player made an impressive catch in the outfield.,,
33,to disqualify,/dɪˈskwɑləˌfaɪ/,The horse's broken leg effectively disqualified it from future racing events that season.,,
34,away game,/əˈweɪ ˌɡeɪm/,They're gearing up for a tough away game.,,
35,home game,/hoʊm ˌɡeɪm/,The team won their first home game of the season.,,
36,Super Bowl,/ˈsuːpɚ ˌboʊl/,Did you catch the Super Bowl last night? The halftime show was amazing!,,
