order,word,phonetic,example,note,definition_en
1,alike,/əˈlaɪk/,"The new policy benefits students and teachers alike, improving the overall educational experience.",,
2,accordingly,/əˈkɔɹdɪŋɫi/,"The traffic was unusually heavy, and accordingly, he arrived at the meeting later than planned.",,
3,allegedly,/əˈɫɛdʒədɫi/,The suspect allegedly stole valuable items from the store.,,
4,exclusively,/ɪkˈskɫusɪvɫi/,The VIP lounge at the airport is exclusively for first-class passengers.,,
5,explicitly,/ɪksˈpɫɪsətɫi/,The instructions were explicitly outlined in the manual.,,
6,frankly,/ˈfɹæŋkɫi/,She spoke frankly about her concerns regarding the project's timeline.,,
7,shitless,/ʃˈɪtləs/,The sudden crash startled him shitless.,,
8,halfway,/ˈhæfˈweɪ/,The gas station is halfway between Boston and New York.,,
9,ironically,/aɪˈɹɑnɪkɫi/,"Ironically, the fire station burned down due to a faulty electrical wiring.",,
10,merely,/ˈmɪɹɫi/,I merely asked a question; I didn't accuse anyone.,,
11,namely,/ˈneɪmɫi/,"She had several hobbies, namely painting, gardening, and playing the piano.",,
12,nonetheless,/ˌnənðəˈɫɛs/,The evidence was weak; the jury convicted him nonetheless.,,
13,notably,/ˈnoʊtəbɫi/,The city's skyline is notably different after the recent construction of several high-rise buildings.,,
14,overly,/ˈoʊvɝɫi/,The criticism of her work was overly harsh and unjustified.,,
15,partially,"/ˈpɑɹʃəɫi/, /ˈpɑɹʃɫi/","She was partially responsible for the project's success, having contributed valuable ideas.",,
16,predominantly,/ˌpɹɪˈdɑmənəntˌɫi/,"The region is predominantly agricultural, with vast expanses of farmland.",,
17,presently,/ˈpɹɛzəntɫi/,The manager is presently in a meeting and will be available later.,,
18,presumably,"/pɹəˈzuməbɫi/, /pɹiˈzuməbɫi/, /pɹɪˈzuməbɫi/","She left the office early, presumably to attend a family event.",,
19,readily,/ˈɹɛdəɫi/,The information was readily found online.,,
20,regardless,/ɹəˈɡɑɹdɫəs/,She decided to go for a run regardless of the rain.,,
21,reportedly,"/ɹiˈpɔɹtədɫi/, /ɹɪˈpɔɹtədɫi/",The movie star was reportedly seen dining at the new restaurant downtown.,,
22,respectively,/ɹɪˈspɛktɪvɫi/,"Tom and Jerry are 5 and 3 years old, respectively.",,
23,seemingly,/ˈsimɪŋɫi/,"He was seemingly calm during the interview, but his nervous gestures betrayed his anxiety.",,
24,simultaneously,/ˌsaɪməɫˈteɪniəsɫi/,The two dancers performed different routines simultaneously on the stage.,,
25,solely,/ˈsoʊəɫi/,The decision was made solely to improve efficiency.,,
26,substantially,/səbˈstænʃəɫi/,Fuel prices have substantially increased over the past year.,,
27,thankfully,/ˈθæŋkfəɫi/,"Thankfully, the medical test results came back negative, providing reassurance about my health.",,
28,undoubtedly,/ənˈdaʊtɪdɫi/,"She is undoubtedly the best candidate for the job, given her experience and skills.",,
29,utterly,/ˈətɝɫi/,The failure of the experiment left the scientists utterly perplexed.,,
30,wholly,/ˈhoʊɫi/,"She was wholly committed to the cause, dedicating all her time and energy.",,
31,forth,/ˈfɔɹθ/,They sailed forth from the harbor at first light.,,
32,seldom,/ˈsɛɫdəm/,She seldom watches television.,,
33,thereafter,/ðɛˈɹæftɝ/,"He graduated from college, and thereafter, he started his career.",,
34,whatsoever,"/ˌhwətsoʊˈɛvɝ/, /ˌwətsoʊˈɛvɝ/",He had no interest whatsoever in attending the party.,,
35,whereby,"/hwɛɹˈbaɪ/, /wɛɹˈbaɪ/","The company set up a procedure whereby, employees receive feedback regularly.",,
36,for good,/fɔːɹ ɡˈʊd/,She decided to move to the countryside for good after retiring from her job.,,
