order,word,phonetic,example,note,definition_en
1,tour,,,,
2,tourism,,,,
3,tourist,,,,
4,sightseeing,,,,
5,guide,,,,
6,passenger,,,,
7,traveler,,,,
8,suitcase,,,,
9,baggage,,,,
10,reception,,,,
11,twin bed,,,,
12,single bed,,,,
13,single room,,,,
14,double room,,,,
15,airline,,,,
16,flight,,,,
17,gate,,,,
18,international,,,,
19,seat,,,,
20,boarding pass,,,,
21,round-trip ticket,,,,
22,one-way ticket,,,,
23,to book,,,,
24,public transportation,,,,
25,platform,,,,
26,railroad,,,,
27,fare,,,,
28,route,,,,
29,to ride,,,,
30,to catch,,,,
31,to miss,,,,
32,to welcome,,,,
33,way,,,,
