order,word,phonetic,example,note,definition_en
1,crepuscular,/kɹɛpˈʌskjʊlɚ/,"The crepuscular deer emerged from the forest as the sun began to set, grazing peacefully in the meadow.",,
2,oviparous,/oʊˈvɪpɝəs/,"Birds are oviparous, laying eggs that incubate externally until hatching.",,
3,simian,/ˈsɪmiən/,"The scientist observed simian behavior in the primate research facility, noting similarities in social interactions and communication among the monkeys.",,
4,arboreal,/ɑɹˈbɔɹiəɫ/,Arboreal snakes like green tree pythons can expertly maneuver through foliage and ascend even the tallest tree trunks to hunt small birds and mammals.,,
5,ectothermic,/ˌɛktoʊˈθɝmɪk/,"Snakes are ectothermic animals, relying on the warmth of their surroundings to regulate their body temperature.",,
6,equine,/ˈiˌkwaɪn/,"The veterinarian specializes in equine mThe dancer moved with equine grace across the stage.edicine, providing healthcare services for horses.",,
7,piscivorous,/pɪsˈɪvɚɹəs/,"The osprey is a piscivorous bird, known for its exceptional fishing skills.",,
8,terrestrial,/tɝˈɛstɹiəɫ/,The exploration team is studying both marine and terrestrial ecosystems on the island.,,
9,tame,/ˈteɪm/,The lion was surprisingly tame after years in captivity.,,
10,nocturnal,/nɑkˈtɝnəɫ/,"The zoo had a special exhibit featuring nocturnal animals, with dim lighting to mimic their natural environment.",,
11,bovine,/ˈboʊˌvaɪn/,The pastoral scene featured a group of bovine creatures peacefully grazing in the meadow.,,
12,avian,/ˈeɪviən/,Ornithologists study avian behavior and migratory patterns to understand bird species.,,
13,viviparous,/vaɪˈvɪpɝəs/,"Unlike most fish, the guppy is viviparous, giving birth to live young rather than laying eggs.",,
14,diurnal,/daɪˈɝnəɫ/,"Most birds are diurnal, chirping and foraging for food as soon as the sun rises.",,
15,ovoviviparous,/ˌoʊˌvoʊˌvaɪˈvɪpɝəs/,The scientist studied the reproductive habits of ovoviviparous animals.,,
16,insectivorous,/ˌɪnsɛkˈtɪvɝəs/,"Bats are often considered insectivorous mammals, as they primarily consume insects during their nightly hunts.",,
17,canine,/ˈkeɪˌnaɪn/,"The German Shepherd, a popular canine breed, is often employed in police work due to its intelligence and loyalty.",,
18,estivation,/ˌɛstɪvˈeɪʃən/,The desert tortoise undergoes estivation to survive the intense summer heat.,,
19,burrow,/ˈbɜːroʊ/,"The rabbit disappeared into its burrow, seeking refuge from the approaching storm.",,
20,omnivore,/ˈɑːmnɪvˌoːɹ/,"Bears are omnivores, consuming berries as well as fish.",,
21,brood,/ˈbɹud/,"The mother hen clucked softly to her brood of chicks, guiding them to a patch of grass for foraging.",,
22,pincer,/pˈɪnsɚ/,"The crab scuttled across the sand, its powerful pincers snapping defensively at any perceived threat.",,
23,fang,/ˈfæŋ/,The lion's sharp fangs help it catch and kill prey.,,
24,shoal,/ʃˈoʊl/,"As the fishermen approached, they noticed a massive shoal of shimmering sardines swirling beneath the surface of the water.",,
25,fauna,/ˈfɔnə/,"Exploring the lush forest, we encountered a remarkable fauna of colorful birds, elusive mammals, and vibrant insects.",,
26,zooplankton,/zˈuːplæŋktən/,"Zooplankton are an essential component of marine ecosystems, comprising a diverse array of tiny organisms such as copepods, krill, and jellyfish.",,
27,cetacean,"/siˈteɪʃən/, /sɪˈteɪʃən/","Cetaceans, including whales, dolphins, and porpoises, are a group of marine mammals adapted for life in the ocean.",,
28,to graze,/ˈɡɹeɪz/,The sheep were allowed to graze freely in the meadow.,,
29,pelt,/ˈpɛɫt/,"The hunter proudly displayed the pelt of the wolf he had captured, its thick fur a testament to its strength and resilience.",,
