order,word,phonetic,example,note,definition_en
1,preteen,/ˈpriˌtiːn/,The preteen fashion store caters to the tastes and sizes of children between 9 and 12 years old.,,
2,nonagenarian,/nˌɑːnˌeɪdʒənˈɛɹiən/,The nonagenarian celebration marked a remarkable milestone in the community.,,
3,octogenarian,/ˌɑktədʒɪˈnɛɹiən/,The octogenarian birthday celebration drew family and friends from near and far.,,
4,centenarian,/ˌsɛntəˈnɛɹiən/,The centenarian celebration gathered family and friends to honor a life of wisdom and experiences.,,
5,pubescent,/pjuːbˈɛsənt/,"During the pubescent phase, adolescents often undergo the development of secondary sexual characteristics such as the growth of facial hair or breast development.",,
6,doddering,/ˈdɑdɝɪŋ/,"The doddering old man slowly made his way across the room, leaning heavily on his cane.",,
7,geriatric,/ˌdʒɛɹiˈætɹɪk/,The nursing home provides specialized care for geriatric patients.,,
8,over-the-hill,/ˌoʊvɚðəhˈɪl/,The surprise party was filled with over-the-hill decorations and playful jokes to celebrate the guest of honor's 60th birthday.,,
9,venerable,/ˈvɛnɝəbəɫ/,The venerable oak tree in the park remained impressive by reason of enduring over two centuries of seasons.,,
10,beauteous,/bjˈuːɾiəs/,"The garden was filled with beauteous flowers, their vibrant colors and delicate petals creating a stunning display.",,
11,ravishing,/ˈɹævɪʃɪŋ/,She wore a ravishing red gown that turned heads as soon as she entered the ballroom.,,
12,foxy,/ˈfɑksi/,She walked into the party in a foxy black dress that drew everyone's attention.,,
13,resplendent,/ɹisˈpɫɛndənt/,"The bride looked resplendent in her intricately designed wedding gown, sparkling under the soft lights.",,
14,pulchritudinous,/pˌʌlkɹɪtˈuːdɪnəs/,The bride looked absolutely pulchritudinous in her elegant wedding gown on her special day.,,
15,fetching,/ˈfɛtʃɪŋ/,She wore a fetching smile that brightened the room wherever she went.,,
16,comely,/ˈkəmɫi/,She possessed a comely appearance that drew admirers wherever she went.,,
17,bewitching,/bɪwˈɪtʃɪŋ/,"Her bewitching eyes seemed to hold a secret that drew people in, unable to look away.",,
18,unprepossessing,/ʌnpɹɪpəzˈɛsɪŋ/,"Despite his unprepossessing appearance, he had a warm and engaging personality that won people over.",,
19,ill-favored,/ˈɪlfˈeɪvɚd/,"Despite her ill-favored appearance, the kind-hearted woman was cherished for her generous spirit.",,
20,uninviting,/ˌənɪnˈvaɪtɪŋ/,The abandoned house looked dark and uninviting.,,
21,uncomely,/ʌnkˈʌmli/,"Despite her intelligence and kindness, she was often dismissed because of her uncomely appearance.",,
22,chiseled,/ˈtʃɪzəɫd/,His chiseled jawline and piercing eyes made him stand out in a crowd.,,
23,dowdy,/ˈdaʊdi/,She felt self-conscious in her dowdy outfit at the party.,,
24,dashing,/ˈdæʃɪŋ/,The dashing gentleman swept her off her feet with his charismatic smile and impeccable attire.,,
25,unbecoming,"/ˌənbiˈkəmɪŋ/, /ˌənbɪˈkəmɪŋ/",The actress gracefully handled the unbecoming comments made about her appearance in the tabloids.,,
