order,word,phonetic,example,note,definition_en
1,adorable,/əˈdɔɹəbəɫ/,"The adorable baby giggled and cooed, bringing joy to everyone around.",,
2,beloved,"/bɪˈɫəvd/, /bɪˈɫəvəd/",The author’s beloved novels have been enjoyed by readers for generations.,,
3,committed,/kəˈmɪtɪd/,"They were in a committed relationship, devoted to each other's happiness and well-being.",,
4,enchanted,"/ɛnˈtʃænɪd/, /ɛnˈtʃæntɪd/",The children were enchanted by the fairy tale's mystical creatures and enchanted forests.,,
5,hot,/hɑːt/,She found herself drawn to him because she thought he was hot.,,
6,loved,/ˈɫəvd/,She felt loved and appreciated by her family on her birthday.,,
7,loving,/ˈɫəvɪŋ/,"She's loving, always showing kindness and warmth to those around her.",,
8,lovesick,/lˈʌvsɪk/,She was lovesick and couldn't stop thinking about him after their first date.,,
9,admirer,/ædˈmaɪɹɝ/,She received a bouquet of flowers from a secret admirer.,,
10,(other|better) half,/ˈʌðɚɹ ɔːɹ bˈɛɾɚ hˈæf/,"As soon as they met, they knew they had found their other half and embarked on a lifelong journey together.",,
11,lovebirds,/ˈlʌvˌbɝdz/,"The lovebirds enjoyed a quiet evening together, holding hands and sharing laughs.",,
12,significant other,/sɪɡnˈɪfɪkənt ˈʌðɚ/,She introduced her significant other to her family at the holiday gathering.,,
13,anniversary,/ˌænəˈvɝsɝi/,They celebrated their first wedding anniversary with a romantic dinner.,,
14,bridegroom,/ˈbɹaɪdˌɡɹum/,The bridegroom was nervous but excited as he waited at the altar.,,
15,to propose,/prəˈpoʊz/,"On a beautiful evening, he chose to propose to his girlfriend with a ring.",,
16,proposal,/pɹəˈpoʊzəɫ/,He surprised her with a romantic proposal at sunset on the beach.,,
17,broken heart,/bɹˈoʊkən hˈɑːɹt/,"After their long-term relationship ended, she was left with a broken heart and struggled to move on.",,
18,date,/deɪt/,She was excited about her date with him at the new Italian restaurant.,,
19,eye candy,/ˈaɪ kˈændi/,"The movie was filled with special effects and eye candy, but the plot was weak.",,
20,Prince Charming,/pɹˈɪns tʃˈɑːɹmɪŋ/,"She always dreamed of finding her Prince Charming, but real love is more complicated.",,
21,love affair,/lˈʌv ɐfˈɛɹ/,They embarked on a passionate love affair that took them on adventures around the world.,,
22,passion,/ˈpæʃən/,His passion for music led him to spend countless hours practicing and composing songs.,,
23,puppy love,/pˈʌpi lˈʌv/,Their puppy love quickly faded as they grew older and went their separate ways.,,
24,Valentine,/ˈvælənˌtaɪn/,She received a mysterious Valentine with a sweet poem but no signature.,,
25,to adore,/əˈdɔɹ/,She adores her grandmother for her wisdom and kindness.,,
26,to ask out,/ˈæsk ˈaʊt/,"I asked her out to dinner, and she said yes!",,
27,to [fall] in love,/fˈɔːl ɪn lˈʌv/,They met at a coffee shop and quickly fell in love.,,
28,to go out,/ɡoʊ ˈaʊt/,They started going out in college and have been a couple ever since.,,
29,to woo,/ˈwu/,"He tried to woo her with flowers and heartfelt letters, hoping to win her heart.",,
30,to hook up,/hˈʊk ˈʌp/,They hooked up at the party after getting to know each other.,,
31,to [have] a crush on {sb},/hæv ɐ kɹˈʌʃ ˌɑːn ˌɛsbˈiː/,Did she have a crush on Ryan?,,
32,hickey,/ˈhɪki/,She had a noticeable hickey on her neck after their passionate embrace.,,
