order,word,phonetic,example,note,definition_en
1,to walk,/wɑːk/,"After the accident, doctors were unsure if he'd ever walk again.",,
2,to run,/rʌn/,"When he heard the news, he ran home in a hurry.",,
3,to go,/ɡoʊ/,He went into the kitchen to prepare dinner for the family.,,
4,to come,/kʌm/,Can you come with me to the store?,,
5,to sit,/sɪt/,"After a long hike, we found a nice spot to sit and have a picnic.",,
6,to fall,/fɑl/,Be careful not to slip and fall on the wet floor.,,
7,to jump,/dʒʌmp/,He jumped over the puddle to avoid getting his shoes wet.,,
8,to bring,/brɪŋ/,Can we bring our pets to the park?,,
9,to give,/ɡɪv/,The librarian gave me a book to borrow for my research.,,
10,to find,/faɪnd/,Did you find the remote control for the television?,,
11,to open,/ˈoʊpən/,He opens the window to let in some fresh air.,,
12,to close,/kloʊz/,"After entering the room, I asked him to close the door behind him.",,
13,to start,/stɑːrt/,He started singing along to the song on the radio.,,
14,to stop,/stɑp/,She stopped the escalator to retrieve her dropped phone.,,
15,to finish,/ˈfɪnɪʃ/,He finished painting the walls and admired his work.,,
16,to build,/bɪld/,The construction crew is building a new office complex downtown.,,
17,to do,/duː/,What are you doing tomorrow?,,
18,to get,/ɡɛt/,He got an unexpected bonus at work.,,
19,to turn,/tɝn/,He turned to face the door as someone entered.,,
20,to introduce,/ˌɪntrəˈduːs/,"Allow me to introduce my colleague, Mr. Johnson.",,
21,to travel,/ˈtrævəl/,He travels for work and often visits different cities for business meetings.,,
22,to let,/lɛt/,Don't let the rainy weather ruin your mood.,,
23,to choose,/tʃuːz/,"When you go shopping, remember to choose quality over quantity.",,
24,to help,/hɛlp/,She helped him carry the boxes upstairs.,,
25,to swim,/swɪm/,My sister swims every morning before breakfast.,,
