order,word,phonetic,example,note,definition_en
1,relay,/ˈɹiˌɫeɪ/,The engineer installed a relay in the circuit to control the high-voltage switch safely.,,
2,ball bearing,/bˈɔːl bˈɛɹɪŋ/,The bicycle's smooth operation is attributed to the ball bearings in its wheel hubs and bottom bracket.,,
3,belt drive,/bˈɛlt dɹˈaɪv/,The old factory machines relied on a belt drive system to transfer power from the central engine to various workstations.,,
4,breeder reactor,/bɹˈiːdɚ ɹɪˈæktɚ/,"The energy plant implemented a breeder reactor to generate more fuel than it consumes, enhancing its efficiency.",,
5,test bench,/tˈɛst bˈɛntʃ/,The engineers used a test bench to evaluate the performance and durability of the new engine design.,,
6,cog,/ˈkɔɡ/,"The cog in the gear system meshed perfectly with its neighboring cogs, ensuring smooth and efficient power transmission.",,
7,crank,/ˈkɹæŋk/,The engineer used a crank to manually adjust the height of the lifting mechanism.,,
8,drive shaft,/dɹˈaɪv ʃˈæft/,"The driveshaft in the car transfers power from the engine to the rear wheels, enabling forward motion.",,
9,gearing,/ˈɡɪɹɪŋ/,The bicycle's gearing allows the rider to easily switch between different gear ratios for efficient pedaling on various terrains.,,
10,overhaul,/ˈoʊvɝˌhɔɫ/,The aircraft underwent a thorough overhaul to ensure all components met safety and performance standards.,,
11,sprocket,/ˈspɹɑkət/,"The bicycle's rear wheel is connected to the chain and sprocket assembly, facilitating smooth pedaling.",,
12,lathe,/ˈɫeɪð/,The machinist used a lathe to shape the metal rod into a precise cylindrical form.,,
13,computer-aided design technician,/kəmpjˈuːɾɚɹˈeɪdᵻd dɪzˈaɪn tɛknˈɪʃən/,A computer-aided design technician plays a crucial role in translating conceptual ideas into precise digital blueprints for manufacturing.,,
14,torque,/ˈtɔɹk/,The wrench applied torque to loosen the stubborn nut on the bolt.,,
15,rivet,/ˈɹɪvət/,The aircraft's fuselage was assembled using thousands of rivets to ensure a strong and durable connection between the metal panels.,,
16,fracking,/fɹˈækɪŋ/,"Fracking, or hydraulic fracturing, is an engineering technique used to extract oil and natural gas from deep underground rock formations.",,
17,transformer,/tɹænsˈfɔɹmɝ/,The electrical engineer installed a transformer to step down the high voltage from the power lines to a safer level for residential use.,,
18,substation,/ˈsəbˌsteɪʃən/,The power generated at the hydroelectric plant is transmitted to urban areas through a substation.,,
19,conduit,"/ˈkɑnduɪt/, /ˈkɑndwɪt/, /ˈkɑndʒuɪt/",The electrical conduit protects the wiring from physical damage and ensures safety in the industrial facility.,,
20,alternating current,/ˈɔːltɚnˌeɪɾɪŋ kˈɜːɹənt/,ChatGPT Homes and businesses receive electrical power through alternating current supplied by the grid.,,
21,electromechanical,/ˌɪˌɫɛktɹoʊməˈkænɪkəɫ/,The electromechanical clock uses gears and an electric motor to keep time.,,
