order,word,phonetic,example,note,definition_en
1,crony,/ˈkɹoʊni/,"He's always with his cronies, making shady deals.",,
2,affinity,"/əˈfɪnəti/, /əˈfɪnɪti/","She felt an instant affinity with the new student, recognizing a shared love for literature.",,
3,fraternity,"/fɹəˈtɝnəti/, /fɹəˈtɝnɪti/",The fraternity of artists gathered every month to critique each other's work and share new techniques.,,
4,amity,/ˈæmɪti/,The two neighboring countries signed a treaty to promote amity and cooperation between their citizens.,,
5,foe,/ˈfoʊ/,He considered his former colleague a lifelong foe.,,
6,friction,/ˈfɹɪkʃən/,There was noticeable friction between the team members after the disagreement over the project's direction.,,
7,rift,/ˈɹɪft/,The rift between the two longtime friends started over a minor disagreement but quickly escalated into a full-blown feud.,,
8,blended family,/blˈɛndᵻd fˈæmɪli/,"Holidays were a joyful occasion for their blended family, with children from both previous marriages coming together to celebrate.",,
9,consanguinity,/kɑːnsɐŋɡwˈɪnɪɾi/,The royal family's strict rules on marriage were based on maintaining consanguinity to preserve their bloodline.,,
10,pedigree,/ˈpɛdəɡɹi/,Her family has a long and respected pedigree in the community.,,
11,progeny,/ˈpɹɑdʒəni/,The scientist was excited to study the progeny of the genetically modified plants to see if the desired traits were passed on.,,
12,surrogate mother,/sˈɜːɹəɡət mˈʌðɚ/,"After years of struggling with infertility, they decided to seek the help of a surrogate mother to carry their child.",,
13,biological parent,/bˌaɪəlˈɑːdʒɪkəl pˈɛɹənt/,The child was curious about their biological parent and wanted to learn more about their family history.,,
14,progenitor,/pɹoʊˈdʒɛnɪtɝ/,The ancient civilization's progenitors laid the foundation for the cultural traditions that endured for centuries.,,
15,elopement,/ɪlˈoʊpmənt/,"The young couple's elopement surprised their families, who had been expecting a traditional wedding.",,
16,courtship,/ˈkɔɹˌtʃɪp/,Their courtship was marked by romantic gestures and long walks in the park.,,
17,adultery,/əˈdəɫtɝi/,"Despite their vows of fidelity, she discovered evidence of her husband's adultery with a coworker.",,
18,infatuation,/ˌɪnˌfætʃuˈeɪʃən/,His infatuation with the latest gadget bordered on obsession.,,
19,to disown,/dɪˈsoʊn/,He chose to disown his former beliefs after learning more about the issue.,,
20,to patch up,/pˈætʃ ˈʌp/,They had a huge fight but managed to patch up before the day ended.,,
21,to rekindle,/ɹiˈkɪndəɫ/,"After years apart, they managed to rekindle their childhood friendship.",,
22,to antagonize,/ænˈtæɡəˌnaɪz/,His constant criticism of her work antagonized her to the point of seeking employment elsewhere.,,
23,to drift apart,/dɹˈɪft ɐpˈɑːɹt/,"Over the years, the friends started to drift apart as their lives took different paths.",,
24,to feud,/ˈfjud/,"The families continued to feud over a disputed piece of land, passing down the animosity through generations.",,
25,to two-time,/tˈuːtˈaɪm/,She was devastated when she found out he had been two-timing her with her best friend.,,
