order,word,phonetic,example,note,definition_en
1,bed sheet,/bɛd ʃiːt/,,,
2,mattress,/ˈmætrəs/,The mattress on my bed is so comfortable that I sleep soundly every night.,,
3,radiator,/ˈreɪdiˌeɪtɚ/,The radiator in the living room warmed up the entire space in no time.,,
4,freezer,/ˈfriːzɚ/,She stored the meat in the freezer to keep it fresh.,,
5,kitchen hood,/ˈkɪʧɪn hʊd/,,,
6,garbage disposal,/ˈɡɑrbɪʤ dɪˈspoʊzəl/,"After dinner, she quickly scraped the leftover food into the garbage disposal unit to avoid a messy trash can.",,
7,pressure cooker,/ˈprɛʃɚ ˈkʊkɚ/,She used a pressure cooker to make a stew in under an hour.,,
8,food processor,/fuːd ˈprɑːsɛsɚ/,She used the food processor to blend the ingredients for the soup.,,
9,juicer,/ˈʤuːsɚ/,She used the juicer to make fresh orange juice.,,
10,flatware,/ˈflætˌwɛr/,Stainless steel is a common material used to make flatware due to its durability and resistance to corrosion.,,
11,chopstick,/ˈʧɑːpˌstɪk/,Using chopsticks requires practice and skill to pick up food items with precision.,,
12,ladle,/ˈleɪdəl/,She used a ladle to serve the soup into bowls.,,
13,spatula,/ˈspætʃələ/,,,
14,mower,/ˈmoʊɚ/,,,
15,faucet,/ˈfɑsɪt/,He turned on the faucet to fill the pot with water.,,
16,vase,"/veɪs/ , /vɑz/",The elegant crystal vase displayed a stunning arrangement of freshly cut flowers on the dining room table.,,
17,blind,/blaɪnd/,She lowered the blind to block out the bright sunlight.,,
18,couch,/kaʊʧ/,"After a long day, I like to relax on the couch with a good book.",,
19,sofa bed,/ˈsoʊfə bɛd/,The sofa bed in the guest room was perfect for when we had family over for the weekend.,,
20,hair straighteners,/hɛr ˈstreɪtnɚz/,,,
21,thermostat,/ˈθɝːmoʊˌstæt/,"The thermostat regulates the temperature in the house, ensuring comfort and energy efficiency.",,
22,pillow,/ˈpɪloʊ/,,,
23,brush,/brʌʃ/,She used a brush to sweep away the dust from the shelves.,,
24,microwave,/ˈmaɪkroʊˌweɪv/,She quickly heated up leftovers in the microwave for a quick lunch before heading back to work.,,
25,rug,/rʌɡ/,I rolled up the rug to clean the floor underneath it.,,
