order,word,phonetic,example,note,definition_en
1,hello,/həˈloʊ/,"Hello, I am the new student and my name is Sarah.",,
2,goodbye,/ɡʊdˈbaɪ/,"Goodbye, I hope to see you again.",,
3,hi,/haɪ/,"Hi, nice to meet you.",,
4,bye,/baɪ/,Bye! Have a great day!,,
5,good morning,/ɡʊd ˈmɔrnɪŋ/,"Good morning, it's a beautiful day today!",,
6,good afternoon,/ɡʊd ˌæftərˈnuːn/,"Good afternoon, have you finished your work for today?",,
7,good evening,/ɡʊd ˈiːvnɪŋ/,"Good evening, I hope you had a pleasant day.",,
8,good night,/ɡʊd ˈnaɪt/,"Good night, don't forget to brush your teeth before bed.",,
9,thank you,/θæŋk juː/,Thank you for being there when I needed someone.,,
10,thanks,/θæŋks/,Thanks for the help!,,
11,please,/pliːz/,"Be quiet, please.",,
12,OK,/ˌoʊkˈeɪ/,"Ok, I'll finish my homework before watching TV.",,
13,yes,/jɛs/,"Yes, he is my friend.",,
14,no,/noʊ/,Did you call her? — No.,,
15,sorry,/ˈsɑːri/,"Sorry, I forgot to bring my umbrella.",,
16,welcome,/ˈwɛlkəm/,"Welcome, Come on in and make yourself at home.",,
