order,word,phonetic,example,note,definition_en
1,amazed,/əˈmeɪzd/,His amazed expression spoke volumes about his reaction to the unexpected news.,,
2,to anger,/ˈæŋɡɚ/,His constant teasing about her appearance angered her.,,
3,anxious,/ˈæŋkʃəs/,"She felt anxious before her job interview, worrying about whether she would perform well.",,
4,anxiety,/æŋˈzaɪəti/,The upcoming presentation filled her with so much anxiety that her palms were sweaty.,,
5,approval,/əˈpruːvəl/,Sarah's heart swelled with a feeling of approval as she watched her daughter receive the award for outstanding academic achievement.,,
6,ashamed,/əˈʃeɪmd/,"She felt ashamed of her behavior at the party, realizing she had acted inappropriately.",,
7,boredom,/ˈbɔrdəm/,"After sitting in the waiting room for hours, he couldn’t shake the feeling of boredom.",,
8,cheerful,/ˈʧɪrfəl/,"Despite the rainy weather, she remained cheerful throughout the day.",,
9,depressed,/dɪˈprɛst/,She felt depressed after receiving the disappointing news.,,
10,desire,/dɪˈzaɪɚ/,Sarah's desire for adventure led her to travel to exotic destinations around the world.,,
11,eager,/ˈiɡɚ/,The children were eager to open their presents on Christmas morning.,,
12,embarrassed,/ɪmˈbærəst/,She felt embarrassed when she realized she had mispronounced the word.,,
13,excitement,/ɪkˈsaɪtmənt/,Sarah's excitement was palpable as she eagerly awaited the arrival of her long-lost friend at the airport.,,
14,frightened,/ˈfraɪtənd/,She felt frightened when she heard strange noises outside her window.,,
15,glad,/ɡlæd/,She was glad to hear the news of her friend's success.,,
16,grateful,/ˈɡreɪtfəl/,She felt grateful for the support of her friends during tough times.,,
17,hate,/heɪt/,"Sarah couldn't hide her hate for the bitter cold weather, longing for warmer days to come.",,
18,guilty,/ˈɡɪlti/,"Despite her efforts to hide it, Sarah's guilty expression betrayed her involvement in the prank.",,
19,interest,/ˈɪntrəst/,Sarah developed a keen interest in photography after receiving her first camera as a gift.,,
20,interested,/ˈɪntrəstɪd/,She was genuinely interested in learning French.,,
21,jealousy,/ˈʤɛləsi/,,,
22,lonely,/ˈloʊnli/,She felt lonely after moving to a new city where she knew no one.,,
23,mad,/mæd/,He was mad at himself for making the same mistake again.,,
24,pleasure,/ˈplɛʒɚ/,She felt immense pleasure upon hearing the good news about her promotion.,,
25,to bully,/ˈbʊli/,"The older kids would often bully the younger students, teasing them and taking their belongings.",,
26,to sadden,/ˈsædən/,The entire room saddened as the speaker shared the tragic story.,,
27,satisfaction,/ˌsætɪsˈfækʃən/,"Gazing at the finished garden, she felt a deep satisfaction knowing all her hard work had paid off.",,
28,to scare,/skɛr/,"The loud thunder scared the dog, causing it to hide under the bed.",,
29,to satisfy,/ˈsætɪsfaɪ/,He satisfied his girlfriend by taking her out for a romantic dinner.,,
30,stressed,/strɛst/,She felt so stressed about the upcoming exams that she couldn't sleep.,,
31,to calm,/kɑm/,"After a hectic day, she regularly calms herself by practicing meditation.",,
32,to shock,/ʃɑk/,The unexpected news of her friend's death shocked her to the core.,,
33,to frighten,/ˈfraɪtn/,The loud bang outside the window frightened the sleeping child.,,
34,hunger,/ˈhʌŋɡɚ/,The child cried out in hunger.,,
35,self-respect,/ˌsɛlf rɪˈspɛkt/,Mary's self-respect empowered her to walk away from toxic situations and people who did not appreciate her worth.,,
36,horror,/ˈhɔrɚ/,Sarah's heart raced with horror as she watched the terrifying scenes unfold in the movie.,,
37,exhausted,/ɪɡˈzɔstɪd/,She felt exhausted after working a double shift at the hospital.,,
