order,word,phonetic,example,note,definition_en
1,angle,/ˈæŋɡəɫ/,She used a protractor to measure the angle of the triangle accurately.,,
2,curve,/ˈkɝv/,He drew a curve on the paper to represent the arc of the ball's trajectory.,,
3,form,/ˈfɔɹm/,The building's form stood out against the skyline with its unique silhouette.,,
4,curved,/ˈkɝvd/,"The road followed a curved path through the mountains, offering stunning views around each bend.",,
5,horizontal,/ˌhɔɹəˈzɑntəɫ/,The table was adorned with horizontal stripes.,,
6,vertical,/ˈvɝtɪkəɫ/,The skyscraper's vertical lines gave it a sleek and modern appearance.,,
7,parallel,/ˈpɛɹəˌɫɛɫ/,"The two lines on the graph are parallel, indicating no change in their relationship.",,
8,shaped,/ˈʃeɪpt/,"The key was shaped like a heart, which reminded her of their love.",,
9,cube,/ˈkjub/,The storage box was shaped like a cube.,,
10,pentagon,"/ˈpɛnɪˌɡɑn/, /ˈpɛntɪˌɡɑn/","The flag of the city had a pentagon in the center, symbolizing the five founders.",,
11,oval,/ˈoʊvəɫ/,The artist painted an oval in the center of the canvas for emphasis.,,
12,pyramid,/ˈpɪɹəmɪd/,Students modeled a pyramid using cardboard.,,
13,rectangle,/ˈɹɛktæŋɡəɫ/,"In geometry class, they practiced calculating the area of a rectangle.",,
14,sphere,/ˈsfɪɹ/,The planet was modeled as a sphere for calculations.,,
15,triangle,/ˈtɹaɪˌæŋɡəɫ/,The artist used a triangle shape to create a dynamic composition.,,
16,hollow,/ˈhɑɫoʊ/,The children found a hollow tree trunk and used it as a hiding spot during their game of hide-and-seek.,,
17,pointed,"/ˈpɔɪnəd/, /ˈpɔɪntɪd/","The porcupine's quills are pointed, serving as a defense mechanism against predators.",,
18,level,/ˈlevəl/,"The pool table was perfectly level, allowing for accurate gameplay.",,
19,steep,/ˈstip/,The steep angle of the roof allows for quick drainage of rainwater.,,
20,paleness,/pˈeɪlnəs/,The paleness of the walls contrasted sharply with the vibrant furniture.,,
21,to dye,/ˈdaɪ/,She decided to dye her white shirt pink.,,
22,light-colored,/lˈaɪtkˈʌlɚd/,She preferred to decorate her living room with light-colored furniture to create a bright and airy atmosphere.,,
23,deep,/dip/,She chose a deep blue dress that complemented her complexion perfectly.,,
24,blood-red,/blˈʌdɹˈɛd/,"The sky turned a dramatic blood-red at sunset, casting an eerie glow over the landscape.",,
25,chocolate,/ˈtʃɑklɪt/,The sofa in the living room was a luxurious chocolate color.,,
26,coffee,"/ˈkɑːfi/, /ˈkɔːfi/","Her boots were a stylish coffee shade, perfect for the autumn season.",,
27,lemon,/ˈlɛmən/,She wore a cheerful lemon dress to the summer picnic.,,
28,navy blue,/nˈeɪvi blˈuː/,The walls of the room were painted with a calming navy blue tint.,,
29,maroon,/mɝˈun/,The dress she wore to the party was a beautiful maroon hue.,,
30,violet,"/ˈvaɪəɫɪt/, /ˈvaɪɫɪt/",She wore a violet dress to the party.,,
31,rose,/roʊz/,She chose a rose ribbon to match the delicate shade of her dress.,,
